Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Palestine,Gaza,Gaza Strip,,,695967,Governorate,Gaza,,Gaza,,Gaza StripPalestine,county,1,XG,محافظة غزة,,,,,,,,,,,,,,,,NONE,0.0,
Palestine,North Gaza,Gaza Strip,,,403457,Governorate,Gaza,,Gaza,,Gaza StripPalestine,county,1,XG,محافظة شمال غزة,,,,,,,,,,,,,,,,NONE,0.0,
Palestine,Khan Yunis,Gaza Strip,,,401582,Governorate,,,#N/A,,Gaza StripPalestine,county,1,XG,محافظة خان يونس,,,,,,,,,,,,,,,,NONE,0.0,
Palestine,Deir al-Balah,Gaza Strip,,,294260,Governorate,,,#N/A,,Gaza StripPalestine,county,1,XG,محافظة دير البلح,,,,,,,,,,,,,,,,NONE,0.0,
Palestine,Rafah,Gaza Strip,,,252703,Governorate,,,#N/A,,Gaza StripPalestine,county,1,XG,محافظة رفح,,,,,,,,,,,,,,,,NONE,0.0,
Palestine,Bethlehem,West Bank,,,229884,Governorate,Bethlehem,,Bethlehem,,West BankPalestine,locality,,XW,بيت لحم,,,,,,,,,,,,,,,,NONE,0.0,
Palestine,Hebron,West Bank,,,762541,Governorate,Hebron,,Hebron,,West BankPalestine,locality,,XW,الخليل,,,,,,,,,,,,,,,,NONE,0.0,
Palestine,Jenin,West Bank,,,332050,Governorate,Jenin,,Jenin,,West BankPalestine,locality,,XW,جنين,,,,,,,,,,,,,,,,NONE,0.0,
Palestine,Nablus,West Bank,,,407754,Governorate,Nablus,,Nablus,,West BankPalestine,locality,,XW,نابلس,,,,,,,,,,,,,,,,NONE,0.0,
Palestine,East Jerusalem,West Bank,,,461666,Governorate,Ramallah,,Ramallah,,West BankPalestine,locality,,XW,القدس الشرقية,,,,,,,,,,,,,,,,NONE,0.0,
Palestine,Ramallah,West Bank,,,347818,Governorate,Ramallah,,Ramallah,,West BankPalestine,locality,,XW,رام الله,,,,,,,,,,,,,,,,NONE,0.0,
Palestine,Tulkarm,West Bank,,,195341,Governorate,,,#N/A,,West BankPalestine,locality,,XW,طولكرم,,,,,,,,,,,,,,,,NONE,0.0,
Palestine,Qalqilyah,West Bank,,,119042,Governorate,,,#N/A,,West BankPalestine,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Palestine,Salfit,West Bank,,,80225,Governorate,,,#N/A,,West BankPalestine,locality,,XW,سلفيت,,,,,,,,,,,,,,,,NONE,0.0,
Palestine,Tubas,West Bank,,,64507,Governorate,,,#N/A,,West BankPalestine,locality,,XW,طوبلاس,,,,,,,,,,,,,,,,NONE,0.0,
Palestine,Jericho,West Bank,,,52355,Governorate,,,#N/A,,West BankPalestine,locality,,XW,أريحا,,,,,,,,,,,,,,,,NONE,0.0,
