Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Paraguay,Puerto Casado (La Victoria),Alto Paraguay,,,6618,District,,,#N/A,,Alto ParaguayParaguay,locality,,PY-16,Puerto Casado,,,,locality,,PY-16,Puerto Casado,,,,,region,1,PY-16,Alto Paraguay,HIGH,1.0,PY-16
Paraguay,Carmelo Peralta (← Puerto Casado),Alto Paraguay,,,4576,District,,,#N/A,,Alto ParaguayParaguay,locality,,PY-16,Carmelo Peralta,,,,locality,,PY-16,Carmelo Peralta,,,,,region,1,PY-16,Alto Paraguay,HIGH,1.0,PY-16
Paraguay,Fuerte Olimpo,Alto Paraguay,,,4523,District,,,#N/A,,Alto ParaguayParaguay,locality,,PY-16,Fuerte Olimpo,,,,locality,,PY-16,Fuerte Olimpo,,,,,region,1,PY-16,Alto Paraguay,HIGH,1.0,PY-16
Paraguay,Bahía Negra (← Fuerte Olimpo),Alto Paraguay,,,2514,District,,,#N/A,,Alto ParaguayParaguay,locality,,PY-16,Bahía Negra,,,,locality,,PY-16,Bahía Negra,,,,,region,1,PY-16,Alto Paraguay,HIGH,1.0,PY-16
Paraguay,Ciudad del Este,Alto Paraná,,,304282,District,Ciudad del Este,,Ciudad del Este,,Alto ParanáParaguay,locality,,PY-10,Ciudad del Este,,,,locality,,PY-10,Ciudad del Este,,,,,region,1,PY-10,Alto Paraná,HIGH,1.0,PY-10
Paraguay,Presidente Franco,Alto Paraná,,,104677,District,Ciudad del Este,,Ciudad del Este,,Alto ParanáParaguay,locality,,PY-10,Presidente Franco,,,,locality,,PY-10,Presidente Franco,,,,,region,1,PY-10,Alto Paraná,HIGH,1.0,PY-10
Paraguay,Hernandarias,Alto Paraná,,,80319,District,Ciudad del Este,,Ciudad del Este,,Alto ParanáParaguay,locality,,PY-10,Hernandarias,,,,locality,,PY-10,Hernandarias,,,,,region,1,PY-10,Alto Paraná,HIGH,1.0,PY-10
Paraguay,Doctor Juan León Mallorquín,Alto Paraná,,,22670,District,Doctor JLM,,Doctor JLM,,Alto ParanáParaguay,locality,,PY-10,Doctor Juan León Mallorquín,,,,locality,,PY-10,Doctor Juan León Mallorquín,,,,,region,1,PY-10,Alto Paraná,HIGH,1.0,PY-10
Paraguay,Minga Guazú,Alto Paraná,,,91531,District,,,#N/A,,Alto ParanáParaguay,locality,,PY-10,Minga Guazú,,,,locality,,PY-10,Minga Guazú,,,,,region,1,PY-10,Alto Paraná,HIGH,1.0,PY-10
Paraguay,Itakyry,Alto Paraná,,,39311,District,,,#N/A,,Alto ParanáParaguay,locality,,PY-10,Itakyry,,,,locality,,PY-10,Itakyry,,,,,region,1,PY-10,Alto Paraná,HIGH,1.0,PY-10
Paraguay,Santa Rita,Alto Paraná,,,34905,District,,,#N/A,,Alto ParanáParaguay,locality,,PY-10,Santa Rita,,,,locality,,PY-10,Santa Rita,,,,,region,1,PY-10,Alto Paraná,HIGH,1.0,PY-10
Paraguay,Juan Emilio O'Leary,Alto Paraná,,,26859,District,,,#N/A,,Alto ParanáParaguay,locality,,PY-10,Juan Emilio O'Leary,,,,locality,,PY-10,Juan Emilio O'Leary,,,,,region,1,PY-10,Alto Paraná,HIGH,1.0,PY-10
Paraguay,Minga Porá,Alto Paraná,,,15156,District,,,#N/A,,Alto ParanáParaguay,locality,,PY-10,Minga Porá,,,,locality,,PY-10,Minga Porá,,,,,region,1,PY-10,Alto Paraná,HIGH,1.0,PY-10
Paraguay,San Alberto,Alto Paraná,,,11973,District,,,#N/A,,Alto ParanáParaguay,locality,,PY-10,San Alberto,,,,locality,,PY-10,San Alberto,,,,,region,1,PY-10,Alto Paraná,HIGH,1.0,PY-10
Paraguay,Yguazú,Alto Paraná,,,11391,District,,,#N/A,,Alto ParanáParaguay,locality,,PY-10,Yguazú,,,,locality,,PY-10,Yguazú,,,,,region,1,PY-10,Alto Paraná,HIGH,1.0,PY-10
Paraguay,San Cristóbal,Alto Paraná,,,11301,District,,,#N/A,,Alto ParanáParaguay,locality,,PY-10,San Cristóbal,,,,locality,,PY-10,San Cristóbal,,,,,region,1,PY-10,Alto Paraná,HIGH,1.0,PY-10
Paraguay,Los Cedrales,Alto Paraná,,,10316,District,,,#N/A,,Alto ParanáParaguay,locality,,PY-10,Los Cedrales,,,,locality,,PY-10,Los Cedrales,,,,,region,1,PY-10,Alto Paraná,HIGH,1.0,PY-10
Paraguay,Doctor Raúl Peña (← Naranjal),Alto Paraná,,,9647,District,,,#N/A,,Alto ParanáParaguay,locality,,PY-10,Naranjal,,,,,,,,,,,,region,1,PY-10,Alto Paraná,NONE,0.0,PY-10
Paraguay,Ñacunday,Alto Paraná,,,9500,District,,,#N/A,,Alto ParanáParaguay,locality,,PY-10,Ñacunday,,,,locality,,PY-10,Ñacunday,,,,,region,1,PY-10,Alto Paraná,HIGH,1.0,PY-10
