Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Qatar,Ad-Dawḥah al-Minṭaqah aṣ-Ṣinā'iyah [Doha Industrial Area],Ad-Dawḥah [Doha],,,313754,Zone,Doha,,Doha,,Ad-Dawḥah [Doha]Qatar,,,,,,,,,,,,,,,,,NONE,0.0,
Qatar,Al-Maṭār al-'Tīq [Old Airport Doha],Ad-Dawḥah [Doha],,,76774,Zone,Doha,,Doha,,Ad-Dawḥah [Doha]Qatar,,,,,,,,,,,,,,,,,NONE,0.0,
Qatar,Al-Manṣūrah / Farīj Bin Dirham [Al Mansoura / Fereej Bin Dirham],Ad-Dawḥah [Doha],,,65493,Zone,Doha,,Doha,,Ad-Dawḥah [Doha]Qatar,,,,,,,,,,,,,,,,,NONE,0.0,
Qatar,Madīnat Khalīfat al-Janūbiyah [Madinat Khalifa South],Ad-Dawḥah [Doha],,,44459,Zone,Doha,,Doha,,Ad-Dawḥah [Doha]Qatar,,,,,,,,,,,,,,,,,NONE,0.0,
Qatar,Najmah [Najma],Ad-Dawḥah [Doha],,,43695,Zone,Doha,,Doha,,Ad-Dawḥah [Doha]Qatar,,,,,,,,,,,,,,,,,NONE,0.0,
Qatar,'Unaīzah / Liqṭaīfiyah / Al-Qaṣār [Onaiza / Leqtaifiya / Al Qassar],Ad-Dawḥah [Doha],,,39761,Zone,Doha,,Doha,,Ad-Dawḥah [Doha]Qatar,,,,,,,,,,,,,,,,,NONE,0.0,
Qatar,Umm Ghuwaīlīnah [Umm Ghuwailina],Ad-Dawḥah [Doha],,,39457,Zone,Doha,,Doha,,Ad-Dawḥah [Doha]Qatar,,,,,,,,,,,,,,,,,NONE,0.0,
Qatar,As-Sad / Al-Mirqāb al-Jadīdah / Farīj an-Naṣr [Al Sadd / New Al Mirqab / Fereej Al Nasr],Ad-Dawḥah [Doha],,,36077,Zone,Doha,,Doha,,Ad-Dawḥah [Doha]Qatar,,,,,,,,,,,,,,,,,NONE,0.0,
Qatar,Nu'aījah [Nuaija],Ad-Dawḥah [Doha],,,33906,Zone,Doha,,Doha,,Ad-Dawḥah [Doha]Qatar,,,,,,,,,,,,,,,,,NONE,0.0,
Qatar,Farīj Bin 'Umrān [Fereej Bin Omran / New Al Hitmi / Hamad Medical City],Ad-Dawḥah [Doha],,,33263,Zone,Doha,,Doha,,Ad-Dawḥah [Doha]Qatar,,,,,,,,,,,,,,,,,NONE,0.0,
Qatar,As-Sad [Al Sadd],Ad-Dawḥah [Doha],,,33138,Zone,Doha,,Doha,,Ad-Dawḥah [Doha]Qatar,,,,,,,,,,,,,,,,,NONE,0.0,
Qatar,Rawḍat al-Khaīl [Rawdat Al Khail],Ad-Dawḥah [Doha],,,27569,Zone,Doha,,Doha,,Ad-Dawḥah [Doha]Qatar,,,,,,,,,,,,,,,,,NONE,0.0,
Qatar,Farīj 'Abdal 'Azīz [Fereej Abdel Aziz],Ad-Dawḥah [Doha],,,27515,Zone,Doha,,Doha,,Ad-Dawḥah [Doha]Qatar,,,,,,,,,,,,,,,,,NONE,0.0,
Qatar,Farīj Bin Maḥmūd [Fereej Bin Mahmoud],Ad-Dawḥah [Doha],,,25053,Zone,Doha,,Doha,,Ad-Dawḥah [Doha]Qatar,,,,,,,,,,,,,,,,,NONE,0.0,
Qatar,As-Salaṭah al-Jadīdah [New Salata],Ad-Dawḥah [Doha],,,23432,Zone,Doha,,Doha,,Ad-Dawḥah [Doha]Qatar,,,,,,,,,,,,,,,,,NONE,0.0,
Qatar,Ath-Thumāmah [Al Thumama],Ad-Dawḥah [Doha],,,22284,Zone,Doha,,Doha,,Ad-Dawḥah [Doha]Qatar,,,,,,,,,,,,,,,,,NONE,0.0,
Qatar,Ad-Dawḥah al-Jadīdah [New Doha],Ad-Dawḥah [Doha],,,22019,Zone,Doha,,Doha,,Ad-Dawḥah [Doha]Qatar,,,,,,,,,,,,,,,,,NONE,0.0,
Qatar,Ath-Thumāmah [Al Thumama],Ad-Dawḥah [Doha],,,20181,Zone,Doha,,Doha,,Ad-Dawḥah [Doha]Qatar,,,,,,,,,,,,,,,,,NONE,0.0,
Qatar,Nu'aījah [Nuaija],Ad-Dawḥah [Doha],,,19975,Zone,Doha,,Doha,,Ad-Dawḥah [Doha]Qatar,,,,,,,,,,,,,,,,,NONE,0.0,
Qatar,Al-Ghānim at-'Tīq [Old Al Ghanim],Ad-Dawḥah [Doha],,,19010,Zone,Doha,,Doha,,Ad-Dawḥah [Doha]Qatar,,,,,,,,,,,,,,,,,NONE,0.0,
Qatar,Farīj Bin Maḥmūd [Fereej Bin Mahmoud],Ad-Dawḥah [Doha],,,18850,Zone,Doha,,Doha,,Ad-Dawḥah [Doha]Qatar,,,,,,,,,,,,,,,,,NONE,0.0,
Qatar,Madīnat Khalīfah ash-Shamaliyah / Daḥl al-Ḥamām [Madinat Khalifa North / Dahl Al Hamam],Ad-Dawḥah [Doha],,,18644,Zone,Doha,,Doha,,Ad-Dawḥah [Doha]Qatar,,,,,,,,,,,,,,,,,NONE,0.0,
Qatar,Umm Lakhbā [Umm Lekhba],Ad-Dawḥah [Doha],,,16933,Zone,Doha,,Doha,,Ad-Dawḥah [Doha]Qatar,,,,,,,,,,,,,,,,,NONE,0.0,
Qatar,Al-Hilāl [Al Hilal],Ad-Dawḥah [Doha],,,15461,Zone,Doha,,Doha,,Ad-Dawḥah [Doha]Qatar,,,,,,,,,,,,,,,,,NONE,0.0,
Qatar,Mushaīreb [Mushayreb],Ad-Dawḥah [Doha],,,15188,Zone,Doha,,Doha,,Ad-Dawḥah [Doha]Qatar,,,,,,,,,,,,,,,,,NONE,0.0,
Qatar,Farīj Kulaīb [Fereej Kulaib],Ad-Dawḥah [Doha],,,11794,Zone,Doha,,Doha,,Ad-Dawḥah [Doha]Qatar,,,,,,,,,,,,,,,,,NONE,0.0,
Qatar,Ḥazm al-Markhiyah [Hazm Al Markhiya],Ad-Dawḥah [Doha],,,11272,Zone,Doha,,Doha,,Ad-Dawḥah [Doha]Qatar,,,,,,,,,,,,,,,,,NONE,0.0,
Qatar,Al-Markhiyah [Al Markhiya],Ad-Dawḥah [Doha],,,11248,Zone,Doha,,Doha,,Ad-Dawḥah [Doha]Qatar,,,,,,,,,,,,,,,,,NONE,0.0,
