Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Serbia,Novi Beograd,Belgrade City,,,211027,City Municipality,Belgrade,,Belgrade,,Belgrade CitySerbia,county,2,,Град Београд,,,,locality,,nan,Нови Београд,,,,,region,1,nan,Централна Србија,HIGH,1.0,nan
Serbia,Palilula (Beograd),Belgrade City,,,185416,City Municipality,Belgrade,,Belgrade,,Belgrade CitySerbia,county,2,,Град Београд,,,,locality,,nan,Палилула,,,,,region,1,nan,Централна Србија,HIGH,1.0,nan
Serbia,Zemun,Belgrade City,,,176894,City Municipality,Belgrade,,Belgrade,,Belgrade CitySerbia,county,2,,Град Београд,,,,locality,,nan,Земун,,,,,region,1,nan,Централна Србија,HIGH,1.0,nan
Serbia,Čukarica,Belgrade City,,,175860,City Municipality,Belgrade,,Belgrade,,Belgrade CitySerbia,county,2,,Град Београд,,,,locality,,nan,Чукарица,,,,,region,1,nan,Централна Србија,HIGH,1.0,nan
Serbia,Zvezdara,Belgrade City,,,171064,City Municipality,Belgrade,,Belgrade,,Belgrade CitySerbia,county,2,,Град Београд,,,,locality,,nan,Звездара,,,,,region,1,nan,Централна Србија,HIGH,1.0,nan
Serbia,Voždovac,Belgrade City,,,169801,City Municipality,Belgrade,,Belgrade,,Belgrade CitySerbia,county,2,,Град Београд,,,,locality,,nan,Вождовац,,,,,region,1,nan,Централна Србија,HIGH,1.0,nan
Serbia,Rakovica,Belgrade City,,,106852,City Municipality,Belgrade,,Belgrade,,Belgrade CitySerbia,county,2,,Град Београд,,,,locality,,nan,Раковица,,,,,region,1,nan,Централна Србија,HIGH,1.0,nan
Serbia,Grocka,Belgrade City,,,87092,City Municipality,Belgrade,,Belgrade,,Belgrade CitySerbia,county,2,,Град Београд,,,,locality,,nan,Гроцка,,,,,region,1,nan,Централна Србија,HIGH,1.0,nan
Serbia,Obrenovac,Belgrade City,,,71808,City Municipality,Belgrade,,Belgrade,,Belgrade CitySerbia,county,2,,Град Београд,,,,locality,,nan,Обреновац,,,,,region,1,nan,Централна Србија,HIGH,1.0,nan
Serbia,Vračar,Belgrade City,,,57888,City Municipality,Belgrade,,Belgrade,,Belgrade CitySerbia,county,2,,Град Београд,,,,locality,,nan,Врачар,,,,,region,1,nan,Централна Србија,HIGH,1.0,nan
Serbia,Lazarevac,Belgrade City,,,55802,City Municipality,Belgrade,,Belgrade,,Belgrade CitySerbia,county,2,,Град Београд,,,,locality,,nan,Лазаревац,,,,,region,1,nan,Централна Србија,HIGH,1.0,nan
Serbia,Mladenovac,Belgrade City,,,51055,City Municipality,Belgrade,,Belgrade,,Belgrade CitySerbia,county,2,,Град Београд,,,,locality,,nan,Младеновац (село),,,,,region,1,nan,Централна Србија,HIGH,1.0,nan
Serbia,Surčin,Belgrade City,,,47212,City Municipality,Belgrade,,Belgrade,,Belgrade CitySerbia,county,2,,Град Београд,,,,locality,,nan,Сурчин,,,,,region,1,nan,Централна Србија,HIGH,1.0,nan
Serbia,Stari Grad,Belgrade City,,,43772,City Municipality,Belgrade,,Belgrade,,Belgrade CitySerbia,county,2,,Град Београд,,,,locality,,nan,Стари град,,,,,region,1,nan,Централна Србија,HIGH,1.0,nan
Serbia,Savski Venac,Belgrade City,,,34912,City Municipality,Belgrade,,Belgrade,,Belgrade CitySerbia,county,2,,Град Београд,,,,locality,,nan,Савски венац,,,,,region,1,nan,Централна Србија,HIGH,1.0,nan
