Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Russia,Maykop,Adygea,,,167658,Urban District,Maykop,,Maykop,,AdygeaRussia,,,,,locality,,RU-AD,Майкоп,,,,,region,1,RU-AD,Адыгея,HIGH,1.0,RU-AD
Russia,Takhtamukaysky Raion,Adygea,,,122759,District,,,#N/A,,AdygeaRussia,,,,,county,2,RU-AD,Тахтамукайский район,,,,,region,1,RU-AD,Адыгея,HIGH,1.0,RU-AD
Russia,Maykopsky Raion,Adygea,,,58477,District,,,#N/A,,AdygeaRussia,,,,,county,2,RU-AD,Майкопский район,,,,,region,1,RU-AD,Адыгея,HIGH,1.0,RU-AD
Russia,Krasnogvardeysky Raion,Adygea,,,32049,District,,,#N/A,,AdygeaRussia,,,,,county,2,RU-AD,Красногвардейский район,,,,,region,1,RU-AD,Адыгея,HIGH,1.0,RU-AD
Russia,Giaginsky Raion,Adygea,,,31937,District,,,#N/A,,AdygeaRussia,,,,,county,2,RU-AD,Гиагинский район,,,,,region,1,RU-AD,Адыгея,HIGH,1.0,RU-AD
Russia,Koshekhablsky Raion,Adygea,,,30047,District,,,#N/A,,AdygeaRussia,,,,,county,2,RU-AD,Кошехабльский район,,,,,region,1,RU-AD,Адыгея,HIGH,1.0,RU-AD
Russia,Teuchezhsky Raion,Adygea,,,22155,District,,,#N/A,,AdygeaRussia,,,,,county,2,RU-AD,Теучежский район,,,,,region,1,RU-AD,Адыгея,HIGH,1.0,RU-AD
Russia,Shovgenovsky Raion,Adygea,,,16227,District,,,#N/A,,AdygeaRussia,,,,,county,2,RU-AD,Шовгеновский район,,,,,region,1,RU-AD,Адыгея,HIGH,1.0,RU-AD
Russia,Adygeysk,Adygea,,,15625,Urban District,,,#N/A,,AdygeaRussia,,,,,locality,,RU-AD,Адыгейск,,,,,region,1,RU-AD,Адыгея,HIGH,1.0,RU-AD
Russia,Gorno-Altaysk,Altai,,,65342,City,Gorno-Altaysk,,Gorno-Altaysk,,AltaiRussia,,,,,,,,,,,,,region,1,RU-ALT,Алтайский край,NONE,0.0,RU-ALT
Russia,Mayminsky Raion,Altai,,,30375,District,,,#N/A,,AltaiRussia,,,,,,,,,,,,,region,1,RU-ALT,Алтайский край,NONE,0.0,RU-ALT
Russia,Kosh-Agachsky Raion,Altai,,,18328,District,,,#N/A,,AltaiRussia,,,,,,,,,,,,,region,1,RU-ALT,Алтайский край,NONE,0.0,RU-ALT
Russia,Ust-Koksinsky Raion,Altai,,,15801,District,,,#N/A,,AltaiRussia,,,,,,,,,,,,,region,1,RU-ALT,Алтайский край,NONE,0.0,RU-ALT
Russia,Ust-Kansky Raion,Altai,,,14438,District,,,#N/A,,AltaiRussia,,,,,,,,,,,,,region,1,RU-ALT,Алтайский край,NONE,0.0,RU-ALT
Russia,Ongudaysky Raion,Altai,,,14051,District,,,#N/A,,AltaiRussia,,,,,,,,,,,,,region,1,RU-ALT,Алтайский край,NONE,0.0,RU-ALT
Russia,Shebalinsky Raion,Altai,,,11988,District,,,#N/A,,AltaiRussia,,,,,,,,,,,,,region,1,RU-ALT,Алтайский край,NONE,0.0,RU-ALT
Russia,Ulagansky Raion,Altai,,,11623,District,,,#N/A,,AltaiRussia,,,,,,,,,,,,,region,1,RU-ALT,Алтайский край,NONE,0.0,RU-ALT
Russia,Turochaksky Raion,Altai,,,11174,District,,,#N/A,,AltaiRussia,,,,,,,,,,,,,region,1,RU-ALT,Алтайский край,NONE,0.0,RU-ALT
Russia,Chemalsky Raion,Altai,,,10180,District,,,#N/A,,AltaiRussia,,,,,,,,,,,,,region,1,RU-ALT,Алтайский край,NONE,0.0,RU-ALT
Russia,Choysky Raion,Altai,,,7624,District,,,#N/A,,AltaiRussia,,,,,,,,,,,,,region,1,RU-ALT,Алтайский край,NONE,0.0,RU-ALT
Russia,Barnaul,Altai Krai,,,698603,Urban District,Barnaul,,Barnaul,,Altai KraiRussia,,,,,locality,,RU-ALT,Барнаул,,,,,region,1,RU-ALT,Алтайский край,HIGH,1.0,RU-ALT
Russia,Biysk,Altai Krai,,,191963,Urban District,Biysk,,Biysk,,Altai KraiRussia,,,,,locality,,RU-ALT,Бийск,,,,,region,1,RU-ALT,Алтайский край,HIGH,1.0,RU-ALT
Russia,Novoaltaysk,Altai Krai,,,73049,City,Novoaltaysk,,Novoaltaysk,,Altai KraiRussia,,,,,locality,,RU-ALT,Новоалтайск,,,,,region,1,RU-ALT,Алтайский край,HIGH,1.0,RU-ALT
Russia,Rubtsovsk,Altai Krai,,,126834,City,Rubtsovsk,,Rubtsovsk,,Altai KraiRussia,,,,,locality,,RU-ALT,Рубцовск,,,,,region,1,RU-ALT,Алтайский край,HIGH,1.0,RU-ALT
