Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Saudi Arabia,Al-Bāḥah,Al-Bahah,,,90515,Governorate,Al Bahah,,Al Bahah,,Al-BahahSaudi Arabia,county,2,SA-11,محافظة الباحة,,,,region,1,SA-11,منطقة الباحة,,,,,region,1,SA-11,منطقة الباحة,HIGH,1.0,SA-11
Saudi Arabia,Baljurashī,Al-Bahah,,,51787,Governorate,,,#N/A,,Al-BahahSaudi Arabia,county,2,SA-11,محافظة بلجرشي,,,,,,,,,,,,region,1,SA-11,منطقة الباحة,NONE,0.0,SA-11
Saudi Arabia,Al-Makhwāh,Al-Bahah,,,48333,Governorate,,,#N/A,,Al-BahahSaudi Arabia,county,2,SA-11,محافظة المخواة,,,,,,,,,,,,region,1,SA-11,منطقة الباحة,NONE,0.0,SA-11
Saudi Arabia,Al-'Aqīq,Al-Bahah,,,37608,Governorate,,,#N/A,,Al-BahahSaudi Arabia,county,2,SA-11,محافظة العقيق,,,,,,,,,,,,region,1,SA-11,منطقة الباحة,NONE,0.0,SA-11
Saudi Arabia,Qilwah,Al-Bahah,,,31197,Governorate,,,#N/A,,Al-BahahSaudi Arabia,county,2,SA-11,محافظة قلوه,,,,county,2,SA-11,محافظة قلوه,,,,,region,1,SA-11,منطقة الباحة,HIGH,1.0,SA-11
Saudi Arabia,Al-Mandaq,Al-Bahah,,,20010,Governorate,,,#N/A,,Al-BahahSaudi Arabia,county,2,SA-11,محافظة المندق,,,,,,,,,,,,region,1,SA-11,منطقة الباحة,NONE,0.0,SA-11
Saudi Arabia,Al-Qarā,Al-Bahah,,,19586,Governorate,,,#N/A,,Al-BahahSaudi Arabia,county,2,SA-11,محافظة القرى,,,,,,,,,,,,region,1,SA-11,منطقة الباحة,NONE,0.0,SA-11
Saudi Arabia,Banī Ḥasan [← Al-Mandaq],Al-Bahah,,,15496,Governorate,,,#N/A,,Al-BahahSaudi Arabia,county,2,SA-11,محافظة بني حسن,,,,,,,,,,,,region,1,SA-11,منطقة الباحة,NONE,0.0,SA-11
Saudi Arabia,Far'at Ghāmid az-Zinād [← Al-Makhwāh],Al-Bahah,,,12506,Governorate,,,#N/A,,Al-BahahSaudi Arabia,county,2,SA-11,محافظة فرعة غامد الزناد,,,,,,,,,,,,region,1,SA-11,منطقة الباحة,NONE,0.0,SA-11
Saudi Arabia,Al-Ḥajrah [← Qilwah],Al-Bahah,,,12136,Governorate,,,#N/A,,Al-BahahSaudi Arabia,county,2,SA-11,محافظة الحجرة,,,,,,,,,,,,region,1,SA-11,منطقة الباحة,NONE,0.0,SA-11
