Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Sweden,Karlskrona,Blekinge,,,66708,Municipality,Karlskrona,,Karlskrona,,BlekingeSweden,county,2,SE-K,Karlskrona kommun,,,,county,2,SE-K,Karlskrona kommun,,,,,region,1,SE-K,Blekinge län,LOW,0.791,SE-K
Sweden,Sölvesborg,Blekinge,,,17540,Municipality,Mjällby,,Mjällby,,BlekingeSweden,county,2,SE-K,Sölvesborgs kommun,,,,,,,,,,,,region,1,SE-K,Blekinge län,NONE,0.0,SE-K
Sweden,Karlshamn,Blekinge,,,32226,Municipality,,,#N/A,,BlekingeSweden,county,2,SE-K,Karlshamns kommun,,,,,,,,,,,,region,1,SE-K,Blekinge län,NONE,0.0,SE-K
Sweden,Ronneby,Blekinge,,,29200,Municipality,,,#N/A,,BlekingeSweden,county,2,SE-K,Ronneby kommun,,,,,,,,,,,,region,1,SE-K,Blekinge län,NONE,0.0,SE-K
Sweden,Olofström,Blekinge,,,13263,Municipality,,,#N/A,,BlekingeSweden,county,2,SE-K,Olofströms kommun,,,,,,,,,,,,region,1,SE-K,Blekinge län,NONE,0.0,SE-K
Sweden,Avesta,Dalarna,,,22925,Municipality,Avesta,,Avesta,,DalarnaSweden,county,2,SE-W,Avesta kommun,,,,,,,,,,,,region,1,SE-W,Dalarnas län,NONE,0.0,SE-W
Sweden,Borlänge,Dalarna,,,52254,Municipality,Borlange,,Borlange,,DalarnaSweden,county,2,SE-W,Borlänge kommun,,,,,,,,,,,,region,1,SE-W,Dalarnas län,NONE,0.0,SE-W
Sweden,Leksand,Dalarna,,,16012,Municipality,Leksand,,Leksand,,DalarnaSweden,county,2,SE-W,Leksands kommun,,,,,,,,,,,,region,1,SE-W,Dalarnas län,NONE,0.0,SE-W
Sweden,Falun,Dalarna,,,59837,Municipality,,,#N/A,,DalarnaSweden,county,2,SE-W,Falu kommun,,,,,,,,,,,,region,1,SE-W,Dalarnas län,NONE,0.0,SE-W
Sweden,Ludvika,Dalarna,,,26497,Municipality,,,#N/A,,DalarnaSweden,county,2,SE-W,Ludvika kommun,,,,,,,,,,,,region,1,SE-W,Dalarnas län,NONE,0.0,SE-W
Sweden,Mora,Dalarna,,,20670,Municipality,,,#N/A,,DalarnaSweden,county,2,SE-W,Mora kommun,,,,,,,,,,,,region,1,SE-W,Dalarnas län,NONE,0.0,SE-W
Sweden,Hedemora,Dalarna,,,15458,Municipality,,,#N/A,,DalarnaSweden,county,2,SE-W,Hedemora kommun,,,,,,,,,,,,region,1,SE-W,Dalarnas län,NONE,0.0,SE-W
Sweden,Säter,Dalarna,,,11242,Municipality,,,#N/A,,DalarnaSweden,county,2,SE-W,Säters kommun,,,,,,,,,,,,region,1,SE-W,Dalarnas län,NONE,0.0,SE-W
Sweden,Rättvik,Dalarna,,,11103,Municipality,,,#N/A,,DalarnaSweden,county,2,SE-W,Rättviks kommun,,,,,,,,,,,,region,1,SE-W,Dalarnas län,NONE,0.0,SE-W
Sweden,Smedjebacken,Dalarna,,,10933,Municipality,,,#N/A,,DalarnaSweden,county,2,SE-W,Smedjebackens kommun,,,,county,2,SE-W,Smedjebackens kommun,,,,,region,1,SE-W,Dalarnas län,LOW,0.8,SE-W
Sweden,Gagnef,Dalarna,,,10502,Municipality,,,#N/A,,DalarnaSweden,county,2,SE-W,Gagnefs kommun,,,,,,,,,,,,region,1,SE-W,Dalarnas län,NONE,0.0,SE-W
Sweden,Malung-Sälen,Dalarna,,,10218,Municipality,,,#N/A,,DalarnaSweden,county,2,SE-W,Malung-Sälens kommun,,,,county,2,SE-W,Malung-Sälens kommun,,,,,region,1,SE-W,Dalarnas län,LOW,0.8,SE-W
Sweden,Älvdalen,Dalarna,,,7042,Municipality,,,#N/A,,DalarnaSweden,county,2,SE-W,Älvdalens kommun,,,,,,,,,,,,region,1,SE-W,Dalarnas län,NONE,0.0,SE-W
Sweden,Orsa,Dalarna,,,6918,Municipality,,,#N/A,,DalarnaSweden,county,2,SE-W,Orsa kommun,,,,,,,,,,,,region,1,SE-W,Dalarnas län,NONE,0.0,SE-W
Sweden,Vansbro,Dalarna,,,6776,Municipality,,,#N/A,,DalarnaSweden,county,2,SE-W,Vansbro kommun,,,,,,,,,,,,region,1,SE-W,Dalarnas län,NONE,0.0,SE-W
Sweden,Gävle,Gävleborg,,,103136,Municipality,Gävle,,Gävle,,GävleborgSweden,county,2,SE-X,Gävle kommun,,,,locality,,SE-X,Gävle,,,,,region,1,SE-X,Gävleborgs län,HIGH,1.0,SE-X
Sweden,Sandviken,Gävleborg,,,39250,Municipality,Sandviken,,Sandviken,,GävleborgSweden,county,2,SE-X,Sandvikens kommun,,,,,,,,,,,,region,1,SE-X,Gävleborgs län,NONE,0.0,SE-X
Sweden,Hudiksvall,Gävleborg,,,37744,Municipality,,,#N/A,,GävleborgSweden,county,2,SE-X,Hudiksvalls kommun,,,,,,,,,,,,region,1,SE-X,Gävleborgs län,NONE,0.0,SE-X
Sweden,Bollnäs,Gävleborg,,,26753,Municipality,,,#N/A,,GävleborgSweden,county,2,SE-X,Bollnäs kommun,,,,,,,,,,,,region,1,SE-X,Gävleborgs län,NONE,0.0,SE-X
Sweden,Söderhamn,Gävleborg,,,25446,Municipality,,,#N/A,,GävleborgSweden,county,2,SE-X,Söderhamns kommun,,,,,,,,,,,,region,1,SE-X,Gävleborgs län,NONE,0.0,SE-X
Sweden,Ljusdal,Gävleborg,,,18804,Municipality,,,#N/A,,GävleborgSweden,county,2,SE-X,Ljusdals kommun,,,,,,,,,,,,region,1,SE-X,Gävleborgs län,NONE,0.0,SE-X
