Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Slovenia,Zagorje ob Savi,Central Sava,,,16307,Municipality,,,#N/A,,Central SavaSlovenia,region,1,SI-142,Zagorje ob Savi,,,,region,1,SI-142,Zagorje ob Savi,,,,,region,1,SI-142,Zagorje ob Savi,HIGH,1.0,SI-142
Slovenia,Trbovlje,Central Sava,,,15893,Municipality,,,#N/A,,Central SavaSlovenia,region,1,SI-129,Trbovlje,,,,region,1,SI-129,Trbovlje,,,,,region,1,SI-129,Trbovlje,HIGH,1.0,SI-129
Slovenia,Hrastnik,Central Sava,,,8963,Municipality,,,#N/A,,Central SavaSlovenia,region,1,SI-034,Hrastnik,,,,region,1,SI-034,Hrastnik,,,,,region,1,SI-034,Hrastnik,HIGH,1.0,SI-034
Slovenia,Ljubljana,Central Slovenia,,,293218,City Municipality,Ljubljana,,Ljubljana,,Central SloveniaSlovenia,region,1,SI-061,Ljubljana,,,,region,1,SI-061,Ljubljana,,,,,region,1,SI-061,Ljubljana,HIGH,1.0,SI-061
Slovenia,Domžale,Central Slovenia,,,36905,Municipality,Ljubljana,,Ljubljana,,Central SloveniaSlovenia,region,1,SI-023,Domžale,,,,region,1,SI-023,Domžale,,,,,region,1,SI-023,Domžale,HIGH,1.0,SI-023
Slovenia,Kamnik,Central Slovenia,,,29793,Municipality,Ljubljana,,Ljubljana,,Central SloveniaSlovenia,region,1,SI-043,Kamnik,,,,region,1,SI-043,Kamnik,,,,,region,1,SI-043,Kamnik,HIGH,1.0,SI-043
Slovenia,Grosuplje,Central Slovenia,,,21333,Municipality,Ljubljana,,Ljubljana,,Central SloveniaSlovenia,region,1,SI-032,Grosuplje,,,,region,1,SI-032,Grosuplje,,,,,region,1,SI-032,Grosuplje,HIGH,1.0,SI-032
Slovenia,Vrhnika,Central Slovenia,,,17684,Municipality,Ljubljana,,Ljubljana,,Central SloveniaSlovenia,region,1,SI-140,Vrhnika,,,,region,1,SI-140,Vrhnika,,,,,region,1,SI-140,Vrhnika,HIGH,1.0,SI-140
Slovenia,Ivančna Gorica,Central Slovenia,,,17599,Municipality,Ljubljana,,Ljubljana,,Central SloveniaSlovenia,region,1,SI-039,Ivančna Gorica,,,,region,1,SI-039,Ivančna Gorica,,,,,region,1,SI-039,Ivančna Gorica,HIGH,1.0,SI-039
Slovenia,Medvode,Central Slovenia,,,16792,Municipality,Ljubljana,,Ljubljana,,Central SloveniaSlovenia,region,1,SI-071,Medvode,,,,region,1,SI-071,Medvode,,,,,region,1,SI-071,Medvode,HIGH,1.0,SI-071
