Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Slovakia,Banská Bystrica,Banská Bystrica,,,108120,District,Banská Bystrica,,Banská Bystrica,2021,Banská BystricaSlovakia,county,2,SK-BC,okres Banská Bystrica,,,,locality,,SK-BC,Banská Bystrica,,,,,region,1,SK-BC,Banskobystrický kraj,HIGH,1.0,SK-BC
Slovakia,Brezno,Banská Bystrica,,,58965,District,Brezno,,Brezno,2021,Banská BystricaSlovakia,county,2,SK-BC,okres Brezno,,,,localadmin,,SK-BC,Brezno,,,,,region,1,SK-BC,Banskobystrický kraj,HIGH,1.0,SK-BC
Slovakia,Rimavská Sobota,Banská Bystrica,,,80359,District,,,#N/A,2021,Banská BystricaSlovakia,county,2,SK-BC,okres Rimavská Sobota,,,,localadmin,,SK-BC,Rimavská Sobota,,,,,region,1,SK-BC,Banskobystrický kraj,HIGH,1.0,SK-BC
Slovakia,Lučenec,Banská Bystrica,,,69788,District,,,#N/A,2021,Banská BystricaSlovakia,county,2,SK-BC,okres Lučenec,,,,locality,,SK-BC,Lučenec,,,,,region,1,SK-BC,Banskobystrický kraj,HIGH,1.0,SK-BC
Slovakia,Zvolen,Banská Bystrica,,,66294,District,,,#N/A,2021,Banská BystricaSlovakia,county,2,SK-BC,okres Zvolen,,,,locality,,SK-BC,Zvolen,,,,,region,1,SK-BC,Banskobystrický kraj,HIGH,1.0,SK-BC
Slovakia,Žiar nad Hronom,Banská Bystrica,,,44424,District,,,#N/A,2021,Banská BystricaSlovakia,county,2,SK-BC,okres Žiar nad Hronom,,,,localadmin,,SK-BC,Žiar nad Hronom,,,,,region,1,SK-BC,Banskobystrický kraj,HIGH,1.0,SK-BC
Slovakia,Veľký Krtíš,Banská Bystrica,,,41605,District,,,#N/A,2021,Banská BystricaSlovakia,county,2,SK-BC,okres Veľký Krtíš,,,,locality,,SK-BC,Veľký Krtíš,,,,,region,1,SK-BC,Banskobystrický kraj,HIGH,1.0,SK-BC
Slovakia,Revúca,Banská Bystrica,,,38242,District,,,#N/A,2021,Banská BystricaSlovakia,county,2,SK-BC,okres Revúca,,,,locality,,SK-BC,Revúca,,,,,region,1,SK-BC,Banskobystrický kraj,HIGH,1.0,SK-BC
Slovakia,Detva,Banská Bystrica,,,30854,District,,,#N/A,2021,Banská BystricaSlovakia,county,2,SK-BC,okres Detva,,,,localadmin,,SK-BC,Detva,,,,,region,1,SK-BC,Banskobystrický kraj,HIGH,1.0,SK-BC
Slovakia,Žarnovica,Banská Bystrica,,,24991,District,,,#N/A,2021,Banská BystricaSlovakia,county,2,SK-BC,okres Žarnovica,,,,locality,,SK-BC,Žarnovica,,,,,region,1,SK-BC,Banskobystrický kraj,HIGH,1.0,SK-BC
Slovakia,Krupina,Banská Bystrica,,,21366,District,,,#N/A,2021,Banská BystricaSlovakia,county,2,SK-BC,okres Krupina,,,,localadmin,,SK-BC,Krupina,,,,,region,1,SK-BC,Banskobystrický kraj,HIGH,1.0,SK-BC
Slovakia,Poltár,Banská Bystrica,,,20427,District,,,#N/A,2021,Banská BystricaSlovakia,county,2,SK-BC,okres Poltár,,,,localadmin,,SK-BC,Poltár,,,,,region,1,SK-BC,Banskobystrický kraj,HIGH,1.0,SK-BC
Slovakia,Banská Štiavnica,Banská Bystrica,,,15551,District,,,#N/A,2021,Banská BystricaSlovakia,county,2,SK-BC,okres Banská Štiavnica,,,,localadmin,,SK-BC,Banská Štiavnica,,,,,region,1,SK-BC,Banskobystrický kraj,HIGH,1.0,SK-BC
Slovakia,Bratislava II,Bratislava,,,125001,City District,Bratislava,,Bratislava,2021,BratislavaSlovakia,county,2,SK-BL,okres Bratislava II,,,,locality,,SK-BL,Bratislava,,,,,region,1,SK-BL,Bratislavský kraj,LOW,0.87,SK-BL
Slovakia,Bratislava V,Bratislava,,,122296,City District,Bratislava,,Bratislava,2021,BratislavaSlovakia,county,2,SK-BL,okres Bratislava V,,,,locality,,SK-BL,Bratislava,,,,,region,1,SK-BL,Bratislavský kraj,LOW,0.909,SK-BL
Slovakia,Bratislava IV,Bratislava,,,105154,City District,Bratislava,,Bratislava,2021,BratislavaSlovakia,county,2,SK-BL,okres Bratislava IV,,,,locality,,SK-BL,Bratislava,,,,,region,1,SK-BL,Bratislavský kraj,LOW,0.87,SK-BL
Slovakia,Senec,Bratislava,,,99705,District,Bratislava,,Bratislava,2021,BratislavaSlovakia,county,2,SK-BL,okres Senec,,,,locality,,SK-BL,Senec,,,,,region,1,SK-BL,Bratislavský kraj,HIGH,1.0,SK-BL
Slovakia,Malacky,Bratislava,,,78809,District,Bratislava,,Bratislava,2021,BratislavaSlovakia,county,2,SK-BL,okres Malacky,,,,locality,,SK-BL,Malacky,,,,,region,1,SK-BL,Bratislavský kraj,HIGH,1.0,SK-BL
Slovakia,Bratislava III,Bratislava,,,76694,City District,Bratislava,,Bratislava,2021,BratislavaSlovakia,county,2,SK-BL,okres Bratislava III,,,,county,2,SK-BL,okres Bratislava III,,,,,region,1,SK-BL,Bratislavský kraj,LOW,0.874,SK-BL
Slovakia,Pezinok,Bratislava,,,69623,District,Bratislava,,Bratislava,2021,BratislavaSlovakia,county,2,SK-BL,okres Pezinok,,,,locality,,SK-BL,Pezinok,,,,,region,1,SK-BL,Bratislavský kraj,HIGH,1.0,SK-BL
Slovakia,Bratislava I,Bratislava,,,46432,City District,Bratislava,,Bratislava,2021,BratislavaSlovakia,county,2,SK-BL,okres Bratislava I,,,,locality,,SK-BL,Bratislava,,,,,region,1,SK-BL,Bratislavský kraj,LOW,0.909,SK-BL
Slovakia,Košice-okolie,Košice,,,129237,District,Kocise,,Kocise,2021,KošiceSlovakia,county,2,SK-KI,okres Košice - okolie,,,,,,,,,,,,region,1,SK-KI,Košický kraj,NONE,0.0,SK-KI
Slovakia,Košice II,Košice,,,79034,City District,Kocise,,Kocise,2021,KošiceSlovakia,county,2,SK-KI,okres Košice II,,,,locality,,SK-KI,Košice,,,,,region,1,SK-KI,Košický kraj,LOW,0.8,SK-KI
Slovakia,Košice I,Košice,,,63904,City District,Kocise,,Kocise,2021,KošiceSlovakia,county,2,SK-KI,okres Košice I,,,,locality,,SK-KI,Košice,,,,,region,1,SK-KI,Košický kraj,LOW,0.857,SK-KI
Slovakia,Košice IV,Košice,,,56596,City District,Kocise,,Kocise,2021,KošiceSlovakia,county,2,SK-KI,okres Košice IV,,,,county,2,SK-KI,okres Košice IV,,,,,region,1,SK-KI,Košický kraj,LOW,0.8,SK-KI
Slovakia,Košice III,Košice,,,27924,City District,Kocise,,Kocise,2021,KošiceSlovakia,county,2,SK-KI,okres Košice III,,,,county,2,SK-KI,okres Košice III,,,,,region,1,SK-KI,Košický kraj,LOW,0.819,SK-KI
Slovakia,Michalovce,Košice,,,108520,District,Michalovce,,Michalovce,2021,KošiceSlovakia,county,2,SK-KI,okres Michalovce,,,,locality,,SK-KI,Michalovce,,,,,region,1,SK-KI,Košický kraj,HIGH,1.0,SK-KI
Slovakia,Trebišov,Košice,,,103377,District,,,#N/A,2021,KošiceSlovakia,county,2,SK-KI,okres Trebišov,,,,localadmin,,SK-KI,Trebišov,,,,,region,1,SK-KI,Košický kraj,HIGH,1.0,SK-KI
Slovakia,Spišská Nová Ves,Košice,,,98656,District,,,#N/A,2021,KošiceSlovakia,county,2,SK-KI,okres Spišská Nová Ves,,,,locality,,SK-KI,Spišská Nová Ves,,,,,region,1,SK-KI,Košický kraj,HIGH,1.0,SK-KI
