Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Sierra Leone,Bo,Bo,,,223075,City,Bo,,Bo,,BoSierra Leone,county,2,SL-S,Bo District,,,,county,2,SL-S,Bo District,,,,,region,1,SL-S,Southern Province,HIGH,1.0,SL-S
Sierra Leone,Kakua,Bo,,,96658,Chiefdom,Bo,,Bo,,BoSierra Leone,county,2,SL-S,Bo District,,,,,,,,,,,,,,,,NONE,0.0,
Sierra Leone,Tikonko,Bo,,,92074,Chiefdom,,,#N/A,,BoSierra Leone,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Sierra Leone,Boama,Bo,,,55507,Chiefdom,,,#N/A,,BoSierra Leone,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Sierra Leone,Bumpe Ngao,Bo,,,54364,Chiefdom,,,#N/A,,BoSierra Leone,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Sierra Leone,Lugbu,Bo,,,37157,Chiefdom,,,#N/A,,BoSierra Leone,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Sierra Leone,Valunia,Bo,,,37000,Chiefdom,,,#N/A,,BoSierra Leone,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Sierra Leone,Bagbo,Bo,,,29042,Chiefdom,,,#N/A,,BoSierra Leone,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Sierra Leone,Jaiama,Bo,,,22372,Chiefdom,,,#N/A,,BoSierra Leone,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Sierra Leone,Bongor,Bo,,,20268,Chiefdom,,,#N/A,,BoSierra Leone,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Sierra Leone,Komboya,Bo,,,17503,Chiefdom,,,#N/A,,BoSierra Leone,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Sierra Leone,Niawa Lenga,Bo,,,16368,Chiefdom,,,#N/A,,BoSierra Leone,,,,,,,,,,,,,,,,,,,,NONE,0.0,
