Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Senegal,Dakar,Dakar,,,1278469,Department,Dakar,,Dakar,,DakarSenegal,county,2,SN-DK,Dakar,,,,county,2,SN-DK,Dakar,,,,,region,1,SN-DK,Région de Dakar,HIGH,1.0,SN-DK
Senegal,Rufisque,Dakar,,,818337,Department,Dakar,,Dakar,,DakarSenegal,county,2,SN-DK,Département de Rufisque,,,,localadmin,,SN-DK,Rufisque,,,,,region,1,SN-DK,Région de Dakar,HIGH,1.0,SN-DK
Senegal,Keur Massar (← Pikine (plus Jaxaay)),Dakar,,,770314,Department,Dakar,,Dakar,,DakarSenegal,county,2,SN-DK,Département de Keur Massar,,,,,,,,,,,,region,1,SN-DK,Région de Dakar,NONE,0.0,SN-DK
Senegal,Pikine,Dakar,,,764597,Department,Dakar,,Dakar,,DakarSenegal,county,2,SN-DK,Département de Pikine,,,,county,2,SN-DK,Département de Pikine,,,,,region,1,SN-DK,Région de Dakar,HIGH,1.0,SN-DK
Senegal,Guédiawaye,Dakar,,,372708,Department,Dakar,,Dakar,,DakarSenegal,county,2,SN-DK,Département de Guédiawaye,,,,county,2,SN-DK,Département de Guédiawaye,,,,,region,1,SN-DK,Région de Dakar,HIGH,1.0,SN-DK
Senegal,Mbacké (M'Backé),Diourbel,,,1359756,Department,Touba,,Touba,,DiourbelSenegal,county,2,SN-DB,Département de Mbacké,,,,locality,,SN-DB,Mbacké,,,,,region,1,SN-DB,Région de Diourbel,HIGH,1.0,SN-DB
Senegal,Bambey,Diourbel,,,376467,Department,,,#N/A,,DiourbelSenegal,county,2,SN-DB,Département de Bambey,,,,locality,,SN-DB,Bambey,,,,,region,1,SN-DB,Région de Diourbel,HIGH,1.0,SN-DB
Senegal,Diourbel,Diourbel,,,344109,Department,,,#N/A,,DiourbelSenegal,county,2,SN-DB,Département de Diourbel,,,,locality,,SN-DB,Diourbel,,,,,region,1,SN-DB,Région de Diourbel,HIGH,1.0,SN-DB
Senegal,Fatick,Fatick,,,408566,Department,,,#N/A,,FatickSenegal,county,2,SN-FK,Département de Fatick,,,,locality,,SN-FK,Fatick,,,,,region,1,SN-FK,Région de Fatick,HIGH,1.0,SN-FK
Senegal,Foundiougne,Fatick,,,375388,Department,,,#N/A,,FatickSenegal,county,2,SN-FK,Département de Foundiougne,,,,locality,,SN-FK,Foundiougne,,,,,region,1,SN-FK,Région de Fatick,HIGH,1.0,SN-FK
