Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Syria,Jabal Sam'an,Aleppo,,,2490751,District,Aleppo,,Aleppo,2004,AleppoSyria,county,2,SY-HL,منطقة جبل سمعان,,,,,,,,,,,,region,1,SY-HL,محافظة حلب,NONE,0.0,SY-HL
Syria,Manbij,Aleppo,,,408143,District,,,#N/A,2004,AleppoSyria,county,2,SY-HL,منطقة منبج,,,,county,2,SY-HL,منطقة منبج,,,,,region,1,SY-HL,محافظة حلب,HIGH,1.0,SY-HL
Syria,Al-Bab,Aleppo,,,292713,District,,,#N/A,2004,AleppoSyria,county,2,SY-HL,منطقة الباب,,,,county,2,SY-HL,منطقة الباب,,,,,region,1,SY-HL,محافظة حلب,HIGH,1.0,SY-HL
Syria,A'zaz,Aleppo,,,251769,District,,,#N/A,2004,AleppoSyria,county,2,SY-HL,منطقة أعزاز,,,,,,,,,,,,region,1,SY-HL,محافظة حلب,NONE,0.0,SY-HL
Syria,Ayn al-'Arab,Aleppo,,,192513,District,,,#N/A,2004,AleppoSyria,county,2,SY-HL,منطقة عين العرب,,,,,,,,,,,,region,1,SY-HL,محافظة حلب,NONE,0.0,SY-HL
Syria,As-Safirah,Aleppo,,,178293,District,,,#N/A,2004,AleppoSyria,county,2,SY-HL,منطقة السفيرة,,,,,,,,,,,,region,1,SY-HL,محافظة حلب,NONE,0.0,SY-HL
Syria,Afrin,Aleppo,,,172095,District,,,#N/A,2004,AleppoSyria,county,2,SY-HL,منطقة عفرين,,,,county,2,SY-HL,منطقة عفرين,,,,,region,1,SY-HL,محافظة حلب,HIGH,1.0,SY-HL
Syria,Jarabulus,Aleppo,,,58889,District,,,#N/A,2004,AleppoSyria,county,2,SY-HL,منطقة جرابلس‎‎,,,,,,,,,,,,region,1,SY-HL,محافظة حلب,NONE,0.0,SY-HL
Syria,Markaz Al-Hasakah,Al-Ḥasakah,,,484966,District,Al Hasakah,,Al Hasakah,2004,Al-ḤasakahSyria,county,2,SY-HA,منطقة الحسكة,,,,,,,,,,,,region,1,SY-HA,محافظة الحسكة,NONE,0.0,SY-HA
Syria,Al-Qamishli,Al-Ḥasakah,,,423368,District,,,#N/A,2004,Al-ḤasakahSyria,county,2,SY-HA,منطقة القامشلي,,,,county,2,SY-HA,منطقة القامشلي,,,,,region,1,SY-HA,محافظة الحسكة,HIGH,1.0,SY-HA
Syria,Al-Malikiyah,Al-Ḥasakah,,,189634,District,,,#N/A,2004,Al-ḤasakahSyria,county,2,SY-HA,منطقة المالكية,,,,,,,,,,,,region,1,SY-HA,محافظة الحسكة,NONE,0.0,SY-HA
Syria,Ra's-al-Ayn,Al-Ḥasakah,,,177150,District,,,#N/A,2004,Al-ḤasakahSyria,county,2,SY-HA,منطقة رأس العين,,,,,,,,,,,,region,1,SY-HA,محافظة الحسكة,NONE,0.0,SY-HA
Syria,Markaz Ar-Raqqah,Ar-Raqqah,,,506306,District,Ar Raqqah,,Ar Raqqah,2004,Ar-RaqqahSyria,county,2,SY-RA,منطقة الرقة,,,,,,,,,,,,region,1,SY-RA,محافظة الرقة,NONE,0.0,SY-RA
