Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Togo,Tchaoudjo,Centrale,,,240360,Prefecture,,,#N/A,,CentraleTogo,county,2,TG-C,Tchaoudjo,,,,county,2,TG-C,Tchaoudjo,,,,,region,1,TG-C,Région Centrale,HIGH,1.0,TG-C
Togo,Tchamba,Centrale,,,200585,Prefecture,,,#N/A,,CentraleTogo,county,2,TG-C,Tchamba,,,,county,2,TG-C,Tchamba,,,,,region,1,TG-C,Région Centrale,HIGH,1.0,TG-C
Togo,Blitta,Centrale,,,163272,Prefecture,,,#N/A,,CentraleTogo,county,2,TG-C,Blitta,,,,county,2,TG-C,Blitta,,,,,region,1,TG-C,Région Centrale,HIGH,1.0,TG-C
Togo,Sotouboua,Centrale,,,138864,Prefecture,,,#N/A,,CentraleTogo,county,2,TG-C,Sotouboua,,,,county,2,TG-C,Sotouboua,,,,,region,1,TG-C,Région Centrale,HIGH,1.0,TG-C
Togo,Mô,Centrale,,,52448,Prefecture,,,#N/A,,CentraleTogo,,,,,,,,,,,,,,,,region,1,TG-C,Région Centrale,NONE,0.0,TG-C
Togo,Kozah,Kara,,,283738,Prefecture,,,#N/A,,KaraTogo,county,2,TG-K,Kozah,,,,county,2,TG-K,Kozah,,,,,region,1,TG-K,Région de la Kara,HIGH,1.0,TG-K
Togo,Dankpen,Kara,,,185662,Prefecture,,,#N/A,,KaraTogo,county,2,TG-K,Dankpen,,,,county,2,TG-K,Dankpen,,,,,region,1,TG-K,Région de la Kara,HIGH,1.0,TG-K
Togo,Bassar,Kara,,,152065,Prefecture,,,#N/A,,KaraTogo,county,2,TG-K,Bassar,,,,county,2,TG-K,Bassar,,,,,region,1,TG-K,Région de la Kara,HIGH,1.0,TG-K
Togo,Kéran,Kara,,,128687,Prefecture,,,#N/A,,KaraTogo,county,2,TG-K,Keran,,,,county,2,TG-K,Keran,,,,,region,1,TG-K,Région de la Kara,HIGH,1.0,TG-K
Togo,Doufelgou,Kara,,,84767,Prefecture,,,#N/A,,KaraTogo,county,2,TG-K,Doufelgou,,,,county,2,TG-K,Doufelgou,,,,,region,1,TG-K,Région de la Kara,HIGH,1.0,TG-K
Togo,Binah (Bimah),Kara,,,84199,Prefecture,,,#N/A,,KaraTogo,county,2,TG-K,Binah,,,,county,2,TG-K,Binah,,,,,region,1,TG-K,Région de la Kara,HIGH,1.0,TG-K
Togo,Assoli,Kara,,,66394,Prefecture,,,#N/A,,KaraTogo,county,2,TG-K,Assoli,,,,county,2,TG-K,Assoli,,,,,region,1,TG-K,Région de la Kara,HIGH,1.0,TG-K
Togo,Golfe,Maritime,,,1305681,Prefecture,Lomé,,Lomé,,MaritimeTogo,county,2,TG-M,Golfe,,,,county,2,TG-M,Golfe,,,,,region,1,TG-M,Région Maritime,HIGH,1.0,TG-M
Togo,Agoè-Nyivé,Maritime,,,882695,Prefecture,Lomé,,Lomé,,MaritimeTogo,county,2,TG-M,Lome Commune,,,,,,,,,,,,region,1,TG-M,Région Maritime,NONE,0.0,TG-M
