Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Thailand,Krung Thep Mahanakhon [Bangkok],Bangkok Metropolitan,,,8833400,Province-level City,Bangkok,,Bangkok,,Bangkok MetropolitanThailand,region,1,TH-10,กรุงเทพมหานคร,,,,,,,,,,,,,,,,NONE,0.0,
Thailand,Samut Prakan,Bangkok Metropolitan,,,2159600,Province,Bangkok,,Bangkok,,Bangkok MetropolitanThailand,region,1,TH-11,จังหวัดสมุทรปราการ,,,,region,1,TH-11,จังหวัดสมุทรปราการ,,,,,region,1,TH-11,จังหวัดสมุทรปราการ,HIGH,1.0,TH-11
Thailand,Nonthaburi,Bangkok Metropolitan,,,1611100,Province,Bangkok,,Bangkok,,Bangkok MetropolitanThailand,region,1,TH-12,จังหวัดนนทบุรี,,,,region,1,TH-12,จังหวัดนนทบุรี,,,,,region,1,TH-12,จังหวัดนนทบุรี,HIGH,1.0,TH-12
Thailand,Pathum Thani,Bangkok Metropolitan,,,1541100,Province,Bangkok,,Bangkok,,Bangkok MetropolitanThailand,region,1,TH-13,จังหวัดปทุมธานี,,,,region,1,TH-13,จังหวัดปทุมธานี,,,,,region,1,TH-13,จังหวัดปทุมธานี,HIGH,1.0,TH-13
Thailand,Nakhon Pathom,Bangkok Metropolitan,,,1118600,Province,Bangkok,,Bangkok,,Bangkok MetropolitanThailand,region,1,TH-73,จังหวัดนครปฐม,,,,region,1,TH-73,จังหวัดนครปฐม,,,,,region,1,TH-73,จังหวัดนครปฐม,HIGH,1.0,TH-73
Thailand,Samut Sakhon,Bangkok Metropolitan,,,992100,Province,Bangkok,,Bangkok,,Bangkok MetropolitanThailand,region,1,TH-74,จังหวัดสมุทรสาคร,,,,region,1,TH-74,จังหวัดสมุทรสาคร,,,,,region,1,TH-74,จังหวัดสมุทรสาคร,HIGH,1.0,TH-74
Thailand,Phra Nakhon Si Ayutthaya,Central,,,863400,Province,Bangkok,,Bangkok,,CentralThailand,region,1,TH-14,จังหวัดพระนครศรีอยุธยา,,,,region,1,TH-14,จังหวัดพระนครศรีอยุธยา,,,,,region,1,TH-14,จังหวัดพระนครศรีอยุธยา,HIGH,1.0,TH-14
Thailand,Lopburi,Central,,,776400,Province,,,#N/A,,CentralThailand,region,1,TH-16,จังหวัดลพบุรี,,,,region,1,TH-16,จังหวัดลพบุรี,,,,,region,1,TH-16,จังหวัดลพบุรี,HIGH,1.0,TH-16
Thailand,Saraburi,Central,,,712600,Province,,,#N/A,,CentralThailand,region,1,TH-19,จังหวัดสระบุรี,,,,region,1,TH-19,จังหวัดสระบุรี,,,,,region,1,TH-19,จังหวัดสระบุรี,HIGH,1.0,TH-19
Thailand,Chainat,Central,,,316000,Province,,,#N/A,,CentralThailand,region,1,TH-18,จังหวัดชัยนาท,,,,region,1,TH-18,จังหวัดชัยนาท,,,,,region,1,TH-18,จังหวัดชัยนาท,HIGH,1.0,TH-18
Thailand,Ang Thong,Central,,,260200,Province,,,#N/A,,CentralThailand,region,1,TH-15,จังหวัดอ่างทอง,,,,region,1,TH-15,จังหวัดอ่างทอง,,,,,region,1,TH-15,จังหวัดอ่างทอง,HIGH,1.0,TH-15
