Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Turkmenistan,Tejen,Ahal,,,181961,District,,,#N/A,,AhalTurkmenistan,county,2,TM-A,Tejen etraby,,,,county,2,TM-A,Tejen etraby,,,,,region,1,TM-A,Ahal welaýaty,HIGH,1.0,TM-A
Turkmenistan,Gökdepe,Ahal,,,161819,District,,,#N/A,,AhalTurkmenistan,county,2,TM-A,Gökdepe etraby,,,,county,2,TM-A,Gökdepe etraby,,,,,region,1,TM-A,Ahal welaýaty,HIGH,1.0,TM-A
Turkmenistan,Ak bugdaý,Ahal,,,144119,District,,,#N/A,,AhalTurkmenistan,county,2,TM-A,Ak bugdaý etraby,,,,county,2,TM-A,Ak bugdaý etraby,,,,,region,1,TM-A,Ahal welaýaty,HIGH,1.0,TM-A
Turkmenistan,Bäherden,Ahal,,,126409,District,,,#N/A,,AhalTurkmenistan,county,2,TM-A,Bäherden etraby,,,,county,2,TM-A,Bäherden etraby,,,,,region,1,TM-A,Ahal welaýaty,HIGH,1.0,TM-A
Turkmenistan,Babadaýhan,Ahal,,,97312,District,,,#N/A,,AhalTurkmenistan,county,2,TM-A,Babadaýhan etraby,,,,county,2,TM-A,Babadaýhan etraby,,,,,region,1,TM-A,Ahal welaýaty,HIGH,1.0,TM-A
Turkmenistan,Kaka,Ahal,,,93652,District,,,#N/A,,AhalTurkmenistan,county,2,TM-A,Kaka etraby,,,,county,2,TM-A,Kaka etraby,,,,,region,1,TM-A,Ahal welaýaty,HIGH,1.0,TM-A
Turkmenistan,Sarahs,Ahal,,,81006,District,,,#N/A,,AhalTurkmenistan,county,2,TM-A,Sarahs etraby,,,,county,2,TM-A,Sarahs etraby,,,,,region,1,TM-A,Ahal welaýaty,HIGH,1.0,TM-A
Turkmenistan,Arkadag,Ahal,,,567,City,,,#N/A,,AhalTurkmenistan,county,2,TM-A,Arkadag şäheri,,,,locality,,TM-A,Arkadag,,,,,region,1,TM-A,Ahal welaýaty,HIGH,1.0,TM-A
Turkmenistan,Bagtyýarlyk,Ashgabat,,,309619,District,Ashgabat,,Ashgabat,,AshgabatTurkmenistan,region,1,TM-S,Aşgabat,,,,,,,,,,,,region,1,TM-S,Aşgabat,NONE,0.0,TM-S
Turkmenistan,Köpetdag,Ashgabat,,,278840,District,Ashgabat,,Ashgabat,,AshgabatTurkmenistan,region,1,TM-S,Aşgabat,,,,locality,,TM-S,Köpetdag etraby,,,,,region,1,TM-S,Aşgabat,HIGH,1.0,TM-S
Turkmenistan,Berkararlyk,Ashgabat,,,266425,District,Ashgabat,,Ashgabat,,AshgabatTurkmenistan,region,1,TM-S,Aşgabat,,,,locality,,TM-S,Berkararlyk etraby,,,,,region,1,TM-S,Aşgabat,HIGH,1.0,TM-S
Turkmenistan,Büzmeýin,Ashgabat,,,175179,District,Ashgabat,,Ashgabat,,AshgabatTurkmenistan,region,1,TM-S,Aşgabat,,,,,,,,,,,,region,1,TM-S,Aşgabat,NONE,0.0,TM-S
Turkmenistan,Balkanabat,Balkan,,,188429,City,Balkanabat,,Balkanabat,,BalkanTurkmenistan,county,2,TM-B,Balkanabat şäheri,,,,county,2,TM-B,Balkanabat şäheri,,,,,region,1,TM-B,Balkan welaýaty,HIGH,1.0,TM-B
Turkmenistan,Türkmenbaşy [Turkmenbashy],Balkan,,,91745,City,,,#N/A,,BalkanTurkmenistan,county,2,TM-B,Türkmenbaşy şäheri,,,,,,,,,,,,region,1,TM-B,Balkan welaýaty,NONE,0.0,TM-B
Turkmenistan,Gyzylarbat,Balkan,,,72473,District,,,#N/A,,BalkanTurkmenistan,county,2,TM-B,Gyzylarbat etraby,,,,locality,,TM-B,Gyzylarbat,,,,,region,1,TM-B,Balkan welaýaty,HIGH,1.0,TM-B
Turkmenistan,Esenguly,Balkan,,,45436,District,,,#N/A,,BalkanTurkmenistan,county,2,TM-B,Esenguly etraby,,,,locality,,TM-B,Esenguly,,,,,region,1,TM-B,Balkan welaýaty,HIGH,1.0,TM-B
Turkmenistan,Bereket,Balkan,,,39282,District,,,#N/A,,BalkanTurkmenistan,county,2,TM-B,Bereket etraby,,,,locality,,TM-B,Bereket,,,,,region,1,TM-B,Balkan welaýaty,HIGH,1.0,TM-B
Turkmenistan,Magtymguly,Balkan,,,34664,District,,,#N/A,,BalkanTurkmenistan,county,2,TM-B,Magtymguly etraby,,,,locality,,TM-B,Magtymguly,,,,,region,1,TM-B,Balkan welaýaty,HIGH,1.0,TM-B
Turkmenistan,Türkmenbaşy [Turkmenbashy],Balkan,,,34119,District,,,#N/A,,BalkanTurkmenistan,county,2,TM-B,Türkmenbaşy şäheri,,,,,,,,,,,,region,1,TM-B,Balkan welaýaty,NONE,0.0,TM-B
Turkmenistan,Etrek,Balkan,,,23747,District,,,#N/A,,BalkanTurkmenistan,county,2,TM-B,Etrek etraby,,,,locality,,TM-B,Etrek,,,,,region,1,TM-B,Balkan welaýaty,HIGH,1.0,TM-B
Turkmenistan,Daşoguz [Dashoguz],Daşoguz,,,201142,City,Dashoguz,,Dashoguz,,DaşoguzTurkmenistan,county,2,TM-D,Daşoguz şäheri,,,,,,,,,,,,region,1,TM-D,Daşoguz welaýaty,NONE,0.0,TM-D
