Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Tunisia,La Soukra,Ariana,,,152275,Delegation,Tunis,,Tunis,,ArianaTunisia,county,2,TN-12,معتمدية سكرة,,,,,,,,,,,,region,1,TN-12,ولاية أريانة,NONE,0.0,TN-12
Tunisia,Raoued,Ariana,,,138205,Delegation,Tunis,,Tunis,,ArianaTunisia,county,2,TN-12,معتمدية رواد,,,,locality,,TN-12,رواد,,,,,region,1,TN-12,ولاية أريانة,HIGH,1.0,TN-12
Tunisia,Ariana Ville,Ariana,,,122341,Delegation,Tunis,,Tunis,,ArianaTunisia,county,2,TN-12,معتمدية أريانة المدينة,,,,locality,,TN-12,أريانة المدينة,,,,,region,1,TN-12,ولاية أريانة,HIGH,1.0,TN-12
Tunisia,Mnihla,Ariana,,,116653,Delegation,Tunis,,Tunis,,ArianaTunisia,county,2,TN-12,معتمدية منيهلة,,,,locality,,TN-12,المنيهلة,,,,,region,1,TN-12,ولاية أريانة,HIGH,1.0,TN-12
Tunisia,Cité Ettadhamen,Ariana,,,84923,Delegation,Tunis,,Tunis,,ArianaTunisia,county,2,TN-12,معتمدية حي التضامن,,,,locality,,TN-12,حي التضامن,,,,,region,1,TN-12,ولاية أريانة,HIGH,1.0,TN-12
Tunisia,Kalâat El Andalous,Ariana,,,28120,Delegation,Tunis,,Tunis,,ArianaTunisia,county,2,TN-12,معتمدية قلعة الأندلس,,,,,,,,,,,,region,1,TN-12,ولاية أريانة,NONE,0.0,TN-12
Tunisia,Sidi Thabet,Ariana,,,26906,Delegation,Tunis,,Tunis,,ArianaTunisia,county,2,TN-12,معتمدية سيدي ثابت,,,,locality,,TN-12,سيدي ثابت,,,,,region,1,TN-12,ولاية أريانة,HIGH,1.0,TN-12
Tunisia,Béja Nord,Béja,,,75175,Delegation,Béja,,Béja,,BéjaTunisia,county,2,TN-31,معتمدية باجة الشمالية,,,,,,,,,,,,region,1,TN-31,ولاية باجة,NONE,0.0,TN-31
Tunisia,Béja Sud,Béja,,,38563,Delegation,Béja,,Béja,,BéjaTunisia,county,2,TN-31,معتمدية باجة الجنوبية,,,,,,,,,,,,region,1,TN-31,ولاية باجة,NONE,0.0,TN-31
Tunisia,Nefza,Béja,,,45630,Delegation,,,#N/A,,BéjaTunisia,county,2,TN-31,معتمدية نفزة,,,,,,,,,,,,region,1,TN-31,ولاية باجة,NONE,0.0,TN-31
Tunisia,Medjez El Bab,Béja,,,44749,Delegation,,,#N/A,,BéjaTunisia,county,2,TN-31,معتمدية مجاز الباب,,,,,,,,,,,,region,1,TN-31,ولاية باجة,NONE,0.0,TN-31
Tunisia,Testour,Béja,,,34852,Delegation,,,#N/A,,BéjaTunisia,county,2,TN-31,معتمدية تستور,,,,locality,,TN-31,تستور,,,,,region,1,TN-31,ولاية باجة,HIGH,1.0,TN-31
Tunisia,Téboursouk,Béja,,,21130,Delegation,,,#N/A,,BéjaTunisia,county,2,TN-31,معتمدية تبرسق,,,,,,,,,,,,region,1,TN-31,ولاية باجة,NONE,0.0,TN-31
Tunisia,Amdoun,Béja,,,20664,Delegation,,,#N/A,,BéjaTunisia,county,2,TN-31,معتمدية عمدون,,,,locality,,TN-31,عمدون,,,,,region,1,TN-31,ولاية باجة,HIGH,1.0,TN-31
Tunisia,Goubellat,Béja,,,15616,Delegation,,,#N/A,,BéjaTunisia,county,2,TN-31,معتمدية قبلاط,,,,locality,,TN-31,قبلاط,,,,,region,1,TN-31,ولاية باجة,HIGH,1.0,TN-31
Tunisia,Thibar [Tibar],Béja,,,11914,Delegation,,,#N/A,,BéjaTunisia,county,2,TN-31,معتمدية تيبار,,,,,,,,,,,,region,1,TN-31,ولاية باجة,NONE,0.0,TN-31
Tunisia,El Mourouj,Ben Arous,,,119954,Delegation,Tunis,,Tunis,,Ben ArousTunisia,county,2,TN-13,معتمدية المروج,,,,locality,,TN-13,المروج 3,,,,,region,1,TN-13,ولاية بن عروس,HIGH,1.0,TN-13
Tunisia,Fouchana,Ben Arous,,,87819,Delegation,Tunis,,Tunis,,Ben ArousTunisia,county,2,TN-13,معتمدية فوشانة,,,,locality,,TN-13,فوشانة,,,,,region,1,TN-13,ولاية بن عروس,HIGH,1.0,TN-13
Tunisia,Mohamedia,Ben Arous,,,81952,Delegation,Tunis,,Tunis,,Ben ArousTunisia,county,2,TN-13,معتمدية المحمدية,,,,locality,,TN-13,المحمدية,,,,,region,1,TN-13,ولاية بن عروس,HIGH,1.0,TN-13
Tunisia,Radès,Ben Arous,,,71683,Delegation,Tunis,,Tunis,,Ben ArousTunisia,county,2,TN-13,معتمدية رادس,,,,locality,,TN-13,رادس,,,,,region,1,TN-13,ولاية بن عروس,HIGH,1.0,TN-13
Tunisia,Medina Jedida [La Nouvelle Medina ],Ben Arous,,,67722,Delegation,Tunis,,Tunis,,Ben ArousTunisia,county,2,TN-13,معتمدية المدينة الجديدة,,,,,,,,,,,,region,1,TN-13,ولاية بن عروس,NONE,0.0,TN-13
Tunisia,Mornag,Ben Arous,,,64781,Delegation,Tunis,,Tunis,,Ben ArousTunisia,county,2,TN-13,معتمدية مرناق,,,,locality,,TN-13,مرناق,,,,,region,1,TN-13,ولاية بن عروس,HIGH,1.0,TN-13
Tunisia,Bou Mhel El Bassatine,Ben Arous,,,50005,Delegation,Tunis,,Tunis,,Ben ArousTunisia,county,2,TN-13,معتمدية بومهل البساتين,,,,,,,,,,,,region,1,TN-13,ولاية بن عروس,NONE,0.0,TN-13
Tunisia,Hammam Lif,Ben Arous,,,44057,Delegation,Tunis,,Tunis,,Ben ArousTunisia,county,2,TN-13,معتمدية حمام الأنف,,,,,,,,,,,,region,1,TN-13,ولاية بن عروس,NONE,0.0,TN-13
Tunisia,Hammam Chott,Ben Arous,,,36977,Delegation,Tunis,,Tunis,,Ben ArousTunisia,county,2,TN-13,معتمدية حمام الشط,,,,locality,,TN-13,حمام الشط,,,,,region,1,TN-13,ولاية بن عروس,HIGH,1.0,TN-13
Tunisia,Ezzahra,Ben Arous,,,36170,Delegation,Tunis,,Tunis,,Ben ArousTunisia,county,2,TN-13,معتمدية الزهراء,,,,,,,,,,,,region,1,TN-13,ولاية بن عروس,NONE,0.0,TN-13
Tunisia,Ben Arous,Ben Arous,,,28502,Delegation,Tunis,,Tunis,,Ben ArousTunisia,county,2,TN-13,معتمدية بن عروس,,,,region,1,TN-13,ولاية بن عروس,,,,,region,1,TN-13,ولاية بن عروس,HIGH,1.0,TN-13
Tunisia,Mégrine,Ben Arous,,,27839,Delegation,Tunis,,Tunis,,Ben ArousTunisia,county,2,TN-13,معتمدية مقرين,,,,,,,,,,,,region,1,TN-13,ولاية بن عروس,NONE,0.0,TN-13
Tunisia,Bizerte Nord,Bizerte,,,96679,Delegation,Bizerte,,Bizerte,,BizerteTunisia,county,2,TN-23,معتمدية بنزرت الشمالية,,,,,,,,,,,,region,1,TN-23,ولاية بنزرت,NONE,0.0,TN-23
Tunisia,Bizerte Sud,Bizerte,,,63939,Delegation,Bizerte,,Bizerte,,BizerteTunisia,county,2,TN-23,معتمدية بنزرت الجنوبية,,,,,,,,,,,,region,1,TN-23,ولاية بنزرت,NONE,0.0,TN-23
Tunisia,Menzel Bourguiba,Bizerte,,,66522,Delegation,,,#N/A,,BizerteTunisia,county,2,TN-23,معتمدية منزل بورقيبة,,,,,,,,,,,,region,1,TN-23,ولاية بنزرت,NONE,0.0,TN-23
Tunisia,Ras Jebel,Bizerte,,,62837,Delegation,,,#N/A,,BizerteTunisia,county,2,TN-23,معتمدية رأس الجبل,,,,,,,,,,,,region,1,TN-23,ولاية بنزرت,NONE,0.0,TN-23
Tunisia,Menzel Jemil,Bizerte,,,51859,Delegation,,,#N/A,,BizerteTunisia,county,2,TN-23,معتمدية منزل جميل,,,,locality,,TN-23,منزل جميل,,,,,region,1,TN-23,ولاية بنزرت,HIGH,1.0,TN-23
Tunisia,Mateur,Bizerte,,,46033,Delegation,,,#N/A,,BizerteTunisia,county,2,TN-23,معتمدية ماطر,,,,locality,,TN-23,ماطر,,,,,region,1,TN-23,ولاية بنزرت,HIGH,1.0,TN-23
Tunisia,Sejnane,Bizerte,,,38342,Delegation,,,#N/A,,BizerteTunisia,county,2,TN-23,معتمدية سجنان,,,,locality,,TN-23,سجنان,,,,,region,1,TN-23,ولاية بنزرت,HIGH,1.0,TN-23
Tunisia,El Alia,Bizerte,,,28867,Delegation,,,#N/A,,BizerteTunisia,county,2,TN-23,معتمدية العالية,,,,,,,,,,,,region,1,TN-23,ولاية بنزرت,NONE,0.0,TN-23
Tunisia,Ghezala,Bizerte,,,26186,Delegation,,,#N/A,,BizerteTunisia,county,2,TN-23,معتمدية غزالة,,,,locality,,TN-23,غزالة,,,,,region,1,TN-23,ولاية بنزرت,HIGH,1.0,TN-23
Tunisia,Tinja,Bizerte,,,26003,Delegation,,,#N/A,,BizerteTunisia,county,2,TN-23,معتمدية تينجة,,,,locality,,TN-23,تينجة,,,,,region,1,TN-23,ولاية بنزرت,HIGH,1.0,TN-23
Tunisia,Joumine [Djoumine],Bizerte,,,25097,Delegation,,,#N/A,,BizerteTunisia,county,2,TN-23,معتمدية جومين,,,,,,,,,,,,region,1,TN-23,ولاية بنزرت,NONE,0.0,TN-23
Tunisia,Zarzouna,Bizerte,,,24929,Delegation,,,#N/A,,BizerteTunisia,,,,,,,,,,,,,,,,region,1,TN-23,ولاية بنزرت,NONE,0.0,TN-23
Tunisia,Utique,Bizerte,,,20869,Delegation,,,#N/A,,BizerteTunisia,county,2,TN-23,معتمدية أوتيك,,,,locality,,TN-23,أوتيك,,,,,region,1,TN-23,ولاية بنزرت,HIGH,1.0,TN-23
Tunisia,Ghar El Melh,Bizerte,,,20048,Delegation,,,#N/A,,BizerteTunisia,county,2,TN-23,معتمدية غار الملح,,,,locality,,TN-23,غار الملح,,,,,region,1,TN-23,ولاية بنزرت,HIGH,1.0,TN-23
Tunisia,Gabès Sud,Gabès,,,84432,Delegation,Gabès,,Gabès,,GabèsTunisia,county,2,TN-81,معتمدية قابس الجنوبية,,,,,,,,,,,,region,1,TN-81,ولاية قابس,NONE,0.0,TN-81
Tunisia,Gabès Médina,Gabès,,,47441,Delegation,Gabès,,Gabès,,GabèsTunisia,county,2,TN-11,معتمدية المدينة,,,,,,,,,,,,region,1,TN-81,ولاية قابس,NONE,0.0,TN-81
Tunisia,Gabès Ouest,Gabès,,,35209,Delegation,Gabès,,Gabès,,GabèsTunisia,county,2,TN-81,معتمدية قابس الغربية,,,,,,,,,,,,region,1,TN-81,ولاية قابس,NONE,0.0,TN-81
Tunisia,El Hamma,Gabès,,,60937,Delegation,,,#N/A,,GabèsTunisia,county,2,TN-81,معتمدية الحامة,,,,,,,,,,,,region,1,TN-81,ولاية قابس,NONE,0.0,TN-81
Tunisia,Mareth,Gabès,,,54661,Delegation,,,#N/A,,GabèsTunisia,county,2,TN-81,معتمدية مارث,,,,locality,,TN-81,مارث,,,,,region,1,TN-81,ولاية قابس,HIGH,1.0,TN-81
Tunisia,Ghannouch,Gabès,,,32355,Delegation,,,#N/A,,GabèsTunisia,,,,,,,,,,,,,,,,region,1,TN-81,ولاية قابس,NONE,0.0,TN-81
