Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Trinidad & Tobago,St. Andrew,Tobago,,,17536,Parish,Scarborough (Tobago),,Scarborough (Tobago),,TobagoTrinidad & Tobago,region,1,TT-MRC,Mayaro-Rio Claro,,,,,,,,,,,,region,1,TT-TOB,Tobago,NONE,0.0,TT-TOB
Trinidad & Tobago,St. Patrick,Tobago,,,15560,Parish,Scarborough (Tobago),,Scarborough (Tobago),,TobagoTrinidad & Tobago,region,1,TT-MRC,Mayaro-Rio Claro,,,,,,,,,,,,region,1,TT-TOB,Tobago,NONE,0.0,TT-TOB
Trinidad & Tobago,St. David,Tobago,,,8733,Parish,Scarborough (Tobago),,Scarborough (Tobago),,TobagoTrinidad & Tobago,region,1,TT-MRC,Mayaro-Rio Claro,,,,,,,,,,,,region,1,TT-TOB,Tobago,NONE,0.0,TT-TOB
Trinidad & Tobago,St. George,Tobago,,,6875,Parish,,,#N/A,,TobagoTrinidad & Tobago,,,,,,,,,,,,,,,,region,1,TT-TOB,Tobago,NONE,0.0,TT-TOB
Trinidad & Tobago,St. Paul,Tobago,,,6048,Parish,,,#N/A,,TobagoTrinidad & Tobago,,,,,,,,,,,,,,,,region,1,TT-TOB,Tobago,NONE,0.0,TT-TOB
Trinidad & Tobago,St. Mary,Tobago,,,3297,Parish,,,#N/A,,TobagoTrinidad & Tobago,,,,,,,,,,,,,,,,region,1,TT-TOB,Tobago,NONE,0.0,TT-TOB
Trinidad & Tobago,St. John,Tobago,,,2825,Parish,,,#N/A,,TobagoTrinidad & Tobago,,,,,,,,,,,,,,,,region,1,TT-TOB,Tobago,NONE,0.0,TT-TOB
Trinidad & Tobago,Tunapuna/Piarco,Trinidad,,,215119,Region,Arima,,Arima,,TrinidadTrinidad & Tobago,region,1,TT-ARI,Arima,,,,,,,,,,,,,,,,NONE,0.0,
Trinidad & Tobago,Arima,Trinidad,,,33606,Borough,Arima,,Arima,,TrinidadTrinidad & Tobago,region,1,TT-ARI,Arima,,,,region,1,TT-ARI,Arima,,,,,region,1,TT-ARI,Arima,HIGH,1.0,TT-ARI
Trinidad & Tobago,Chaguanas,Trinidad,,,83516,Borough,Chaguanas,,Chaguanas,,TrinidadTrinidad & Tobago,region,1,TT-CHA,Chaguanas,,,,region,1,TT-CHA,Chaguanas,,,,,region,1,TT-CHA,Chaguanas,HIGH,1.0,TT-CHA
