Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Taiwan,Fengshan [Fongshan],Gaoxiong Shi [Kaohsiung Shih],,,359576,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,,,,,,,,,,,,,NONE,0.0,
Taiwan,Sanmin,Gaoxiong Shi [Kaohsiung Shih],,,336868,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,locality,,TW-KHH,三民區,,,,,region,1,TW-KHH,高雄市,HIGH,1.0,TW-KHH
Taiwan,Zuoying,Gaoxiong Shi [Kaohsiung Shih],,,197306,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,locality,,TW-KHH,左營區,,,,,region,1,TW-KHH,高雄市,HIGH,1.0,TW-KHH
Taiwan,Nanzi [Nanzih],Gaoxiong Shi [Kaohsiung Shih],,,189426,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,,,,,,,,,,,,,NONE,0.0,
Taiwan,Qianzhen [Cianjhen],Gaoxiong Shi [Kaohsiung Shih],,,185828,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,,,,,,,,,,,,,NONE,0.0,
Taiwan,Lingya,Gaoxiong Shi [Kaohsiung Shih],,,167280,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,locality,,TW-KHH,苓雅區,,,,,region,1,TW-KHH,高雄市,HIGH,1.0,TW-KHH
Taiwan,Xiaogang [Siaogang],Gaoxiong Shi [Kaohsiung Shih],,,157356,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,,,,,,,,,,,,,NONE,0.0,
Taiwan,Gushan,Gaoxiong Shi [Kaohsiung Shih],,,141488,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,locality,,TW-KHH,鼓山區,,,,,region,1,TW-KHH,高雄市,HIGH,1.0,TW-KHH
Taiwan,Daliao,Gaoxiong Shi [Kaohsiung Shih],,,112265,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,locality,,TW-KHH,大寮區,,,,,region,1,TW-KHH,高雄市,HIGH,1.0,TW-KHH
Taiwan,Gangshan,Gaoxiong Shi [Kaohsiung Shih],,,96841,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,locality,,TW-KHH,岡山區,,,,,region,1,TW-KHH,高雄市,HIGH,1.0,TW-KHH
Taiwan,Renwu,Gaoxiong Shi [Kaohsiung Shih],,,91893,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,locality,,TW-KHH,仁武區,,,,,region,1,TW-KHH,高雄市,HIGH,1.0,TW-KHH
Taiwan,Linyuan,Gaoxiong Shi [Kaohsiung Shih],,,69478,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,locality,,TW-KHH,林園區,,,,,region,1,TW-KHH,高雄市,HIGH,1.0,TW-KHH
Taiwan,Luzhu [Lujhu],Gaoxiong Shi [Kaohsiung Shih],,,51726,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,,,,,,,,,,,,,NONE,0.0,
Taiwan,Xinxing [Sinsing],Gaoxiong Shi [Kaohsiung Shih],,,50490,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,,,,,,,,,,,,,NONE,0.0,
Taiwan,Niaosong,Gaoxiong Shi [Kaohsiung Shih],,,44938,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,locality,,TW-KHH,鳥松區,,,,,region,1,TW-KHH,高雄市,HIGH,1.0,TW-KHH
Taiwan,Dashu,Gaoxiong Shi [Kaohsiung Shih],,,41764,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,locality,,TW-KHH,大樹區,,,,,region,1,TW-KHH,高雄市,HIGH,1.0,TW-KHH
Taiwan,Qiaotou [Ciaotou],Gaoxiong Shi [Kaohsiung Shih],,,38955,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,,,,,,,,,,,,,NONE,0.0,
Taiwan,Meinong,Gaoxiong Shi [Kaohsiung Shih],,,38611,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,locality,,TW-KHH,美濃區,,,,,region,1,TW-KHH,高雄市,HIGH,1.0,TW-KHH
Taiwan,Qishan [Cishan],Gaoxiong Shi [Kaohsiung Shih],,,35764,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,,,,,,,,,,,,,NONE,0.0,
Taiwan,Ziguan [Zihguan],Gaoxiong Shi [Kaohsiung Shih],,,35517,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,,,,,,,,,,,,,NONE,0.0,
Taiwan,Dashe,Gaoxiong Shi [Kaohsiung Shih],,,34324,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,locality,,TW-KHH,大社區,,,,,region,1,TW-KHH,高雄市,HIGH,1.0,TW-KHH
Taiwan,Qieding [Jiading],Gaoxiong Shi [Kaohsiung Shih],,,29960,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,,,,,,,,,,,,,NONE,0.0,
Taiwan,Hunei,Gaoxiong Shi [Kaohsiung Shih],,,29882,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,locality,,TW-KHH,湖內區,,,,,region,1,TW-KHH,高雄市,HIGH,1.0,TW-KHH
Taiwan,Yanchao,Gaoxiong Shi [Kaohsiung Shih],,,29493,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,locality,,TW-KHH,燕巢區,,,,,region,1,TW-KHH,高雄市,HIGH,1.0,TW-KHH
Taiwan,Alian,Gaoxiong Shi [Kaohsiung Shih],,,28331,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,locality,,TW-KHH,阿蓮區,,,,,region,1,TW-KHH,高雄市,HIGH,1.0,TW-KHH
Taiwan,Qijin [Cijin],Gaoxiong Shi [Kaohsiung Shih],,,27785,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,,,,,,,,,,,,,NONE,0.0,
