Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Tanzania,Arusha City,Arusha,,,617631,City,Arusha,,Arusha,,ArushaTanzania,county,2,TZ-01,Arusha,,,,region,1,TZ-01,Arusha,,,,,region,1,TZ-01,Arusha,HIGH,1.0,TZ-01
Tanzania,Arusha Rural,Arusha,,,449518,District,Arusha,,Arusha,,ArushaTanzania,county,2,TZ-01,Arusha,,,,,,,,,,,,region,1,TZ-01,Arusha,NONE,0.0,TZ-01
Tanzania,Meru,Arusha,,,331603,District,Arusha,,Arusha,,ArushaTanzania,county,2,TZ-01,Meru,,,,county,2,TZ-01,Meru,,,,,region,1,TZ-01,Arusha,HIGH,1.0,TZ-01
Tanzania,Karatu,Arusha,,,280454,District,,,#N/A,,ArushaTanzania,county,2,TZ-01,Karatu,,,,county,2,TZ-01,Karatu,,,,,region,1,TZ-01,Arusha,HIGH,1.0,TZ-01
Tanzania,Ngorongoro,Arusha,,,273549,District,,,#N/A,,ArushaTanzania,county,2,TZ-01,Ngorongoro,,,,county,2,TZ-01,Ngorongoro,,,,,region,1,TZ-01,Arusha,HIGH,1.0,TZ-01
Tanzania,Monduli,Arusha,,,227585,District,,,#N/A,,ArushaTanzania,county,2,TZ-01,Monduli,,,,county,2,TZ-01,Monduli,,,,,region,1,TZ-01,Arusha,HIGH,1.0,TZ-01
Tanzania,Longido,Arusha,,,175915,District,,,#N/A,,ArushaTanzania,county,2,TZ-01,Longido,,,,county,2,TZ-01,Longido,,,,,region,1,TZ-01,Arusha,HIGH,1.0,TZ-01
Tanzania,Dar es Salaam City (Ilala Municipal),Dar es Salaam,,,1649912,City,Dar es Salaam,,Dar es Salaam,,Dar es SalaamTanzania,region,1,TZ-02,Dar es-Salaam,,,,region,1,TZ-02,Dar es-Salaam,,,,,region,1,TZ-02,Dar es-Salaam,HIGH,1.0,TZ-02
Tanzania,Temeke Municipal,Dar es Salaam,,,1346674,Municipality,Dar es Salaam,,Dar es Salaam,,Dar es SalaamTanzania,region,1,TZ-02,Dar es-Salaam,,,,,,,,,,,,region,1,TZ-02,Dar es-Salaam,NONE,0.0,TZ-02
Tanzania,Ubungo Municipal (← Kinondoni Municipal),Dar es Salaam,,,1086912,Municipality,Dar es Salaam,,Dar es Salaam,,Dar es SalaamTanzania,region,1,TZ-02,Dar es-Salaam,,,,county,2,TZ-02,Ubungo Municipal,,,,,region,1,TZ-02,Dar es-Salaam,HIGH,1.0,TZ-02
Tanzania,Kinondoni Municipal,Dar es Salaam,,,982328,Municipality,Dar es Salaam,,Dar es Salaam,,Dar es SalaamTanzania,region,1,TZ-02,Dar es-Salaam,,,,county,2,TZ-02,Kinondoni Municipal,,,,,region,1,TZ-02,Dar es-Salaam,HIGH,1.0,TZ-02
Tanzania,Kigamboni Municipal (← Temeke Municipal),Dar es Salaam,,,317902,Municipality,Dar es Salaam,,Dar es Salaam,,Dar es SalaamTanzania,region,1,TZ-02,Dar es-Salaam,,,,county,2,TZ-02,Kigamboni Municipal,,,,,region,1,TZ-02,Dar es-Salaam,HIGH,1.0,TZ-02
Tanzania,Dodoma City,Dodoma,,,765179,City,Dodoma City,,Dodoma City,,DodomaTanzania,county,2,TZ-03,Dodoma City,,,,county,2,TZ-03,Dodoma City,,,,,region,1,TZ-03,Dodoma,HIGH,1.0,TZ-03
Tanzania,Chamwino,Dodoma,,,486176,District,,,#N/A,,DodomaTanzania,county,2,TZ-03,Chamwino,,,,county,2,TZ-03,Chamwino,,,,,region,1,TZ-03,Dodoma,HIGH,1.0,TZ-03
Tanzania,Kongwa,Dodoma,,,443867,District,,,#N/A,,DodomaTanzania,county,2,TZ-03,Kongwa,,,,county,2,TZ-03,Kongwa,,,,,region,1,TZ-03,Dodoma,HIGH,1.0,TZ-03
Tanzania,Mpwapwa,Dodoma,,,403247,District,,,#N/A,,DodomaTanzania,county,2,TZ-03,Mpwapwa,,,,county,2,TZ-03,Mpwapwa,,,,,region,1,TZ-03,Dodoma,HIGH,1.0,TZ-03
Tanzania,Chemba,Dodoma,,,339333,District,,,#N/A,,DodomaTanzania,county,2,TZ-03,Chemba,,,,county,2,TZ-03,Chemba,,,,,region,1,TZ-03,Dodoma,HIGH,1.0,TZ-03
Tanzania,Bahi,Dodoma,,,322526,District,,,#N/A,,DodomaTanzania,county,2,TZ-03,Bahi,,,,county,2,TZ-03,Bahi,,,,,region,1,TZ-03,Dodoma,HIGH,1.0,TZ-03
Tanzania,Kondoa Rural,Dodoma,,,244854,District,,,#N/A,,DodomaTanzania,county,2,TZ-03,Kondoa,,,,,,,,,,,,region,1,TZ-03,Dodoma,NONE,0.0,TZ-03
Tanzania,Kondoa Town (← Kondoa Rural),Dodoma,,,80443,Town,,,#N/A,,DodomaTanzania,county,2,TZ-03,Kondoa Town,,,,county,2,TZ-03,Kondoa Town,,,,,region,1,TZ-03,Dodoma,HIGH,1.0,TZ-03
Tanzania,Geita Town (← Geita Rural),Geita,,,361671,Town,Geita,,Geita,,GeitaTanzania,county,2,TZ-27,Geita Town,,,,county,2,TZ-27,Geita Town,,,,,region,1,TZ-27,Geita,HIGH,1.0,TZ-27
Tanzania,Geita Rural,Geita,,,1035214,District,,,#N/A,,GeitaTanzania,,,,,,,,,,,,,,,,region,1,TZ-27,Geita,NONE,0.0,TZ-27
Tanzania,Chato,Geita,,,584963,District,,,#N/A,,GeitaTanzania,county,2,TZ-27,Chato DC,,,,county,2,TZ-27,Chato DC,,,,,region,1,TZ-27,Geita,LOW,0.819,TZ-27
Tanzania,Bukombe,Geita,,,407102,District,,,#N/A,,GeitaTanzania,county,2,TZ-27,Bukombe,,,,county,2,TZ-27,Bukombe,,,,,region,1,TZ-27,Geita,HIGH,1.0,TZ-27
Tanzania,Mbogwe,Geita,,,362855,District,,,#N/A,,GeitaTanzania,county,2,TZ-27,Mbogwe,,,,county,2,TZ-27,Mbogwe,,,,,region,1,TZ-27,Geita,HIGH,1.0,TZ-27
Tanzania,Nyang'hwale,Geita,,,225803,District,,,#N/A,,GeitaTanzania,,,,,,,,county,2,TZ-27,Nyang'wale,,,,,region,1,TZ-27,Geita,MED,0.952,TZ-27
Tanzania,Iringa Rural,Iringa,,,315354,District,,,#N/A,,IringaTanzania,county,2,TZ-04,Iringa,,,,,,,,,,,,region,1,TZ-04,Iringa,NONE,0.0,TZ-04
Tanzania,Mufindi,Iringa,,,288996,District,,,#N/A,,IringaTanzania,county,2,TZ-04,Mufindi,,,,county,2,TZ-04,Mufindi,,,,,region,1,TZ-04,Iringa,HIGH,1.0,TZ-04
Tanzania,Kilolo,Iringa,,,263559,District,,,#N/A,,IringaTanzania,county,2,TZ-04,Kilolo,,,,county,2,TZ-04,Kilolo,,,,,region,1,TZ-04,Iringa,HIGH,1.0,TZ-04
Tanzania,Iringa Municipal,Iringa,,,202490,Municipality,,,#N/A,,IringaTanzania,county,2,TZ-04,Iringa Municipal,,,,county,2,TZ-04,Iringa Municipal,,,,,region,1,TZ-04,Iringa,HIGH,1.0,TZ-04
Tanzania,Mafinga Town,Iringa,,,122329,Town,,,#N/A,,IringaTanzania,county,2,TZ-04,Mafinga Town,,,,county,2,TZ-04,Mafinga Town,,,,,region,1,TZ-04,Iringa,HIGH,1.0,TZ-04
Tanzania,Bukoba Municipal,Kagera,,,144938,Municipality,Bukoba,,Bukoba,,KageraTanzania,county,2,TZ-05,Bukoba,,,,,,,,,,,,region,1,TZ-05,Kagera,NONE,0.0,TZ-05
Tanzania,Muleba,Kagera,,,637659,District,,,#N/A,,KageraTanzania,county,2,TZ-05,Muleba,,,,county,2,TZ-05,Muleba,,,,,region,1,TZ-05,Kagera,HIGH,1.0,TZ-05
Tanzania,Biharamulo,Kagera,,,457114,District,,,#N/A,,KageraTanzania,county,2,TZ-05,Biharamulo,,,,county,2,TZ-05,Biharamulo,,,,,region,1,TZ-05,Kagera,HIGH,1.0,TZ-05
Tanzania,Kyerwa,Kagera,,,412910,District,,,#N/A,,KageraTanzania,county,2,TZ-05,Kyerwa,,,,county,2,TZ-05,Kyerwa,,,,,region,1,TZ-05,Kagera,HIGH,1.0,TZ-05
Tanzania,Karagwe,Kagera,,,385744,District,,,#N/A,,KageraTanzania,county,2,TZ-05,Karagwe,,,,county,2,TZ-05,Karagwe,,,,,region,1,TZ-05,Kagera,HIGH,1.0,TZ-05
Tanzania,Ngara,Kagera,,,383092,District,,,#N/A,,KageraTanzania,county,2,TZ-05,Ngara,,,,county,2,TZ-05,Ngara,,,,,region,1,TZ-05,Kagera,HIGH,1.0,TZ-05
Tanzania,Bukoba Rural,Kagera,,,322448,District,,,#N/A,,KageraTanzania,county,2,TZ-05,Bukoba,,,,,,,,,,,,region,1,TZ-05,Kagera,NONE,0.0,TZ-05
Tanzania,Missenyi,Kagera,,,245394,District,,,#N/A,,KageraTanzania,county,2,TZ-05,Missenyi,,,,county,2,TZ-05,Missenyi,,,,,region,1,TZ-05,Kagera,HIGH,1.0,TZ-05
Tanzania,Wete,Kaskazini Pemba [North Pemba],,,148712,District,,,#N/A,,Kaskazini Pemba [North Pemba]Tanzania,county,2,TZ-06,Wete District,,,,county,2,TZ-06,Wete District,,,,,region,1,TZ-06,Kaskazini Pemba,HIGH,1.0,TZ-06
Tanzania,Micheweni,Kaskazini Pemba [North Pemba],,,123379,District,,,#N/A,,Kaskazini Pemba [North Pemba]Tanzania,county,2,TZ-06,Micheweni District,,,,county,2,TZ-06,Micheweni District,,,,,region,1,TZ-06,Kaskazini Pemba,HIGH,1.0,TZ-06
Tanzania,Kaskazini A Town [North Unguja A],Kaskazini Unguja [North Zanzibar],,,157369,Town,,,#N/A,,Kaskazini Unguja [North Zanzibar]Tanzania,county,2,TZ-07,Kaskazini A,,,,,,,,,,,,,,,,NONE,0.0,
