Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Ukraine,Cherkasy,Cherkasy,,,583648,District,Cherkasy,,Cherkasy,,CherkasyUkraine,county,2,UA-71,Черкаський район,,,,region,1,UA-71,Черкаська область,,,,,region,1,UA-71,Черкаська область,HIGH,1.0,UA-71
Ukraine,Uman,Cherkasy,,,247847,District,Uman,,Uman,,CherkasyUkraine,county,2,UA-71,Уманський район,,,,locality,,UA-71,Умань,,,,,region,1,UA-71,Черкаська область,HIGH,1.0,UA-71
Ukraine,Zvenyhorodka,Cherkasy,,,193804,District,,,#N/A,,CherkasyUkraine,county,2,UA-71,Звенигородський район,,,,county,2,UA-71,Звенигородський район,,,,,region,1,UA-71,Черкаська область,HIGH,1.0,UA-71
Ukraine,Zolotonosha,Cherkasy,,,135445,District,,,#N/A,,CherkasyUkraine,county,2,UA-71,Золотоніський район,,,,county,2,UA-71,Золотоніський район,,,,,region,1,UA-71,Черкаська область,HIGH,1.0,UA-71
Ukraine,Chernihiv,Chernihiv,,,445430,District,Chernihiv,,Chernihiv,,ChernihivUkraine,county,2,UA-74,Чернігівський район,,,,county,2,UA-74,Чернігівський район,,,,,region,1,UA-74,Чернігівська область,HIGH,1.0,UA-74
Ukraine,Nizhyn,Chernihiv,,,215908,District,Nizhyn,,Nizhyn,,ChernihivUkraine,county,2,UA-74,Ніжинський район,,,,county,2,UA-74,Ніжинський район,,,,,region,1,UA-74,Чернігівська область,HIGH,1.0,UA-74
Ukraine,Pryluky,Chernihiv,,,149401,District,,,#N/A,,ChernihivUkraine,county,2,UA-74,Прилуцький район,,,,locality,,UA-74,Прилуки,,,,,region,1,UA-74,Чернігівська область,HIGH,1.0,UA-74
Ukraine,Koriukivka,Chernihiv,,,86435,District,,,#N/A,,ChernihivUkraine,county,2,UA-74,Корюківський район,,,,locality,,UA-74,Корюківка,,,,,region,1,UA-74,Чернігівська область,HIGH,1.0,UA-74
Ukraine,Novhorod-Siverskyi,Chernihiv,,,62141,District,,,#N/A,,ChernihivUkraine,county,2,UA-74,Новгород-Сіверський район,,,,locality,,UA-74,Новгород-Сіверський,,,,,region,1,UA-74,Чернігівська область,HIGH,1.0,UA-74
Ukraine,Chernivtsi,Chernivtsi,,,648643,District,Chernivtsi,,Chernivtsi,,ChernivtsiUkraine,county,2,UA-77,Чернівецький район,,,,locality,,UA-77,Чернівці,,,,,region,1,UA-77,Чернівецька область,HIGH,1.0,UA-77
Ukraine,Dnistrovskyi,Chernivtsi,,,152208,District,,,#N/A,,ChernivtsiUkraine,county,2,UA-77,Дністровський район,,,,county,2,UA-77,Дністровський район,,,,,region,1,UA-77,Чернівецька область,HIGH,1.0,UA-77
Ukraine,Vyzhnytsia,Chernivtsi,,,89606,District,,,#N/A,,ChernivtsiUkraine,county,2,UA-77,Вижницький район,,,,locality,,UA-77,Вижниця,,,,,region,1,UA-77,Чернівецька область,HIGH,1.0,UA-77
Ukraine,Dnipro,Dnipropetrovsk,,,1145065,District,Dnipro,,Dnipro,,DnipropetrovskUkraine,county,2,UA-12,Дніпровський район,,,,locality,,UA-12,Дніпровська міська громада,,,,,region,1,UA-12,Дніпропетровська область,HIGH,1.0,UA-12
Ukraine,Kamianske,Dnipropetrovsk,,,423443,District,Kamianske,,Kamianske,,DnipropetrovskUkraine,county,2,UA-12,Кам'янський район,,,,locality,,UA-12,Кам’янське,,,,,region,1,UA-12,Дніпропетровська область,HIGH,1.0,UA-12
Ukraine,Kryvyi Rih,Dnipropetrovsk,,,743934,District,Kryvyi Rih,,Kryvyi Rih,,DnipropetrovskUkraine,county,2,UA-12,Криворізький район,,,,county,2,UA-12,Криворізький район,,,,,region,1,UA-12,Дніпропетровська область,HIGH,1.0,UA-12
Ukraine,Nikopol,Dnipropetrovsk,,,250746,District,Nikopol,,Nikopol,,DnipropetrovskUkraine,county,2,UA-12,Нікопольський район,,,,locality,,UA-12,Нікопольська міська громада,,,,,region,1,UA-12,Дніпропетровська область,HIGH,1.0,UA-12
Ukraine,Pavlohrad,Dnipropetrovsk,,,166797,District,Pavlohrad,,Pavlohrad,,DnipropetrovskUkraine,county,2,UA-12,Павлоградський район,,,,locality,,UA-12,Павлоград,,,,,region,1,UA-12,Дніпропетровська область,HIGH,1.0,UA-12
Ukraine,Synelnykove,Dnipropetrovsk,,,198974,District,,,#N/A,,DnipropetrovskUkraine,county,2,UA-12,Синельниківський район,,,,locality,,UA-12,Синельникове,,,,,region,1,UA-12,Дніпропетровська область,HIGH,1.0,UA-12
