Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Uzbekistan,Andijon [Andijan],Andijon [Andizhan],,,458500,City,Andizhan,,Andizhan,,Andijon [Andizhan]Uzbekistan,county,2,UZ-AN,Andijon shahri,,,,,,,,,,,,,,,,NONE,0.0,
Uzbekistan,Andijon [Andijan],Andijon [Andizhan],,,273800,District,Andizhan,,Andizhan,,Andijon [Andizhan]Uzbekistan,county,2,UZ-AN,Andijon shahri,,,,,,,,,,,,,,,,NONE,0.0,
Uzbekistan,Asaka,Andijon [Andizhan],,,340000,District,,,#N/A,,Andijon [Andizhan]Uzbekistan,county,2,UZ-AN,Asaka tumani,,,,county,2,UZ-AN,Asaka tumani,,,,,region,1,UZ-AN,Andijon Viloyati,HIGH,1.0,UZ-AN
Uzbekistan,Shahrixon [Shakhrixan],Andijon [Andizhan],,,310000,District,,,#N/A,,Andijon [Andizhan]Uzbekistan,county,2,UZ-AN,Shahrixon tumani,,,,,,,,,,,,,,,,NONE,0.0,
Uzbekistan,Izboskan,Andijon [Andizhan],,,245600,District,,,#N/A,,Andijon [Andizhan]Uzbekistan,county,2,UZ-AN,Izboskan tumani,,,,locality,,UZ-AN,Izboskan,,,,,region,1,UZ-AN,Andijon Viloyati,HIGH,1.0,UZ-AN
Uzbekistan,Qo'rg'ontepa [Kurgantepa],Andijon [Andizhan],,,222100,District,,,#N/A,,Andijon [Andizhan]Uzbekistan,county,2,UZ-AN,Qoʻrgʻontepa tumani,,,,,,,,,,,,,,,,NONE,0.0,
Uzbekistan,Baliqchi [Balikchi],Andijon [Andizhan],,,207100,District,,,#N/A,,Andijon [Andizhan]Uzbekistan,county,2,UZ-AN,Baliqchi tumani,,,,,,,,,,,,,,,,NONE,0.0,
Uzbekistan,Paxtaobod [Paxtaabad],Andijon [Andizhan],,,199900,District,,,#N/A,,Andijon [Andizhan]Uzbekistan,county,2,UZ-AN,Paxtaobod tumani,,,,,,,,,,,,,,,,NONE,0.0,
Uzbekistan,Jalaquduq [Djalalkuduk],Andijon [Andizhan],,,191400,District,,,#N/A,,Andijon [Andizhan]Uzbekistan,county,2,UZ-AN,Jalaquduq tumani,,,,,,,,,,,,,,,,NONE,0.0,
Uzbekistan,Oltinko'l [Altinkul],Andijon [Andizhan],,,184700,District,,,#N/A,,Andijon [Andizhan]Uzbekistan,county,2,UZ-AN,Oltinkoʻl tumani,,,,,,,,,,,,,,,,NONE,0.0,
Uzbekistan,Marxamat [Markhamat],Andijon [Andizhan],,,178700,District,,,#N/A,,Andijon [Andizhan]Uzbekistan,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Uzbekistan,Buloqboshi [Bulakbashi],Andijon [Andizhan],,,147000,District,,,#N/A,,Andijon [Andizhan]Uzbekistan,county,2,UZ-AN,Buloqboshi tumani,,,,,,,,,,,,,,,,NONE,0.0,
Uzbekistan,Xo'jaobod [Khadjaabad],Andijon [Andizhan],,,114100,District,,,#N/A,,Andijon [Andizhan]Uzbekistan,,,,,,,,,,,,,,,,,,,,NONE,0.0,
