Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Venezuela,Atures,Amazonas,,,144111,Municipality,,,#N/A,,AmazonasVenezuela,,,,,county,2,VE-Z,Municipio Autónomo Atures,,,,,region,1,VE-Z,Amazonas,HIGH,1.0,VE-Z
Venezuela,Alto Orinoco,Amazonas,,,15734,Municipality,,,#N/A,,AmazonasVenezuela,,,,,county,2,VE-Z,Municipio Autónomo Alto Orinoco,,,,,region,1,VE-Z,Amazonas,HIGH,1.0,VE-Z
Venezuela,Atabapo,Amazonas,,,11655,Municipality,,,#N/A,,AmazonasVenezuela,,,,,county,2,VE-Z,Municipio Autónomo Atabapo,,,,,region,1,VE-Z,Amazonas,HIGH,1.0,VE-Z
Venezuela,Autana,Amazonas,,,11078,Municipality,,,#N/A,,AmazonasVenezuela,,,,,county,2,VE-Z,Municipio Autónomo Autana,,,,,region,1,VE-Z,Amazonas,HIGH,1.0,VE-Z
Venezuela,Manapiare,Amazonas,,,9822,Municipality,,,#N/A,,AmazonasVenezuela,,,,,county,2,VE-Z,Municipio Autónomo Manapiare,,,,,region,1,VE-Z,Amazonas,HIGH,1.0,VE-Z
Venezuela,Río Negro,Amazonas,,,2875,Municipality,,,#N/A,,AmazonasVenezuela,,,,,county,2,VE-Z,Municipio Autónomo Río Negro,,,,,region,1,VE-Z,Amazonas,HIGH,1.0,VE-Z
Venezuela,Maroa,Amazonas,,,2578,Municipality,,,#N/A,,AmazonasVenezuela,,,,,locality,,VE-Z,Maroa,,,,,region,1,VE-Z,Amazonas,HIGH,1.0,VE-Z
Venezuela,Juan Antonio Sotillo,Anzoátegui,,,300908,Municipality,Puerto La Cruz,,Puerto La Cruz,,AnzoáteguiVenezuela,,,,,county,2,VE-B,Municipio Sotillo,,,,,region,1,VE-B,Anzoátegui,HIGH,1.0,VE-B
Venezuela,Diego Bautista Urbaneja,Anzoátegui,,,46887,Municipality,Puerto La Cruz,,Puerto La Cruz,,AnzoáteguiVenezuela,,,,,,,,,,,,,region,1,VE-B,Anzoátegui,NONE,0.0,VE-B
Venezuela,Guanta,Anzoátegui,,,37907,Municipality,Puerto La Cruz,,Puerto La Cruz,,AnzoáteguiVenezuela,,,,,locality,,VE-B,Guanta,,,,,region,1,VE-B,Anzoátegui,HIGH,1.0,VE-B
