Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Vietnam,Chợ Mới,An Giang,,,307981,District,,,#N/A,,An GiangVietnam,,,,,locality,,VN-44,Xã Chợ Mới,,,,,region,1,VN-44,Tỉnh An Giang,LOW,0.874,VN-44
Vietnam,Long Xuyên,An Giang,,,272365,District-level City,,,#N/A,,An GiangVietnam,,,,,locality,,VN-44,Phường Long Xuyên,,,,,region,1,VN-44,Tỉnh An Giang,LOW,0.791,VN-44
Vietnam,Châu Phú,An Giang,,,206676,District,,,#N/A,,An GiangVietnam,,,,,locality,,VN-44,Xã Châu Phú,,,,,region,1,VN-44,Tỉnh An Giang,LOW,0.892,VN-44
Vietnam,Phú Tân,An Giang,,,188951,District,,,#N/A,,An GiangVietnam,,,,,locality,,VN-44,Xã Phú Tân,,,,,region,1,VN-44,Tỉnh An Giang,LOW,0.874,VN-44
Vietnam,Thoại Sơn,An Giang,,,163427,District,,,#N/A,,An GiangVietnam,,,,,locality,,VN-44,Xã Thoại Sơn,,,,,region,1,VN-44,Tỉnh An Giang,LOW,0.907,VN-44
Vietnam,Châu Thành,An Giang,,,151368,District,,,#N/A,,An GiangVietnam,,,,,locality,,VN-44,Xã Châu Thành,,,,,region,1,VN-44,Tỉnh An Giang,LOW,0.92,VN-44
Vietnam,An Phú,An Giang,,,148615,District,,,#N/A,,An GiangVietnam,,,,,locality,,VN-44,Xã An Phú,,,,,region,1,VN-44,Tỉnh An Giang,LOW,0.85,VN-44
Vietnam,Tân Châu,An Giang,,,141211,District-level Town,,,#N/A,,An GiangVietnam,,,,,,,,,,,,,region,1,VN-44,Tỉnh An Giang,NONE,0.0,VN-44
Vietnam,Tri Tôn,An Giang,,,117431,District,,,#N/A,,An GiangVietnam,,,,,locality,,VN-44,Xã Tri Tôn,,,,,region,1,VN-44,Tỉnh An Giang,LOW,0.874,VN-44
Vietnam,Tịnh Biên,An Giang,,,108562,District,,,#N/A,,An GiangVietnam,,,,,,,,,,,,,region,1,VN-44,Tỉnh An Giang,NONE,0.0,VN-44
Vietnam,Châu Đốc,An Giang,,,101765,District-level City,,,#N/A,,An GiangVietnam,,,,,,,,,,,,,region,1,VN-44,Tỉnh An Giang,NONE,0.0,VN-44
Vietnam,Vũng Tàu,Bà Rịa - Vũng Tàu,,,357124,District-level City,Vũng Tàu,,Vũng Tàu,,Bà Rịa - Vũng TàuVietnam,,,,,,,,,,,,,,,,,NONE,0.0,
Vietnam,Phú Mỹ (Tân Thành),Bà Rịa - Vũng Tàu,,,179786,District-level Town,Vũng Tàu,,Vũng Tàu,,Bà Rịa - Vũng TàuVietnam,,,,,locality,,VN-68,Xã Phú Mỹ,,,,,region,1,VN-68,Tỉnh Phú Thọ,HIGH,1.0,VN-68
Vietnam,Châu Đức,Bà Rịa - Vũng Tàu,,,143859,District,Vũng Tàu,,Vũng Tàu,,Bà Rịa - Vũng TàuVietnam,,,,,,,,,,,,,,,,,NONE,0.0,
Vietnam,Xuyên Mộc,Bà Rịa - Vũng Tàu,,,140723,District,Vũng Tàu,,Vũng Tàu,,Bà Rịa - Vũng TàuVietnam,,,,,,,,,,,,,,,,,NONE,0.0,
Vietnam,Long Điền,Bà Rịa - Vũng Tàu,,,135763,District,Vũng Tàu,,Vũng Tàu,,Bà Rịa - Vũng TàuVietnam,,,,,,,,,,,,,,,,,NONE,0.0,
Vietnam,Bà Rịa,Bà Rịa - Vũng Tàu,,,108701,District-level City,Vũng Tàu,,Vũng Tàu,,Bà Rịa - Vũng TàuVietnam,,,,,,,,,,,,,,,,,NONE,0.0,
Vietnam,Đất Đỏ,Bà Rịa - Vũng Tàu,,,73530,District,Vũng Tàu,,Vũng Tàu,,Bà Rịa - Vũng TàuVietnam,,,,,,,,,,,,,,,,,NONE,0.0,
Vietnam,Côn Đảo,Bà Rịa - Vũng Tàu,,,8827,District,Vũng Tàu,,Vũng Tàu,,Bà Rịa - Vũng TàuVietnam,,,,,,,,,,,,,,,,,NONE,0.0,
Vietnam,Hiệp Hòa,Bắc Giang,,,247460,District,,,#N/A,,Bắc GiangVietnam,,,,,,,,,,,,,,,,,NONE,0.0,
Vietnam,Lục Ngạn,Bắc Giang,,,226540,District,,,#N/A,,Bắc GiangVietnam,,,,,,,,,,,,,,,,,NONE,0.0,
Vietnam,Lục Nam,Bắc Giang,,,226194,District,,,#N/A,,Bắc GiangVietnam,,,,,,,,,,,,,,,,,NONE,0.0,
