Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Wallis and Futuna,Ono,Alo,,,524,Village,Mata Utu,,Mata Utu,,AloWallis and Futuna,dependency,1,,Wallis-et-Futuna,,,,,,,,,,,,,,,,NONE,0.0,
Wallis and Futuna,Taoa,Alo,,,480,Village,Mata Utu,,Mata Utu,,AloWallis and Futuna,dependency,1,,Wallis-et-Futuna,,,,,,,,,,,,,,,,NONE,0.0,
Wallis and Futuna,Kolia,Alo,,,254,Village,Mata Utu,,Mata Utu,,AloWallis and Futuna,dependency,1,,Wallis-et-Futuna,,,,,,,,,,,,,,,,NONE,0.0,
Wallis and Futuna,Vele,Alo,,,209,Village,Mata Utu,,Mata Utu,,AloWallis and Futuna,dependency,1,,Wallis-et-Futuna,,,,,,,,,,,,,,,,NONE,0.0,
Wallis and Futuna,Mala'e,Alo,,,168,Village,Mata Utu,,Mata Utu,,AloWallis and Futuna,dependency,1,,Wallis-et-Futuna,,,,,,,,,,,,,,,,NONE,0.0,
Wallis and Futuna,Poï,Alo,,,160,Village,Mata Utu,,Mata Utu,,AloWallis and Futuna,dependency,1,,Wallis-et-Futuna,,,,,,,,,,,,,,,,NONE,0.0,
Wallis and Futuna,Tamana,Alo,,,152,Village,Mata Utu,,Mata Utu,,AloWallis and Futuna,dependency,1,,Wallis-et-Futuna,,,,,,,,,,,,,,,,NONE,0.0,
Wallis and Futuna,Tuatafa,Alo,,,2,Village,Mata Utu,,Mata Utu,,AloWallis and Futuna,dependency,1,,Wallis-et-Futuna,,,,,,,,,,,,,,,,NONE,0.0,
Wallis and Futuna,Alofi,Alo,,,1,Village,Mata Utu,,Mata Utu,,AloWallis and Futuna,region,2,WF-AL,Alo,,,,,,,,,,,,,,,,NONE,0.0,
Wallis and Futuna,Mata'utu [Mata-Utu],Hahake,,,1029,Village,Mata Utu,,Mata Utu,,HahakeWallis and Futuna,dependency,1,,Wallis-et-Futuna,,,,,,,,,,,,,,,,NONE,0.0,
Wallis and Futuna,Liku,Hahake,,,605,Village,Mata Utu,,Mata Utu,,HahakeWallis and Futuna,dependency,1,,Wallis-et-Futuna,,,,,,,,,,,,,,,,NONE,0.0,
Wallis and Futuna,Falaleu,Hahake,,,572,Village,Mata Utu,,Mata Utu,,HahakeWallis and Futuna,dependency,1,,Wallis-et-Futuna,,,,,,,,,,,,,,,,NONE,0.0,
