Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Samoa,Faleasiu,A'ana Alofi 1,,,4342,Village,,,#N/A,,A'ana Alofi 1Samoa,locality,,WS-AA,Faleasiu,,,,locality,,WS-AA,Faleasiu,,,,,region,1,WS-AA,Aʻana,HIGH,1.0,WS-AA
Samoa,Fasito'o Uta,A'ana Alofi 2,,,2192,Village,,,#N/A,,A'ana Alofi 2Samoa,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Samoa,Lepale,A'ana Alofi 2,,,171,Village,,,#N/A,,A'ana Alofi 2Samoa,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Samoa,Nofoali'i,A'ana Alofi 3,,,2184,Village,,,#N/A,,A'ana Alofi 3Samoa,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Samoa,Leulumoega,A'ana Alofi 3,,,1295,Village,,,#N/A,,A'ana Alofi 3Samoa,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Samoa,Satapuala (incl. Sina),A'ana Alofi 4,,,2102,Village,,,#N/A,,A'ana Alofi 4Samoa,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Samoa,Fasito'o Tai,A'ana Alofi 4,,,1631,Village,,,#N/A,,A'ana Alofi 4Samoa,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Samoa,Vailuutai,A'ana Alofi 4,,,953,Village,,,#N/A,,A'ana Alofi 4Samoa,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Samoa,Faleatiu,A'ana Alofi 4,,,634,Village,,,#N/A,,A'ana Alofi 4Samoa,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Samoa,Afia,A'ana Alofi 4,,,248,Village,,,#N/A,,A'ana Alofi 4Samoa,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Samoa,Faleolo,A'ana Alofi 4,,,15,Village,,,#N/A,,A'ana Alofi 4Samoa,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Samoa,Afolau,A'ana Alofi 4,,,0,Village,,,#N/A,,A'ana Alofi 4Samoa,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Samoa,Vaipapa,A'ana Alofi 4,,,0,Village,,,#N/A,,A'ana Alofi 4Samoa,,,,,,,,,,,,,,,,,,,,NONE,0.0,
Samoa,Manono Uta,Aiga-i-le-Tai,,,1427,Village,,,#N/A,,Aiga-i-le-TaiSamoa,locality,,WS-AL,Manono Uta,,,,locality,,WS-AL,Manono Uta,,,,,region,1,WS-AL,Aiga-i-le-Tai,HIGH,1.0,WS-AL
