Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Kosovo,Ferizaj (Uroševac),Ferizaj (Uroševac),,,106286,Municipality,Ferizaj,,Ferizaj,,Ferizaj (Uroševac)Kosovo,county,2,,Komuna e Ferizajt / Opština Uroševac,,,,county,2,nan,Komuna e Ferizajt / Opština Uroševac,,,,,region,1,nan,Rajoni i Prishtinës / Prištinski okrug,HIGH,1.0,nan
Kosovo,Kaçanik (Kačanik),Ferizaj (Uroševac),,,34672,Municipality,Ferizaj,,Ferizaj,,Ferizaj (Uroševac)Kosovo,county,2,,Komuna e Kaçanikut / Opština Kačanik,,,,county,2,nan,Komuna e Kaçanikut / Opština Kačanik,,,,,region,1,nan,Rajoni i Prishtinës / Prištinski okrug,HIGH,1.0,nan
Kosovo,Shtime (Štimlje),Ferizaj (Uroševac),,,27450,Municipality,Ferizaj,,Ferizaj,,Ferizaj (Uroševac)Kosovo,county,2,,Komuna e Shtimes / Opština Štimlje,,,,,,,,,,,,,,,,NONE,0.0,
Kosovo,Hani i Elezit (Ðeneral Janković),Ferizaj (Uroševac),,,10090,Municipality,Ferizaj,,Ferizaj,,Ferizaj (Uroševac)Kosovo,county,2,,Komuna e Ferizajt / Opština Uroševac,,,,,,,,,,,,,,,,NONE,0.0,
Kosovo,Shtërpcë (Štrpce),Ferizaj (Uroševac),,,6621,Municipality,Ferizaj,,Ferizaj,,Ferizaj (Uroševac)Kosovo,county,2,,Komuna e Shtërpcës / Opština Štrpce,,,,,,,,,,,,,,,,NONE,0.0,
Kosovo,Gjakovë (Ðakovica),Gjakovë (Ðakovica),,,94334,Municipality,,,#N/A,,Gjakovë (Ðakovica)Kosovo,county,2,,Komuna e Gjakovës / Opština Ðakovica,,,,,,,,,,,,,,,,NONE,0.0,
Kosovo,Rahovec (Orahovac),Gjakovë (Ðakovica),,,57047,Municipality,,,#N/A,,Gjakovë (Ðakovica)Kosovo,county,2,,Komuna e Rahovecit / Opština Orahovac,,,,,,,,,,,,,,,,NONE,0.0,
Kosovo,Deçan (Dečane),Gjakovë (Ðakovica),,,42480,Municipality,,,#N/A,,Gjakovë (Ðakovica)Kosovo,county,2,,Komuna e Deçanit / Opština Dečane,,,,,,,,,,,,,,,,NONE,0.0,
Kosovo,Junik,Gjakovë (Ðakovica),,,6383,Municipality,,,#N/A,,Gjakovë (Ðakovica)Kosovo,county,2,,Komuna e Junikut / Opština Junik,,,,county,2,nan,Komuna e Junikut / Opština Junik,,,,,region,1,nan,Rajoni i Prishtinës / Prištinski okrug,HIGH,1.0,nan
Kosovo,Gjilan (Gnjilane),Gjilan (Gnjilane),,,77145,Municipality,Gjilan,,Gjilan,,Gjilan (Gnjilane)Kosovo,county,2,,Komuna e Gjilanit / Opština Gnjilane / Gilan Belediyesi,,,,locality,,nan,Gjilan,,,,,region,1,nan,Rajoni i Prishtinës / Prištinski okrug,HIGH,1.0,nan
Kosovo,Viti (Vitina),Gjilan (Gnjilane),,,47896,Municipality,,,#N/A,,Gjilan (Gnjilane)Kosovo,county,2,,Komuna e Vitisë / Opština Vitina,,,,,,,,,,,,,,,,NONE,0.0,
Kosovo,Kamenicë (Kosovska Kamenica),Gjilan (Gnjilane),,,27948,Municipality,,,#N/A,,Gjilan (Gnjilane)Kosovo,county,2,,Komuna e Kamenicës / Opština Kamenica,,,,,,,,,,,,,,,,NONE,0.0,
Kosovo,Ranillug (Ranilug),Gjilan (Gnjilane),,,3737,Municipality,,,#N/A,,Gjilan (Gnjilane)Kosovo,county,2,,Opština Ranilug / Komuna e Ranillugut,,,,,,,,,,,,,,,,NONE,0.0,
Kosovo,Kllokot (Klokot),Gjilan (Gnjilane),,,2719,Municipality,,,#N/A,,Gjilan (Gnjilane)Kosovo,county,2,,Komuna e Kllokotit / Opština Klokot,,,,locality,,nan,Klokot - Kllokot,,,,,region,1,nan,Rajoni i Prishtinës / Prištinski okrug,HIGH,1.0,nan
Kosovo,Partesh (Parteš),Gjilan (Gnjilane),,,1699,Municipality,,,#N/A,,Gjilan (Gnjilane)Kosovo,county,2,,Opština Parteš / Komuna e Parteshit,,,,locality,,nan,Parteš,,,,,region,1,nan,Rajoni i Prishtinës / Prištinski okrug,HIGH,1.0,nan
Kosovo,Mitrovicë e Jugut (Južna Kosovska Mitrovica),Mitrovicë (Kosovska Mitrovica),,,69331,Municipality,Mitrovicë,,Mitrovicë,,Mitrovicë (Kosovska Mitrovica)Kosovo,locality,,,Mitrovicë,,,,,,,,,,,,,,,,NONE,0.0,
Kosovo,Mitrovica e Veriut (Severna Kosovska Mitrovica) [North Mitrovica],Mitrovicë (Kosovska Mitrovica),,,11994,Municipality,Mitrovicë,,Mitrovicë,,Mitrovicë (Kosovska Mitrovica)Kosovo,locality,,,Severna Kosovska Mitrovica / Mitrovicë Veriore,,,,,,,,,,,,,,,,NONE,0.0,
Kosovo,Skenderaj (Srbica),Mitrovicë (Kosovska Mitrovica),,,52714,Municipality,Skënderaj,,Skënderaj,,Mitrovicë (Kosovska Mitrovica)Kosovo,county,2,,Komuna e Skënderajt / Opština Srbica,,,,county,2,nan,Komuna e Skënderajt / Opština Srbica,,,,,region,1,nan,Rajoni i Prishtinës / Prištinski okrug,HIGH,1.0,nan
Kosovo,Vushtrri (Vučitrn),Mitrovicë (Kosovska Mitrovica),,,62926,Municipality,,,#N/A,,Mitrovicë (Kosovska Mitrovica)Kosovo,county,2,,Komuna e Vushtrrisë / Opština Vučitrn,,,,locality,,nan,Vushtrri,,,,,region,1,nan,Rajoni i Prishtinës / Prištinski okrug,HIGH,1.0,nan
Kosovo,Leposaviq (Leposavić),Mitrovicë (Kosovska Mitrovica),,,13202,Municipality,,,#N/A,,Mitrovicë (Kosovska Mitrovica)Kosovo,county,2,,Opština Leposavić / Komuna e Leposaviqit,,,,,,,,,,,,,,,,NONE,0.0,
Kosovo,Zveçan (Zvečan),Mitrovicë (Kosovska Mitrovica),,,7290,Municipality,,,#N/A,,Mitrovicë (Kosovska Mitrovica)Kosovo,county,2,,Opština Zvečan / Komuna e Zveçanit,,,,county,2,nan,Opština Zvečan / Komuna e Zveçanit,,,,,region,1,nan,Rajoni i Prishtinës / Prištinski okrug,HIGH,1.0,nan
Kosovo,Zubin Potok (Zubin Potok),Mitrovicë (Kosovska Mitrovica),,,6664,Municipality,,,#N/A,,Mitrovicë (Kosovska Mitrovica)Kosovo,county,2,,Opština Zubin Potok / Komuna e Zubin Potokut,,,,county,2,nan,Opština Zubin Potok / Komuna e Zubin Potokut,,,,,region,1,nan,Rajoni i Prishtinës / Prištinski okrug,HIGH,1.0,nan
Kosovo,Klinë (Klina),Pejë (Peć),,,40489,Municipality,Klina,,Klina,,Pejë (Peć)Kosovo,county,2,,Komuna e Klinës / Opština Klina,,,,,,,,,,,,,,,,NONE,0.0,
Kosovo,Pejë (Peć),Pejë (Peć),,,98601,Municipality,,,#N/A,,Pejë (Peć)Kosovo,county,2,,Komuna e Pejës / Opština Peć,,,,,,,,,,,,,,,,NONE,0.0,
Kosovo,Istog (Istok),Pejë (Peć),,,41181,Municipality,,,#N/A,,Pejë (Peć)Kosovo,county,2,,Komuna e Istogut / Opština Istok,,,,,,,,,,,,,,,,NONE,0.0,
Kosovo,Podujevë (Podujevo),Priština,,,82023,Municipality,Podujevë,,Podujevë,,PrištinaKosovo,county,2,,Komuna e Podujevës / Opština Podujevo,,,,,,,,,,,,,,,,NONE,0.0,
Kosovo,Prishtinë (Priština),Priština,,,218782,Municipality,Pristina,,Pristina,,PrištinaKosovo,county,2,,Komuna e Prishtinës / Opština Priština,,,,locality,,nan,Prishtinë,,,,,region,1,nan,Rajoni i Prishtinës / Prištinski okrug,HIGH,1.0,nan
Kosovo,Gllogoc (Glogovac),Priština,,,61145,Municipality,Pristina,,Pristina,,PrištinaKosovo,county,2,,Komuna e Drenasit / Opština Glogovac,,,,locality,,nan,Gllogoc,,,,,region,1,nan,Rajoni i Prishtinës / Prištinski okrug,HIGH,1.0,nan
Kosovo,Lipjan (Lipljan),Priština,,,57928,Municipality,Pristina,,Pristina,,PrištinaKosovo,county,2,,Komuna e Lipjanit / Opština Lipljan,,,,locality,,nan,Lipjan,,,,,region,1,nan,Rajoni i Prishtinës / Prištinski okrug,HIGH,1.0,nan
Kosovo,Fushë Kosovë (Kosovo Polje),Priština,,,39948,Municipality,Pristina,,Pristina,,PrištinaKosovo,locality,,,Fushë Kosovë,,,,locality,,nan,Fushë Kosovë,,,,,region,1,nan,Rajoni i Prishtinës / Prištinski okrug,HIGH,1.0,nan
Kosovo,Obiliq (Obilić),Priština,,,18218,Municipality,Pristina,,Pristina,,PrištinaKosovo,county,2,,Komuna e Obiliqit / Opština Obilić,,,,locality,,nan,Obiliq,,,,,region,1,nan,Rajoni i Prishtinës / Prištinski okrug,HIGH,1.0,nan
Kosovo,Graçanicë (Gračanica),Priština,,,12229,Municipality,Pristina,,Pristina,,PrištinaKosovo,county,2,,Opština Gračanica / Komuna e Graçanicës / E Gracanicaki Komuna,,,,locality,,nan,Gračanica,,,,,region,1,nan,Rajoni i Prishtinës / Prištinski okrug,HIGH,1.0,nan
Kosovo,Novobërdë (Novo Brdo),Priština,,,7158,Municipality,Pristina,,Pristina,,PrištinaKosovo,county,2,,Opština Novo Brdo / Komuna e Novobërdës,,,,,,,,,,,,,,,,NONE,0.0,
Kosovo,Malishevë (Mališevo),Prizren,,,57261,Municipality,Malishevë,,Malishevë,,PrizrenKosovo,county,2,,Komuna e Malishevës / Opština Mališevo,,,,,,,,,,,,,,,,NONE,0.0,
Kosovo,Prizren,Prizren,,,194581,Municipality,Prizren,,Prizren,,PrizrenKosovo,county,2,,Komuna e Prizrenit / Opština Prizren / Prizren Belediyesi,,,,county,2,nan,Komuna e Prizrenit / Opština Prizren / Prizren Belediyesi,,,,,region,1,nan,Rajoni i Prishtinës / Prištinski okrug,HIGH,1.0,nan
Kosovo,Mamushë (Mamuša),Prizren,,,5874,Municipality,Prizren,,Prizren,,PrizrenKosovo,county,2,,Mamuşa Belediyesi / Komuna e Mamushës,,,,locality,,nan,Mamuşa - Mamushë,,,,,region,1,nan,Rajoni i Prishtinës / Prištinski okrug,HIGH,1.0,nan
Kosovo,Suharekë (Suva Reka),Prizren,,,58194,Municipality,Suva Reka,,Suva Reka,,PrizrenKosovo,county,2,,Komuna e Suharekës / Opština Suva Reka,,,,,,,,,,,,,,,,NONE,0.0,
Kosovo,Dragash (Dragaš),Prizren,,,33948,Municipality,,,#N/A,,PrizrenKosovo,county,2,,Komuna e Dragashit / Opština Dragaš,,,,locality,,nan,Dragash,,,,,region,1,nan,Rajoni i Prishtinës / Prištinski okrug,HIGH,1.0,nan
