Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Yemen,Khanfir,Abyan,,,109044,District,,,#N/A,2004,AbyanYemen,,,,,,,,locality,,YE-AB,مديرية خنفر,,,,,region,1,YE-AB,محافظة أبين,HIGH,1.0,YE-AB
Yemen,Lawdar,Abyan,,,88155,District,,,#N/A,2004,AbyanYemen,,,,,,,,locality,,YE-AB,مديرية لودر,,,,,region,1,YE-AB,محافظة أبين,HIGH,1.0,YE-AB
Yemen,Rasad,Abyan,,,54825,District,,,#N/A,2004,AbyanYemen,,,,,,,,locality,,YE-AB,مديرية رصد,,,,,region,1,YE-AB,محافظة أبين,HIGH,1.0,YE-AB
Yemen,Mudiyah,Abyan,,,34879,District,,,#N/A,2004,AbyanYemen,,,,,,,,locality,,YE-AB,مديرية مودية,,,,,region,1,YE-AB,محافظة أبين,HIGH,1.0,YE-AB
Yemen,Al Mahfad,Abyan,,,26870,District,,,#N/A,2004,AbyanYemen,,,,,,,,locality,,YE-AB,مديرية المحفد,,,,,region,1,YE-AB,محافظة أبين,HIGH,1.0,YE-AB
Yemen,Zingibar,Abyan,,,25524,District,,,#N/A,2004,AbyanYemen,,,,,,,,,,,,,,,,region,1,YE-AB,محافظة أبين,NONE,0.0,YE-AB
Yemen,Ahwar,Abyan,,,25246,District,,,#N/A,2004,AbyanYemen,,,,,,,,locality,,YE-AB,مديرية أحور,,,,,region,1,YE-AB,محافظة أبين,HIGH,1.0,YE-AB
Yemen,Al Wade'a,Abyan,,,23400,District,,,#N/A,2004,AbyanYemen,,,,,,,,,,,,,,,,region,1,YE-AB,محافظة أبين,NONE,0.0,YE-AB
Yemen,Sibah,Abyan,,,15996,District,,,#N/A,2004,AbyanYemen,,,,,,,,locality,,YE-AB,مديرية سباح,,,,,region,1,YE-AB,محافظة أبين,HIGH,1.0,YE-AB
Yemen,Sarar,Abyan,,,15093,District,,,#N/A,2004,AbyanYemen,,,,,,,,,,,,,,,,region,1,YE-AB,محافظة أبين,NONE,0.0,YE-AB
Yemen,Jayshan,Abyan,,,14800,District,,,#N/A,2004,AbyanYemen,,,,,,,,locality,,YE-AB,مديرية جيشان,,,,,region,1,YE-AB,محافظة أبين,HIGH,1.0,YE-AB
Yemen,Al Mansura,Aden,,,114931,District,,,#N/A,2004,AdenYemen,,,,,,,,locality,,YE-AD,مديرية المنصورة,,,,,region,1,YE-AD,محافظة عدن,HIGH,1.0,YE-AD
Yemen,Ash Shaikh Outhman,Aden,,,105248,District,,,#N/A,2004,AdenYemen,,,,,,,,,,,,,,,,region,1,YE-AD,محافظة عدن,NONE,0.0,YE-AD
Yemen,Dar Sad,Aden,,,79712,District,,,#N/A,2004,AdenYemen,,,,,,,,,,,,,,,,region,1,YE-AD,محافظة عدن,NONE,0.0,YE-AD
Yemen,Craiter,Aden,,,76723,District,,,#N/A,2004,AdenYemen,,,,,,,,,,,,,,,,region,1,YE-AD,محافظة عدن,NONE,0.0,YE-AD
Yemen,Al Buraiqeh,Aden,,,62405,District,,,#N/A,2004,AdenYemen,,,,,,,,,,,,,,,,region,1,YE-AD,محافظة عدن,NONE,0.0,YE-AD
Yemen,Attawahi,Aden,,,52984,District,,,#N/A,2004,AdenYemen,,,,,,,,,,,,,,,,region,1,YE-AD,محافظة عدن,NONE,0.0,YE-AD
Yemen,Al Mualla,Aden,,,49891,District,,,#N/A,2004,AdenYemen,,,,,,,,,,,,,,,,region,1,YE-AD,محافظة عدن,NONE,0.0,YE-AD
Yemen,Khur Maksar,Aden,,,47044,District,,,#N/A,2004,AdenYemen,,,,,,,,,,,,,,,,region,1,YE-AD,محافظة عدن,NONE,0.0,YE-AD
Yemen,Rada',Al Bayda,,,56382,District,,,#N/A,2004,Al BaydaYemen,,,,,,,,locality,,YE-BA,مديرية رداع,,,,,region,1,YE-BA,محافظة البيضاء,HIGH,1.0,YE-BA
Yemen,Al A'rsh,Al Bayda,,,45773,District,,,#N/A,2004,Al BaydaYemen,,,,,,,,locality,,YE-BA,مديرية العرش,,,,,region,1,YE-BA,محافظة البيضاء,HIGH,1.0,YE-BA
Yemen,As Sawma'ah,Al Bayda,,,44873,District,,,#N/A,2004,Al BaydaYemen,,,,,,,,locality,,YE-BA,مديرية الصومعة,,,,,region,1,YE-BA,محافظة البيضاء,HIGH,1.0,YE-BA
Yemen,Mukayras,Al Bayda,,,41515,District,,,#N/A,2004,Al BaydaYemen,,,,,,,,locality,,YE-BA,مديرية مكيراس,,,,,region,1,YE-BA,محافظة البيضاء,HIGH,1.0,YE-BA
Yemen,Al Bayda,Al Bayda,,,40289,District,,,#N/A,2004,Al BaydaYemen,,,,,,,,locality,,YE-BA,مديرية البيضاء,,,,,region,1,YE-BA,محافظة البيضاء,HIGH,1.0,YE-BA
Yemen,Ash Sharyah,Al Bayda,,,33873,District,,,#N/A,2004,Al BaydaYemen,,,,,,,,locality,,YE-BA,مديرية الشرية,,,,,region,1,YE-BA,محافظة البيضاء,HIGH,1.0,YE-BA
Yemen,Al Bayda City,Al Bayda,,,29853,District,,,#N/A,2004,Al BaydaYemen,,,,,,,,locality,,YE-BA,مديرية البيضاء,,,,,region,1,YE-BA,محافظة البيضاء,HIGH,1.0,YE-BA
Yemen,Al Malagim,Al Bayda,,,29573,District,,,#N/A,2004,Al BaydaYemen,,,,,,,,locality,,YE-BA,مديرية الملاجم,,,,,region,1,YE-BA,محافظة البيضاء,HIGH,1.0,YE-BA
Yemen,Al Quraishyah,Al Bayda,,,29525,District,,,#N/A,2004,Al BaydaYemen,,,,,,,,locality,,YE-BA,مديرية القريشية,,,,,region,1,YE-BA,محافظة البيضاء,HIGH,1.0,YE-BA
Yemen,At Taffah,Al Bayda,,,27692,District,,,#N/A,2004,Al BaydaYemen,,,,,,,,locality,,YE-BA,مديرية الطفة,,,,,region,1,YE-BA,محافظة البيضاء,HIGH,1.0,YE-BA
Yemen,Sabah,Al Bayda,,,27472,District,,,#N/A,2004,Al BaydaYemen,,,,,,,,locality,,YE-BA,مديرية صباح,,,,,region,1,YE-BA,محافظة البيضاء,HIGH,1.0,YE-BA
Yemen,As Sawadiyah,Al Bayda,,,26763,District,,,#N/A,2004,Al BaydaYemen,,,,,,,,locality,,YE-BA,مديرية السوادية,,,,,region,1,YE-BA,محافظة البيضاء,HIGH,1.0,YE-BA
Yemen,Dhi Na'im,Al Bayda,,,25759,District,,,#N/A,2004,Al BaydaYemen,,,,,,,,locality,,YE-BA,مديرية ذي ناعم,,,,,region,1,YE-BA,محافظة البيضاء,HIGH,1.0,YE-BA
Yemen,Az Zahir,Al Bayda,,,25704,District,,,#N/A,2004,Al BaydaYemen,,,,,,,,locality,,YE-BA,مديرية الزاهر,,,,,region,1,YE-BA,محافظة البيضاء,HIGH,1.0,YE-BA
Yemen,Ar Ryashyyah,Al Bayda,,,22842,District,,,#N/A,2004,Al BaydaYemen,,,,,,,,locality,,YE-BA,مديرية الرياشية,,,,,region,1,YE-BA,محافظة البيضاء,HIGH,1.0,YE-BA
Yemen,Radman Al Awad,Al Bayda,,,20150,District,,,#N/A,2004,Al BaydaYemen,,,,,,,,,,,,,,,,region,1,YE-BA,محافظة البيضاء,NONE,0.0,YE-BA
Yemen,Wald Rabi',Al Bayda,,,19427,District,,,#N/A,2004,Al BaydaYemen,,,,,,,,locality,,YE-BA,مديرية ولد ربيع,,,,,region,1,YE-BA,محافظة البيضاء,HIGH,1.0,YE-BA
Yemen,Nati',Al Bayda,,,13604,District,,,#N/A,2004,Al BaydaYemen,,,,,,,,locality,,YE-BA,مديرية ناطع,,,,,region,1,YE-BA,محافظة البيضاء,HIGH,1.0,YE-BA
Yemen,Na'man,Al Bayda,,,9252,District,,,#N/A,2004,Al BaydaYemen,,,,,,,,locality,,YE-BA,مديرية نعمان,,,,,region,1,YE-BA,محافظة البيضاء,HIGH,1.0,YE-BA
Yemen,Maswarah,Al Bayda,,,7038,District,,,#N/A,2004,Al BaydaYemen,,,,,,,,locality,,YE-BA,مديرية مسورة,,,,,region,1,YE-BA,محافظة البيضاء,HIGH,1.0,YE-BA
Yemen,Bayt Al Faqiah,Al Hudaydah,,,241300,District,,,#N/A,2004,Al HudaydahYemen,,,,,,,,locality,,YE-HU,مديرية بيت الفقيه,,,,,region,1,YE-HU,محافظة الحديدة,HIGH,1.0,YE-HU
