Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
South Africa,Buffalo City (East London),Eastern Cape,,Buffalo City,975255,Metropolitan Municipality,East London,,East London,,Eastern CapeSouth Africa,county,2,ZA-EC,Buffalo City Metropolitan Municipality,,,,,,,,,,,,region,1,ZA-EC,Eastern Cape,NONE,0.0,ZA-EC
South Africa,Kouga,Eastern Cape,,Sarah Baartman,107014,Local Municipality,Jeffreys Bay,,Jeffreys Bay,,Eastern CapeSouth Africa,county,2,ZA-EC,Sarah Baartman District Municipality,,,,,,,,,,,,region,1,ZA-EC,Eastern Cape,NONE,0.0,ZA-EC
South Africa,Nelson Mandela Bay (Port Elizabeth),Eastern Cape,,Nelson Mandela Bay,1190496,Metropolitan Municipality,Port Elizabeth,,Port Elizabeth,,Eastern CapeSouth Africa,county,2,ZA-EC,Nelson Mandela Bay Metropolitan Municipality,,,,county,2,ZA-EC,Nelson Mandela Bay Metropolitan Municipality,,,,,region,1,ZA-EC,Eastern Cape,LOW,0.785,ZA-EC
South Africa,King Sabata Dalindyebo,Eastern Cape,,O.R. Tambo,476558,Local Municipality,,,#N/A,,Eastern CapeSouth Africa,county,2,ZA-EC,O.R. Tambo District Municipality,,,,,,,,,,,,region,1,ZA-EC,Eastern Cape,NONE,0.0,ZA-EC
South Africa,"Ngquza Hill (Ingquza Hill, Qaukeni)",Eastern Cape,,O.R. Tambo,354573,Local Municipality,,,#N/A,,Eastern CapeSouth Africa,county,2,ZA-EC,O.R. Tambo District Municipality,,,,,,,,,,,,region,1,ZA-EC,Eastern Cape,NONE,0.0,ZA-EC
South Africa,Winnie Madikizela-Mandela (Mbizana),Eastern Cape,,Alfred Nzo,350000,Local Municipality,,,#N/A,,Eastern CapeSouth Africa,county,2,ZA-EC,Alfred Nzo District Municipality,,,,,,,,,,,,region,1,ZA-EC,Eastern Cape,NONE,0.0,ZA-EC
South Africa,Nyandeni,Eastern Cape,,O.R. Tambo,304856,Local Municipality,,,#N/A,,Eastern CapeSouth Africa,county,2,ZA-EC,O.R. Tambo District Municipality,,,,,,,,,,,,region,1,ZA-EC,Eastern Cape,NONE,0.0,ZA-EC
South Africa,"Enoch Mgijima (incl. Lukanji, Tsolwana, Inkwanca)",Eastern Cape,,Chris Hani,297055,Local Municipality,,,#N/A,,Eastern CapeSouth Africa,county,2,ZA-EC,Chris Hani District Municipality,,,,,,,,,,,,region,1,ZA-EC,Eastern Cape,NONE,0.0,ZA-EC
South Africa,Mbhashe,Eastern Cape,,Amathole,240020,Local Municipality,,,#N/A,,Eastern CapeSouth Africa,county,2,ZA-EC,Amathole District Municipality,,,,,,,,,,,,region,1,ZA-EC,Eastern Cape,NONE,0.0,ZA-EC
South Africa,Mnquma,Eastern Cape,,Amathole,232993,Local Municipality,,,#N/A,,Eastern CapeSouth Africa,county,2,ZA-EC,Amathole District Municipality,,,,,,,,,,,,region,1,ZA-EC,Eastern Cape,NONE,0.0,ZA-EC
South Africa,Matatiele,Eastern Cape,,Alfred Nzo,225562,Local Municipality,,,#N/A,,Eastern CapeSouth Africa,county,2,ZA-EC,Alfred Nzo District Municipality,,,,,,,,,,,,region,1,ZA-EC,Eastern Cape,NONE,0.0,ZA-EC
South Africa,Umzimvubu,Eastern Cape,,Alfred Nzo,214477,Local Municipality,,,#N/A,,Eastern CapeSouth Africa,county,2,ZA-EC,Alfred Nzo District Municipality,,,,,,,,,,,,region,1,ZA-EC,Eastern Cape,NONE,0.0,ZA-EC
South Africa,Mhlontlo,Eastern Cape,,O.R. Tambo,186391,Local Municipality,,,#N/A,,Eastern CapeSouth Africa,county,2,ZA-EC,O.R. Tambo District Municipality,,,,,,,,,,,,region,1,ZA-EC,Eastern Cape,NONE,0.0,ZA-EC
South Africa,Port St Johns,Eastern Cape,,O.R. Tambo,179325,Local Municipality,,,#N/A,,Eastern CapeSouth Africa,county,2,ZA-EC,O.R. Tambo District Municipality,,,,,,,,,,,,region,1,ZA-EC,Eastern Cape,NONE,0.0,ZA-EC
South Africa,"Raymond Mhlaba (incl. Nkonkobe, Nxuba)",Eastern Cape,,Amathole,178594,Local Municipality,,,#N/A,,Eastern CapeSouth Africa,county,2,ZA-EC,Amathole District Municipality,,,,,,,,,,,,region,1,ZA-EC,Eastern Cape,NONE,0.0,ZA-EC
