Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Zambia,Chibombo,Central,,,421315,District,,,#N/A,,CentralZambia,county,2,ZM-02,Chibombo District,,,,county,2,ZM-02,Chibombo District,,,,,region,1,ZM-02,Central Province,HIGH,1.0,ZM-02
Zambia,Kapiri Mposhi,Central,,,371068,District,,,#N/A,,CentralZambia,county,2,ZM-02,Kapiri Mposhi District,,,,county,2,ZM-02,Kapiri Mposhi District,,,,,region,1,ZM-02,Central Province,HIGH,1.0,ZM-02
Zambia,Mumbwa,Central,,,332237,District,,,#N/A,,CentralZambia,county,2,ZM-02,Mumbwa District,,,,county,2,ZM-02,Mumbwa District,,,,,region,1,ZM-02,Central Province,HIGH,1.0,ZM-02
Zambia,Kabwe,Central,,,299206,District,,,#N/A,,CentralZambia,county,2,ZM-02,Kabwe District,,,,county,2,ZM-02,Kabwe District,,,,,region,1,ZM-02,Central Province,HIGH,1.0,ZM-02
Zambia,Mkushi,Central,,,208635,District,,,#N/A,,CentralZambia,county,2,ZM-02,Mkushi District,,,,county,2,ZM-02,Mkushi District,,,,,region,1,ZM-02,Central Province,HIGH,1.0,ZM-02
Zambia,Chisamba,Central,,,160828,District,,,#N/A,,CentralZambia,county,2,ZM-02,Chisamba District,,,,county,2,ZM-02,Chisamba District,,,,,region,1,ZM-02,Central Province,HIGH,1.0,ZM-02
Zambia,Serenje,Central,,,158192,District,,,#N/A,,CentralZambia,county,2,ZM-02,Serenje District,,,,county,2,ZM-02,Serenje District,,,,,region,1,ZM-02,Central Province,HIGH,1.0,ZM-02
Zambia,Chitambo,Central,,,100603,District,,,#N/A,,CentralZambia,county,2,ZM-02,Chitambo District,,,,county,2,ZM-02,Chitambo District,,,,,region,1,ZM-02,Central Province,HIGH,1.0,ZM-02
Zambia,Shibuyunji,Central,,,91616,District,,,#N/A,,CentralZambia,county,2,ZM-02,Shibuyunji District,,,,county,2,ZM-02,Shibuyunji District,,,,,region,1,ZM-02,Central Province,HIGH,1.0,ZM-02
Zambia,Luano,Central,,,66679,District,,,#N/A,,CentralZambia,county,2,ZM-02,Luano District,,,,county,2,ZM-02,Luano District,,,,,region,1,ZM-02,Central Province,HIGH,1.0,ZM-02
