Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,fixlater,,,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
Zimbabwe,Bulawayo,Bulawayo,,,665940,Urban District,Bulawayo,,Bulawayo,,BulawayoZimbabwe,,,,,,,,region,1,ZW-BU,Bulawayo Province,,,,,region,1,ZW-BU,Bulawayo Province,HIGH,1.0,ZW-BU
Zimbabwe,Harare Urban,Harare,,,1491740,Urban District,Harare,,Harare,,HarareZimbabwe,,,,,,,,,,,,,,,,region,1,ZW-HA,Harare Province,NONE,0.0,ZW-HA
Zimbabwe,Chitungwiza,Harare,,,371244,Urban District,Harare,,Harare,,HarareZimbabwe,,,,,,,,,,,,,,,,region,1,ZW-HA,Harare Province,NONE,0.0,ZW-HA
Zimbabwe,Harare Rural,Harare,,,357860,District,Harare,,Harare,,HarareZimbabwe,,,,,,,,,,,,,,,,region,1,ZW-HA,Harare Province,NONE,0.0,ZW-HA
Zimbabwe,Epworth,Harare,,,206365,Urban District,Harare,,Harare,,HarareZimbabwe,,,,,,,,locality,,ZW-HA,Epworth,,,,,region,1,ZW-HA,Harare Province,HIGH,1.0,ZW-HA
Zimbabwe,Mutare Rural,Manicaland,,,306760,District,Mutare,,Mutare,,ManicalandZimbabwe,,,,,,,,,,,,,,,,region,1,ZW-MA,Manicaland,NONE,0.0,ZW-MA
Zimbabwe,Mutare Urban,Manicaland,,,224802,Urban District,Mutare,,Mutare,,ManicalandZimbabwe,,,,,,,,,,,,,,,,region,1,ZW-MA,Manicaland,NONE,0.0,ZW-MA
Zimbabwe,Chipinge Rural,Manicaland,,,375259,District,,,#N/A,,ManicalandZimbabwe,,,,,,,,,,,,,,,,region,1,ZW-MA,Manicaland,NONE,0.0,ZW-MA
Zimbabwe,Makoni,Manicaland,,,288444,District,,,#N/A,,ManicalandZimbabwe,,,,,,,,county,2,ZW-MA,Makoni,,,,,region,1,ZW-MA,Manicaland,HIGH,1.0,ZW-MA
Zimbabwe,Buhera,Manicaland,,,271920,District,,,#N/A,,ManicalandZimbabwe,,,,,,,,county,2,ZW-MA,Buhera,,,,,region,1,ZW-MA,Manicaland,HIGH,1.0,ZW-MA
