Source Country,Country,Distri rrondissement/County,State/Region (ISO 3166-2),Abv,Subregion,Pop,Type,Metro Area,Sub Country,lookup,Census Year,,Subtype,Admin Level,Region (ISO 3166-2),Primary Name,Direct Subtype,Direct Admin,Direct Region ISO,Direct Primary,County Subtype,County Admin,County Region ISO,County Primary,Region Subtype,Region Admin,Region Region ISO,Region Primary,Confidence,Score,Resolved Region ISO
French Guiana,French Guiana,Cayenne,Cayenne,ARR-9731,,181303,Arrondissement,Cayenne,DEP-973,Cayenne,,CayenneFrench Guiana,,,,,region,2,nan,Cayenne,,,,,,,,,HIGH,1.0,nan
French Guiana,French Guiana,Saint-Georges,Saint-Georges,ARR-9733,,8735,Arrondissement,,DEP-973,#N/A,,Saint-GeorgesFrench Guiana,,,,,region,2,nan,Saint-Georges,,,,,,,,,HIGH,1.0,nan
French Guiana,French Guiana,Saint-Laurent-du-Maroni,Saint-Laurent-du-Maroni,ARR-9732,,98344,Arrondissement,,DEP-973,#N/A,,Saint-Laurent-du-MaroniFrench Guiana,,,,,region,2,nan,Saint-Laurent-du-Maroni,,,,,,,,,HIGH,1.0,nan
Guadeloupe,Guadeloupe,Basse-Terre,Basse-Terre,ARR-9711,,189210,Arrondissement,Basse-Terre,DEP-971,Basse-Terre,,Basse-TerreGuadeloupe,region,2,,Basse-Terre,region,2,nan,Basse-Terre,,,,,,,,,HIGH,1.0,nan
Guadeloupe,Guadeloupe,Pointe-à-Pitre,Pointe-à-Pitre,ARR-9712,,204900,Arrondissement,Basse-Terre,DEP-971,Basse-Terre,,Pointe-à-PitreGuadeloupe,region,2,,Pointe-à-Pitre,region,2,nan,Pointe-à-Pitre,,,,,,,,,HIGH,1.0,nan
Martinique,Martinique,Fort-de-France,Fort-de-France,ARR-9721,,157449,Arrondissement,Fort-de-France,DEP-972,Fort-de-France,,Fort-de-FranceMartinique,region,2,,Fort-de-France,region,2,nan,Fort-de-France,,,,,,,,,HIGH,1.0,nan
Martinique,Martinique,La Trinité,La Trinité,ARR-9722,,78937,Arrondissement,,DEP-972,#N/A,,La TrinitéMartinique,region,2,,La Trinité,region,2,nan,La Trinité,,,,,,,,,HIGH,1.0,nan
Martinique,Martinique,Le Marin,Le Marin,ARR-9723,,117168,Arrondissement,,DEP-972,#N/A,,Le MarinMartinique,region,2,,Le Marin,region,2,nan,Le Marin,,,,,,,,,HIGH,1.0,nan
Martinique,Martinique,Saint-Pierre,Saint-Pierre,ARR-9724,,22926,Arrondissement,,DEP-972,#N/A,,Saint-PierreMartinique,region,2,,Saint-Pierre,region,2,nan,Saint-Pierre,,,,,,,,,HIGH,1.0,nan
Monaco,Monaco,Condamine,Condamine,,,14453,Quarter,Monaco,,Monaco,,CondamineMonaco,,,,,,,,,,,,,,,,,NONE,0.0,
Monaco,Monaco,Fontvielle,Fontvielle,,,4420,Quarter,Monaco,,Monaco,,FontvielleMonaco,,,,,,,,,,,,,,,,,NONE,0.0,
Monaco,Monaco,Monaco-Ville,Monaco-Ville,,,1064,Quarter,Monaco,,Monaco,,Monaco-VilleMonaco,,,,,,,,,,,,,,,,,NONE,0.0,
Monaco,Monaco,Monte-Carlo,Monte-Carlo,,,17372,Quarter,Monaco,,Monaco,,Monte-CarloMonaco,,,,,,,,,,,,,,,,,NONE,0.0,
Réunion,Réunion,Saint-Benoît,Saint-Benoît,ARR-9743,,126777,Arrondissement,Réunion,DEP-974,Réunion,,Saint-BenoîtRéunion,region,2,,Saint-Benoît,region,2,nan,Saint-Benoît,,,,,,,,,HIGH,1.0,nan
Réunion,Réunion,Saint-Denis,Saint-Denis,ARR-9741,,204304,Arrondissement,Réunion,DEP-974,Réunion,,Saint-DenisRéunion,region,2,,Saint-Denis,region,2,nan,Saint-Denis,,,,,,,,,HIGH,1.0,nan
Réunion,Réunion,Saint-Paul,Saint-Paul,ARR-9744,,214073,Arrondissement,Réunion,DEP-974,Réunion,,Saint-PaulRéunion,region,2,,Saint-Paul,region,2,nan,Saint-Paul,,,,,,,,,HIGH,1.0,nan
Réunion,Réunion,Saint-Pierre,Saint-Pierre,ARR-9742,,307770,Arrondissement,Réunion,DEP-974,Réunion,,Saint-PierreRéunion,region,2,,Saint-Pierre,region,2,nan,Saint-Pierre,,,,,,,,,HIGH,1.0,nan
Saint Pierre and Miquelon,Saint Pierre and Miquelon,Miquelon-Langlade,Miquelon-Langlade,,,596,Commune,Saint-Pierre,,Saint-Pierre,,Miquelon-LangladeSaint Pierre and Miquelon,,,,,locality,,nan,Miquelon-Langlade,,,,,,,,,HIGH,1.0,nan
Saint Pierre and Miquelon,Saint Pierre and Miquelon,Saint-Pierre,Saint-Pierre,,,5974,Commune,Saint-Pierre,,Saint-Pierre,,Saint-PierreSaint Pierre and Miquelon,,,,,locality,,nan,Saint-Pierre,,,,,,,,,HIGH,1.0,nan
Isle of Man,Isle of Man,Andreas,Ayre,,,1400,Parish,Douglas,,Douglas,,AyreIsle of Man,region,2,,Andreas,region,2,nan,Andreas,,,,,,,,,HIGH,1.0,nan
Isle of Man,Isle of Man,Lezayre,Ayre,,,1230,Parish,Douglas,,Douglas,,AyreIsle of Man,region,2,,Lezayre,region,2,nan,Lezayre,,,,,,,,,HIGH,1.0,nan
Isle of Man,Isle of Man,Bride,Ayre,,,359,Parish,Douglas,,Douglas,,AyreIsle of Man,region,2,,Bride,region,2,nan,Bride,,,,,,,,,HIGH,1.0,nan
Isle of Man,Isle of Man,Ramsey,Garff,,,8288,Town,Douglas,,Douglas,,GarffIsle of Man,region,2,,Ramsey,region,2,nan,Ramsey,,,,,,,,,HIGH,1.0,nan
Isle of Man,Isle of Man,Laxey,Garff,,,1656,Village,Douglas,,Douglas,,GarffIsle of Man,region,2,,Laxey,region,2,nan,Laxey,,,,,,,,,HIGH,1.0,nan
Isle of Man,Isle of Man,Lonan,Garff,,,1647,Parish,Douglas,,Douglas,,GarffIsle of Man,region,2,,Lonan,region,2,nan,Lonan,,,,,,,,,HIGH,1.0,nan
Isle of Man,Isle of Man,Maughold,Garff,,,952,Parish,Douglas,,Douglas,,GarffIsle of Man,region,2,,Maughold,region,2,nan,Maughold,,,,,,,,,HIGH,1.0,nan
Isle of Man,Isle of Man,Peel,Glenfaba,,,5710,Town,Douglas,,Douglas,,GlenfabaIsle of Man,region,2,,Peel,region,2,nan,Peel,,,,,,,,,HIGH,1.0,nan
Isle of Man,Isle of Man,Patrick,Glenfaba,,,1487,Parish,Douglas,,Douglas,,GlenfabaIsle of Man,region,2,,Patrick,region,2,nan,Patrick,,,,,,,,,HIGH,1.0,nan
Isle of Man,Isle of Man,German,Glenfaba,,,1056,Parish,Douglas,,Douglas,,GlenfabaIsle of Man,region,2,,German,region,2,nan,German,,,,,,,,,HIGH,1.0,nan
Isle of Man,Isle of Man,Michael,Michael,,,1522,Parish,Douglas,,Douglas,,MichaelIsle of Man,region,2,,Michael,region,2,nan,Michael,,,,,,,,,HIGH,1.0,nan
Isle of Man,Isle of Man,Ballaugh,Michael,,,1041,Parish,Douglas,,Douglas,,MichaelIsle of Man,region,2,,Ballaugh,region,2,nan,Ballaugh,,,,,,,,,HIGH,1.0,nan
Isle of Man,Isle of Man,Jurby,Michael,,,780,Parish,Douglas,,Douglas,,MichaelIsle of Man,region,2,,Jurby,region,2,nan,Jurby,,,,,,,,,HIGH,1.0,nan
Isle of Man,Isle of Man,Douglas,Middle,,,26677,Town,Douglas,,Douglas,,MiddleIsle of Man,region,2,,Douglas,region,2,nan,Douglas,,,,,,,,,HIGH,1.0,nan
Isle of Man,Isle of Man,Onchan,Middle,,,9039,Village,Douglas,,Douglas,,MiddleIsle of Man,region,2,,Onchan,region,2,nan,Onchan,,,,,,,,,HIGH,1.0,nan
Isle of Man,Isle of Man,Braddan,Middle,,,3404,Parish,Douglas,,Douglas,,MiddleIsle of Man,region,2,,Braddan,region,2,nan,Braddan,,,,,,,,,HIGH,1.0,nan
Isle of Man,Isle of Man,Marown,Middle,,,2220,Parish,Douglas,,Douglas,,MiddleIsle of Man,region,2,,Marown,region,2,nan,Marown,,,,,,,,,HIGH,1.0,nan
Isle of Man,Isle of Man,Santon,Middle,,,749,Parish,Douglas,,Douglas,,MiddleIsle of Man,region,2,,Santon,region,2,nan,Santon,,,,,,,,,HIGH,1.0,nan
Isle of Man,Isle of Man,Port Erin,Rushen,,,3730,Village,Douglas,,Douglas,,RushenIsle of Man,region,2,,Port Erin,region,2,nan,Port Erin,,,,,,,,,HIGH,1.0,nan
Isle of Man,Isle of Man,Castletown,Rushen,,,3206,Town,Douglas,,Douglas,,RushenIsle of Man,region,2,,Castletown,region,2,nan,Castletown,,,,,,,,,HIGH,1.0,nan
Isle of Man,Isle of Man,Malew,Rushen,,,2367,Parish,Douglas,,Douglas,,RushenIsle of Man,region,2,,Malew,region,2,nan,Malew,,,,,,,,,HIGH,1.0,nan
Isle of Man,Isle of Man,Port St. Mary,Rushen,,,1989,Village,Douglas,,Douglas,,RushenIsle of Man,,,,,,,,,,,,,,,,,NONE,0.0,
Isle of Man,Isle of Man,Arbory,Rushen,,,1899,Parish,Douglas,,Douglas,,RushenIsle of Man,region,2,,Arbory,region,2,nan,Arbory,,,,,,,,,HIGH,1.0,nan
Isle of Man,Isle of Man,Rushen,Rushen,,,1661,Parish,Douglas,,Douglas,,RushenIsle of Man,region,2,,Rushen,region,2,nan,Rushen,,,,,,,,,HIGH,1.0,nan
Taiwan,Taiwan,Fengshan [Fongshan],Gaoxiong Shi [Kaohsiung Shih],,,359576,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,,,,,,,,,,,,,NONE,0.0,
Taiwan,Taiwan,Sanmin,Gaoxiong Shi [Kaohsiung Shih],,,336868,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,locality,,TW-KHH,三民區,,,,,region,1,TW-KHH,高雄市,HIGH,1.0,TW-KHH
Taiwan,Taiwan,Zuoying,Gaoxiong Shi [Kaohsiung Shih],,,197306,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,locality,,TW-KHH,左營區,,,,,region,1,TW-KHH,高雄市,HIGH,1.0,TW-KHH
Taiwan,Taiwan,Nanzi [Nanzih],Gaoxiong Shi [Kaohsiung Shih],,,189426,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,,,,,,,,,,,,,NONE,0.0,
Taiwan,Taiwan,Qianzhen [Cianjhen],Gaoxiong Shi [Kaohsiung Shih],,,185828,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,,,,,,,,,,,,,NONE,0.0,
Taiwan,Taiwan,Lingya,Gaoxiong Shi [Kaohsiung Shih],,,167280,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,locality,,TW-KHH,苓雅區,,,,,region,1,TW-KHH,高雄市,HIGH,1.0,TW-KHH
Taiwan,Taiwan,Xiaogang [Siaogang],Gaoxiong Shi [Kaohsiung Shih],,,157356,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,,,,,,,,,,,,,NONE,0.0,
Taiwan,Taiwan,Gushan,Gaoxiong Shi [Kaohsiung Shih],,,141488,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,locality,,TW-KHH,鼓山區,,,,,region,1,TW-KHH,高雄市,HIGH,1.0,TW-KHH
Taiwan,Taiwan,Daliao,Gaoxiong Shi [Kaohsiung Shih],,,112265,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,locality,,TW-KHH,大寮區,,,,,region,1,TW-KHH,高雄市,HIGH,1.0,TW-KHH
Taiwan,Taiwan,Gangshan,Gaoxiong Shi [Kaohsiung Shih],,,96841,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,locality,,TW-KHH,岡山區,,,,,region,1,TW-KHH,高雄市,HIGH,1.0,TW-KHH
Taiwan,Taiwan,Renwu,Gaoxiong Shi [Kaohsiung Shih],,,91893,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,locality,,TW-KHH,仁武區,,,,,region,1,TW-KHH,高雄市,HIGH,1.0,TW-KHH
Taiwan,Taiwan,Linyuan,Gaoxiong Shi [Kaohsiung Shih],,,69478,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,locality,,TW-KHH,林園區,,,,,region,1,TW-KHH,高雄市,HIGH,1.0,TW-KHH
Taiwan,Taiwan,Luzhu [Lujhu],Gaoxiong Shi [Kaohsiung Shih],,,51726,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,,,,,,,,,,,,,NONE,0.0,
Taiwan,Taiwan,Xinxing [Sinsing],Gaoxiong Shi [Kaohsiung Shih],,,50490,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,,,,,,,,,,,,,NONE,0.0,
Taiwan,Taiwan,Niaosong,Gaoxiong Shi [Kaohsiung Shih],,,44938,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,locality,,TW-KHH,鳥松區,,,,,region,1,TW-KHH,高雄市,HIGH,1.0,TW-KHH
Taiwan,Taiwan,Dashu,Gaoxiong Shi [Kaohsiung Shih],,,41764,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,locality,,TW-KHH,大樹區,,,,,region,1,TW-KHH,高雄市,HIGH,1.0,TW-KHH
Taiwan,Taiwan,Qiaotou [Ciaotou],Gaoxiong Shi [Kaohsiung Shih],,,38955,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,,,,,,,,,,,,,NONE,0.0,
Taiwan,Taiwan,Meinong,Gaoxiong Shi [Kaohsiung Shih],,,38611,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,locality,,TW-KHH,美濃區,,,,,region,1,TW-KHH,高雄市,HIGH,1.0,TW-KHH
Taiwan,Taiwan,Qishan [Cishan],Gaoxiong Shi [Kaohsiung Shih],,,35764,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,,,,,,,,,,,,,NONE,0.0,
Taiwan,Taiwan,Ziguan [Zihguan],Gaoxiong Shi [Kaohsiung Shih],,,35517,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,,,,,,,,,,,,,NONE,0.0,
Taiwan,Taiwan,Dashe,Gaoxiong Shi [Kaohsiung Shih],,,34324,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,locality,,TW-KHH,大社區,,,,,region,1,TW-KHH,高雄市,HIGH,1.0,TW-KHH
Taiwan,Taiwan,Qieding [Jiading],Gaoxiong Shi [Kaohsiung Shih],,,29960,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,,,,,,,,,,,,,NONE,0.0,
Taiwan,Taiwan,Hunei,Gaoxiong Shi [Kaohsiung Shih],,,29882,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,locality,,TW-KHH,湖內區,,,,,region,1,TW-KHH,高雄市,HIGH,1.0,TW-KHH
Taiwan,Taiwan,Yanchao,Gaoxiong Shi [Kaohsiung Shih],,,29493,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,locality,,TW-KHH,燕巢區,,,,,region,1,TW-KHH,高雄市,HIGH,1.0,TW-KHH
Taiwan,Taiwan,Alian,Gaoxiong Shi [Kaohsiung Shih],,,28331,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,locality,,TW-KHH,阿蓮區,,,,,region,1,TW-KHH,高雄市,HIGH,1.0,TW-KHH
Taiwan,Taiwan,Qijin [Cijin],Gaoxiong Shi [Kaohsiung Shih],,,27785,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,,,,,,,,,,,,,NONE,0.0,
Taiwan,Taiwan,Qianjin [Cianjin],Gaoxiong Shi [Kaohsiung Shih],,,26668,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,,,,,,,,,,,,,NONE,0.0,
Taiwan,Taiwan,Yancheng,Gaoxiong Shi [Kaohsiung Shih],,,23553,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,locality,,TW-KHH,鹽埕區,,,,,region,1,TW-KHH,高雄市,HIGH,1.0,TW-KHH
Taiwan,Taiwan,Mituo,Gaoxiong Shi [Kaohsiung Shih],,,18872,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,locality,,TW-KHH,彌陀區,,,,,region,1,TW-KHH,高雄市,HIGH,1.0,TW-KHH
Taiwan,Taiwan,Neimen,Gaoxiong Shi [Kaohsiung Shih],,,13976,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,locality,,TW-KHH,內門區,,,,,region,1,TW-KHH,高雄市,HIGH,1.0,TW-KHH
Taiwan,Taiwan,Yong'an [Yongan],Gaoxiong Shi [Kaohsiung Shih],,,13705,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,,,,,,,,,,,,,NONE,0.0,
Taiwan,Taiwan,Liugui [Liouguei],Gaoxiong Shi [Kaohsiung Shih],,,12391,City District (Qu),Kaohsiung,,Kaohsiung,,Gaoxiong Shi [Kaohsiung Shih]Taiwan,,,,,,,,,,,,,,,,,NONE,0.0,
