GERS ID,Country (ISO),Region (ISO 3166-2),Subtype,Admin Level,Class,Primary Name,Common Names (JSON),Is Land,Is Territorial,BBox xmin,BBox ymin,BBox xmax,BBox ymax,Division ID
01cf1bac-e403-4870-b89c-3985558d5645,AR,AR-Q,neighborhood,,land,San Fernando,,True,True,-71.29976654052734,-40.13348388671875,-71.29460144042969,-40.130027770996094,146340c3-29b8-48f9-9220-74d34752369b
486072ef-e79c-4142-8c3a-ad2d9ff52c29,AR,AR-R,localadmin,,land,Comallo,,True,True,-70.31344604492188,-41.05877685546875,-70.22949981689453,-40.99531173706055,4b1a987a-0008-46f8-ba3d-a30f40f873b1
29539e8b-2a47-4497-84a4-38d515939a34,AR,AR-M,neighborhood,,land,El Rosedal,,True,True,-69.02427673339844,-33.588985443115234,-69.02129364013672,-33.5865364074707,c4184ac9-87f8-4a33-a818-8c232505407f
7fde4089-5e97-47d2-8b28-9e2bf05a4263,AR,AR-Q,neighborhood,,land,Parque Sur,,True,True,-71.35590362548828,-40.148983001708984,-71.35395050048828,-40.14754867553711,f3847f88-9af2-41b8-acf8-e085165f7178
729afdbb-b985-4c57-ac64-198da972ccec,AR,AR-Q,localadmin,,land,Barrancas,,True,True,-70.04869842529297,-36.97102737426758,-69.75166320800781,-36.658843994140625,5416b9a3-813b-4082-84f9-9a131505f4be
35c64adc-c063-4bc1-ae90-39e75087f1c4,AR,AR-Z,macrohood,,land,Gregores,,True,True,-69.25889587402344,-51.62723159790039,-69.22953033447266,-51.617835998535156,c8b7e460-1461-4147-babd-7b3bc22f3826
05320362-1e55-48c1-b48d-0626f1ee3d54,AR,AR-Q,neighborhood,,land,ADUS II,,True,True,-68.9326400756836,-37.40618133544922,-68.92911529541016,-37.40420913696289,bf183626-02b1-4dbd-bdec-2a4e5d2e8d87
d32ca7b6-30f1-41cf-be12-0aa4b9048dec,AR,AR-M,neighborhood,,land,Barrio Coronel Barcala,,True,True,-68.7763671875,-32.98372268676758,-68.77149200439453,-32.982234954833984,7aa792c2-533d-491e-a3b1-e5261faeaa1a
863328a3-0b48-4d96-bf7a-d972f07cab80,AR,AR-Q,macrohood,,land,Parque Industrial,,True,True,-69.27470397949219,-38.935569763183594,-69.23812866210938,-38.924442291259766,064ebfcb-a315-4caa-9e3b-43668b565845
ea1b7f54-631f-4810-af4c-05f0be7691d7,AR,AR-M,neighborhood,,land,Barrio Gráfico S7,,True,True,-68.87897491455078,-32.90543746948242,-68.876953125,-32.90155029296875,5d04c7a4-9e1a-4ec2-b8ae-6ab883bf9c88
2af79968-c67b-47df-bea9-aebe075b0be2,AR,AR-U,macrohood,,land,Antártida Argentina,,True,True,-71.3288803100586,-42.924678802490234,-71.3182144165039,-42.91812515258789,de643594-34e2-4326-a9b0-9d3d0fbd270b
841c6075-e991-481c-b960-0137bb5bb107,AR,AR-Q,macrohood,,land,Primeros Pobladores,,True,True,-71.08567810058594,-39.954444885253906,-71.07569122314453,-39.9478874206543,cb77fd01-605b-49a5-a715-883e4e50584e
b8e2e48c-1997-4a6b-afcd-e89bd8eb83a7,AR,AR-U,macrohood,,land,San Jorge,,True,True,-71.3036880493164,-42.907875061035156,-71.29539489746094,-42.901695251464844,21f4f649-de14-4a5d-a3cb-bf94938ba88b
44a65140-2b46-4a24-b2ac-617fd6f9999c,AR,AR-Q,neighborhood,,land,El Alto,,True,True,-68.92579650878906,-37.40019607543945,-68.91939544677734,-37.39459991455078,0f057230-72e5-434d-8e5a-3305a388fa51
08f92b60-67c8-487d-b1a8-4c001a5995ed,AR,AR-Q,macrohood,,land,Parque Industrial,,True,True,-71.07088470458984,-39.93871307373047,-71.06033325195312,-39.92990493774414,193181f0-05ea-444e-a1e0-ab2a67b30c56
e6e02e51-f961-453e-97ee-adfe9f756e5d,AR,AR-M,neighborhood,,land,Loteo Las Acasias,,True,True,-69.04228973388672,-33.58244323730469,-69.04039001464844,-33.57972717285156,65eeb9e3-aafc-4a40-96e8-1a3de756292b
6c79f2a6-b824-45b3-a3f4-e7f4d2beb578,AR,AR-Q,neighborhood,,land,Zimermann,,True,True,-71.31444549560547,-40.12382888793945,-71.31185913085938,-40.1226921081543,bed20c05-a942-48dc-9332-c7b50dc11c0c
11fe2d40-7082-4290-8c51-72a4db831789,AR,AR-M,neighborhood,,land,Asentamiento B° Urundel,,True,True,-68.86524963378906,-32.94538879394531,-68.86258697509766,-32.942100524902344,6758224d-960f-4014-8c99-8766a63b8431
e576f248-e1fb-4767-93ee-cb24d375284c,AR,AR-J,neighborhood,,land,Barrio El Carrizal,,True,True,-69.4454116821289,-31.57050132751465,-69.44134521484375,-31.567338943481445,de782e6e-234e-48c2-8f20-3edc1e7347ee
1d6ec943-4c9f-4ab4-b35c-b7c63eb8d9bd,AR,AR-M,microhood,,land,Barrio Longo,,True,True,-68.82532501220703,-32.900489807128906,-68.82389831542969,-32.89809799194336,6b356171-256c-4e1c-af2a-ffce51731f38
fd68972a-fdb2-44cb-a3b8-03d00b3be395,AR,AR-M,neighborhood,,land,Barrio La Esperanza IV,,True,True,-68.87407684326172,-32.94213104248047,-68.86798858642578,-32.9397087097168,02539edd-0138-44bf-91de-09bd3a7c350e
407e9a6b-cd36-4e7c-8728-57345aa29199,AR,AR-Q,locality,,land,Los Catutos,,True,True,-70.20338439941406,-38.839622497558594,-70.19071960449219,-38.8328742980957,f4e5aab2-6ede-41ee-8cf5-9fc670317e8f
d8b1abbb-a887-4ea5-a4d4-3823dd3ef0ac,AR,AR-M,neighborhood,,land,Barrio Los Ceibos,,True,True,-68.7793197631836,-32.98834991455078,-68.77667236328125,-32.98529052734375,4af506aa-4e3c-4343-b89a-63fd6af33951
b5b2b2cc-6628-4910-b980-b270cb3f8a90,AR,AR-Q,neighborhood,,land,Petroleros,,True,True,-68.92195129394531,-37.401763916015625,-68.9160385131836,-37.39849090576172,6070fb38-7be8-431e-a462-86468a3cf61b
ca13d7ea-c751-432c-b2b4-5b312c15acac,AR,AR-Q,localadmin,,land,Comisión de Fomento de Varvarco - Invernada Vieja,,True,True,-70.788330078125,-36.960323333740234,-70.49220275878906,-36.596046447753906,e85c86db-7b31-4523-8eb6-cb4bd4b68045
53395577-de6a-4a33-9c8d-83223688d468,AR,AR-M,neighborhood,,land,Barrio Los Cerezos,,True,True,-68.821044921875,-33.020877838134766,-68.81541442871094,-33.017295837402344,ab27c013-17f3-459a-ad7a-7a82bd51f1f4
c219857d-1077-4beb-8761-06f8547fc07c,AR,AR-Q,locality,,land,Azul Pescador,,True,True,-68.88948059082031,-39.317352294921875,-68.85458374023438,-39.28910827636719,384862bd-8cde-4fd5-8630-f96420ef6deb
bead80ca-80a0-4a0d-b7a9-4d2e87410eed,AR,AR-M,neighborhood,,land,Villa Urquiza,,True,True,-69.04029846191406,-33.5837516784668,-69.03086853027344,-33.578369140625,484ca3bb-cbdb-43c5-9918-218a61b34ab1
d5e4ea84-cc8d-421c-aa3d-d790feb5344b,AR,AR-Q,macrohood,,land,12 de Julio,,True,True,-70.08596801757812,-38.899147033691406,-70.07625579833984,-38.89224624633789,33e4e454-ff00-4e75-8b8f-2d2223dd5396
96be4c82-fe92-42a7-b2da-3b31c8e18fc7,AR,AR-U,locality,,land,Trevelin,,True,True,-71.47492218017578,-43.11177444458008,-71.44642639160156,-43.058528900146484,f6ea46da-35be-416b-9f70-68df5a324829
0dc7fc01-235f-4961-a0b3-eda16e7afd8e,AR,AR-Z,macrohood,,land,Gaucho Antonio Rivero,,True,True,-69.2033920288086,-51.639469146728516,-69.18440246582031,-51.629520416259766,f3d6e4a2-4ab8-4e95-9212-c495e388fad2
94d64a38-c4f8-466d-873b-63f6da354656,AR,AR-R,neighborhood,,land,Quintas de Dina Huapi,,True,True,-71.18358612060547,-41.08821487426758,-71.15101623535156,-41.07847213745117,bc7e56d8-0b6b-47b8-b62c-01162f558bdc
f15fe332-f177-4e90-a656-fb12aa544b61,AR,AR-M,neighborhood,,land,Barrio Ferroviario Sur,,True,True,-68.83732604980469,-32.92168045043945,-68.83585357666016,-32.920894622802734,d7d61c30-5e26-4d4f-be3c-08b8de8ee722
c9cd3b55-5738-49ee-b7db-e05f8a892381,AR,AR-U,localadmin,,land,Comuna Rural de Paso del Sapo,,True,True,-69.62071228027344,-42.7860221862793,-69.55547332763672,-42.709632873535156,e1d63db6-c162-4632-9ff5-0e1ef846874c
d0a416d4-e6db-468e-a907-ae406b5e0858,AR,AR-Q,microhood,,land,Kumelkayén,,True,True,-71.3292465209961,-40.151187896728516,-71.3206558227539,-40.14899826049805,bc066757-7739-457b-b838-646238fb14ad
26658ce0-26d6-44b1-96bf-e1137d96a14f,AR,AR-U,macrohood,,land,Malvinas Argentinas,,True,True,-71.31587219238281,-42.904781341552734,-71.30392456054688,-42.89793014526367,0d3a2a2e-7f16-4715-83ed-13a42676463e
89d6dc67-6910-4291-a7aa-706b9907e32c,AR,AR-Q,macrohood,,land,Favaloro,,True,True,-70.07965087890625,-38.895164489746094,-70.06818389892578,-38.88819885253906,25df159e-29d3-44c4-ba31-644663173451
a226882b-f0eb-4712-b66f-94995fb2b89b,AR,AR-Z,macrohood,,land,Patagonia,,True,True,-69.29985046386719,-51.65810012817383,-69.28648376464844,-51.64999771118164,c02bf5e9-f123-410a-8b7a-f0dd113113a7
1839f3ba-56a3-4c55-a44b-c632addde1ba,AR,AR-M,neighborhood,,land,Pircas II,,True,True,-69.01206970214844,-33.58536148071289,-69.00914764404297,-33.58251190185547,2d27c150-d2eb-455d-a72f-8cece31cdca3
ee183dcd-a959-45b9-83ff-9b5f2f153097,AR,AR-Q,microhood,,land,Piedras Coloradas,,True,True,-68.7767105102539,-39.268157958984375,-68.76026916503906,-39.259124755859375,27343738-b2c5-4ffb-ad52-9dc9aa181ae6
adfac915-cded-4e8f-b901-bc81a8120736,AR,AR-R,locality,,land,Villa Los Coihues,,True,True,-71.4190673828125,-41.161903381347656,-71.40796661376953,-41.14409255981445,1ae1380e-aa1d-45d1-a682-fbb9ddbea6bc
30a73001-a7b8-4a50-a21d-ff336868a102,AR,AR-Q,localadmin,,land,Comisión de Fomento de Guañacos,,True,True,-71.16727447509766,-37.372406005859375,-70.68405151367188,-37.21575927734375,b7d875fc-d384-49c7-af87-3fd2dd7bbae2
eb9d6a46-7d13-485b-8298-2e2a2bc05ba9,AR,AR-U,neighborhood,,land,Juan XXIII,,True,True,-69.07589721679688,-45.59638977050781,-69.07271575927734,-45.593685150146484,c1e38b1d-400d-4167-b1d4-c670bc7a717e
b1e748f5-8494-4208-8a65-629eb7c91e66,AR,AR-Z,neighborhood,,land,Los Coihues,,True,True,-72.34139251708984,-51.538177490234375,-72.33641052246094,-51.533409118652344,c1530e3d-318e-4541-a682-e6c1ae873e97
b359114d-ed84-47d4-b4a5-7bf997c86ebc,AR,AR-R,neighborhood,,land,160 Viviendas,,True,True,-71.32344818115234,-41.175540924072266,-71.31810760498047,-41.17201232910156,641d3621-e5fc-4f60-ad20-6373a07abe4f
cf4d5b5b-db64-4407-bf7b-296566377025,AR,AR-Z,neighborhood,,land,Alta Vista,,True,True,-69.25318145751953,-51.650821685791016,-69.24566650390625,-51.647403717041016,b4c22d8f-34e5-4c09-90fe-513f98c7ffc7
03efd9cf-0649-43ab-a115-622ee14051ac,AR,AR-Q,neighborhood,,land,Las Cortaderas,,True,True,-71.29837036132812,-40.127323150634766,-71.29557037353516,-40.124752044677734,0bef4c2b-b8d5-42ef-8ddb-a8f7a1201caf
9a31dca8-4c20-4012-8f60-cb5b0824baa0,AR,AR-Q,macrohood,,land,Huailén,,True,True,-70.06835174560547,-38.900665283203125,-70.05960845947266,-38.893550872802734,e121c3ba-3d18-4cf6-9682-d9e4f7a0c983
bfe1c31a-9852-4320-a986-1c6a550777d7,AR,AR-M,neighborhood,,land,Barrio Los Jazmines,,True,True,-68.77495574951172,-32.97772979736328,-68.77198028564453,-32.97615051269531,22027431-7255-4d77-9d4b-7709ff8c0750
b6b076a8-ac71-46c6-b906-2596834aea6e,AR,AR-Q,localadmin,,land,Comisión de Fomento de Villa del Puente Picún Leufú,,True,True,-70.23282623291016,-39.286617279052734,-69.93894958496094,-39.11728286743164,1fc0f463-ce45-4b31-abdc-9bea8e68c86c
184c3914-21fb-49b8-b2de-06b7d6027cb1,AR,AR-M,microhood,,land,Barrio Calise,,True,True,-68.8519058227539,-32.94622802734375,-68.84943389892578,-32.94234848022461,9086c8fe-b485-4189-93f8-bc33c89ce8e8
79d6a1dc-1229-46fa-a562-a43ee0eb6557,AR,AR-M,neighborhood,,land,Barrio Villa Cachito,,True,True,-68.83715057373047,-32.91831970214844,-68.83584594726562,-32.9173583984375,3d7e5750-402c-48f6-9e43-ab01df8d2601
615f61e9-296d-4174-ba56-3f1c122f7e53,AR,AR-M,neighborhood,,land,Barrio Construcciones Generales,,True,True,-68.8370132446289,-32.912689208984375,-68.83476257324219,-32.9114990234375,3a6bca38-03a6-4a4b-948a-0d31837da334
