GERS ID,Country (ISO),Region (ISO 3166-2),Subtype,Admin Level,Class,Primary Name,Common Names (JSON),Is Land,Is Territorial,BBox xmin,BBox ymin,BBox xmax,BBox ymax,Division ID
b2ed4685-a9c0-4ae5-837c-1c533e76e2c4,BR,BR-AM,locality,,land,Santo Antônio do Içá,,True,True,-69.83737182617188,-3.7276358604431152,-67.7549819946289,-2.439626693725586,2379d9fd-6e0b-4b4d-9f15-672e6596ea66
6e86a2a2-b630-4b88-b92a-20ac6d273ae5,BR,BR-AC,locality,,land,Porto Walter,"[[""ru"", ""Порту-Валтер""]]",True,True,-73.34417724609375,-8.782001495361328,-72.20099639892578,-8.119865417480469,524c617e-4340-47e2-a9e9-eb1a150f4ad3
ad80c9a8-16e4-43eb-b0fb-f86a0dee20d4,BR,BR-AC,locality,,land,Cruzeiro do Sul,"[[""pt"", ""Cruzeiro do Sul""], [""mk"", ""Крусејро до Сул""], [""bg"", ""Крузейро до Сул""], [""ru"", ""Крузейру-ду-Сул""]]",True,True,-73.62593078613281,-8.475316047668457,-71.9442138671875,-7.437681198120117,eead2319-79b6-486e-9c36-d76e25ae229a
26b31375-8a22-45d5-8eda-7c76d51e1774,BR,BR-AM,locality,,land,Guajará,,True,True,-73.73821258544922,-7.600601673126221,-72.04559326171875,-6.903303146362305,c16fcd2b-efb9-496b-9c5f-981e5a553b39
bdc291d1-5d2d-446a-888e-6246b91ffc4b,BR,BR-AC,microhood,,land,Praça São Sebastião,,True,True,-72.90428161621094,-7.611740589141846,-72.90392303466797,-7.61085319519043,2ad67922-a6d4-4340-ba5d-ec0243c648ae
37ab4f86-c6b5-410d-8f04-9e23d4e77875,BR,BR-AC,region,1,land,Acre,"[[""hy"", ""Ակրի""], [""bs"", ""Acre""], [""hr"", ""Acre""], [""ka"", ""აკრი""], [""ar"", ""أكري""], [""fr"", ""État Acre""], [""lv"", ""Akri""], [""uz"", ""Akri""], [""uk"", ""Акрі""], [""pt-PT"", ""Acre""], [""pt"", ""Acre""], [""cs"", ""Stát Acre""], [""gn"", ""Akre""], [""el"", ""Άκρι""], [""it"", ""Stato Acre""], [""ca"", ""Acre""], [""pt-BR"", ""Acre""], [""os"", ""Акри""], [""vi"", ""Mẫu Anh""], [""tg"", ""Акри""], [""nl"", ""Staat Acre""], [""zh-Hans"", ""阿克里州""], [""bg"", ""Акри""], [""ko"", ""아크리""], [""eo"", ""Akro""], [""mk"", ""Акре""], [""et"", ""Aaker""], [""de"", ""Acre""], [""ru"", ""Акри""], [""ml"", ""അക്രേ""], [""th"", ""อาเกร""], [""id"", ""Negara Bagian Acre""], [""sr-Latn"", ""Akre""], [""sv"", ""Acre-tillstånd""], [""tr"", ""Durum Acre""], [""da"", ""Acre Stat""], [""sr-Cyrl"", ""Акре""], [""zh-Hant"", ""英畝""], [""en"", ""Acre""], [""he"", ""אקרי""], [""sk"", ""Acre""], [""es"", ""Estado Acre""], [""hi"", ""आक्री""], [""mr"", ""आक्रे""], [""be"", ""Акры""], [""qu"", ""Aqri""], [""ja"", ""アクレ""], [""fi"", ""Acre""], [""ro"", ""Statul Acre""], [""lt"", ""Akrė""], [""no"", ""Acre Stat""], [""sl"", ""Aker""], [""fa"", ""اکری""], [""zh"", ""阿克里州""], [""ms"", ""Negeri Acre""], [""hu"", ""Acre""], [""pl"", ""Acre""]]",True,True,-73.98306274414062,-11.147507667541504,-66.62379455566406,-7.11306095123291,4060591f-23f8-42b3-9817-eaf64324433e
592aeb0c-6f6d-45f0-9ba8-7b92f9cf7317,BR,BR-AC,locality,,land,Feijó,"[[""ru"", ""Фейжо""]]",True,True,-72.1810302734375,-10.000447273254395,-69.44302368164062,-7.791999816894531,d6654e14-8351-46ea-b1f5-ff99245aee84
6b0f02d7-b08b-4fc0-a2ce-abfeb04e5bd8,BR,BR-AC,locality,,land,Marechal Thaumaturgo,,True,True,-73.20380401611328,-9.506855964660645,-72.02799987792969,-8.67199993133545,e77e95f0-a0ce-44eb-945b-0ce9fddf1481
db5c6d39-e020-4b1b-8079-2310a8329997,BR,BR-AM,locality,,land,São Paulo de Olivença,,True,True,-70.44544982910156,-6.306000232696533,-68.62399291992188,-3.1671175956726074,d617f82d-7ca8-423c-9688-235e7fe79a71
b47b66ef-adb6-47d3-a3d7-0e891e6aaf43,BR,BR-AC,locality,,land,Jordão,"[[""ru"", ""Жордан""]]",True,True,-72.34100341796875,-9.796219825744629,-71.48258972167969,-8.648012161254883,87b1cf65-d9cc-4e38-a522-2068bb5aee0d
