GERS ID,Country (ISO),Region (ISO 3166-2),Subtype,Admin Level,Class,Primary Name,Common Names (JSON),Is Land,Is Territorial,BBox xmin,BBox ymin,BBox xmax,BBox ymax,Division ID
e3069dcd-155d-4d99-b08e-1ac552579306,EG,EG-WAD,county,2,land,A-Dakhla Oasis,"[[""en"", ""A-Dakhla Oasis""]]",True,True,24.99983787536621,22.000455856323242,30.8644962310791,27.672727584838867,1737de50-2e28-44e8-813e-6517389b9a8e
32f2bcd3-60b8-42aa-ac59-c7a4bcf5e132,EG,EG-MT,locality,,land,سيدى عبد الرحمن Sidi Abdelrahman,"[[""ar"", ""سيدى عبد الرحمن""], [""fr"", ""Sidi-Abd-el-Rahman""], [""uk"", ""Сіді Абдель Рахман""], [""de"", ""Sidi Abdelrahman""], [""ml"", ""സീദീ അബ്ദുൽറഹ്മാൻ""], [""en"", ""Sidi Abdelrahman""], [""es"", ""Sidi Abdel Rahman""], [""fa"", ""سیدی عبدالرحمن""]]",True,True,28.71541976928711,30.953765869140625,28.765583038330078,30.97791862487793,2de442ec-1034-40cf-a18a-9f6abd4dd7d7
fbf5b589-d164-4c8a-8d8d-76baf9ca8bc4,EG,EG-MT,neighborhood,,land,سى فيو الساحل الشمالي,"[[""en"", ""Sea View North Coast""]]",True,True,28.157655715942383,31.081621170043945,28.164920806884766,31.090030670166016,59f8c35e-56d1-425b-b6ea-87e11228a599
d39169ff-4da4-42fb-bfe3-2d7e82186cad,EG,EG-MT,macrohood,,land,فالنسيا,"[[""en"", ""Valencia""], [""ar"", ""فالنسيا""]]",True,True,28.738832473754883,30.98119354248047,28.752689361572266,30.98365020751953,145ffa4d-8a24-4907-8a81-624358e9b464
d907cf86-9a67-473b-9b41-3b0d16d02de7,EG,EG-MT,county,2,land,Sidi Barani,"[[""en"", ""Sidi Barani""]]",True,True,25.471790313720703,29.27707862854004,26.294937133789062,31.629608154296875,433b15fc-4a04-418f-8e50-9b4c23de99b4
9f23144f-63b3-4a77-a744-89936d0b1fb1,EG,EG-MT,macrohood,,land,Catania كاتانيا,"[[""en"", ""Catania""], [""ar"", ""كاتانيا""]]",True,True,28.740861892700195,30.962583541870117,28.756914138793945,30.97171974182129,0ef62240-6fcb-4e43-8c02-ec07be233456
363d733e-ca0d-4902-8fcc-939944d34d42,EG,EG-MT,locality,,land,مرسيليا بيتش 4 Marseilia Beach 4,"[[""en"", ""Marseilia Beach 4""], [""ar"", ""مرسيليا بيتش 4""], [""fr"", ""Marseilia Beach 4""]]",True,True,28.798561096191406,30.944833755493164,28.804861068725586,30.955245971679688,40ce99fb-7257-47f8-bbca-ac2453eda1d1
3c5edb2f-e983-4394-ad62-0842b1a10fc0,EG,EG-WAD,county,2,land,Al Farafra Oasis,"[[""en"", ""Al Farafra Oasis""]]",True,True,25.00006866455078,26.4119815826416,28.534677505493164,27.675785064697266,b692d733-d658-4c2e-bbff-cd5fa6716ea1
9a5078fc-451e-4102-af47-8f7b73f1445d,EG,EG-MT,locality,,land,Ibn Sina ابن سينا,"[[""en"", ""Ibn Sina resort""], [""ar"", ""ابن سينا""], [""fr"", ""Ibn Sina""]]",True,True,28.723493576049805,30.977582931518555,28.733539581298828,30.98505210876465,ac52f93d-711d-4cef-a0ac-55265fd4e8c9
e2926c9f-c5ae-4593-94e8-dfa3d4f46d3e,EG,EG-MT,county,2,land,Siwa,"[[""en"", ""Siwa""]]",True,True,24.876110076904297,27.648557662963867,27.830860137939453,29.749841690063477,caf2f4fe-1946-41e4-ad86-71eb42b2a649
04ed7562-e4e6-455d-8943-f6bb9f331292,EG,EG-MT,locality,,land,الدبلوماسيين 3 -- Diplomaseyin 3,"[[""en"", ""Diplomaseyin 3""], [""ar"", ""قرية الدبلوماسيين النموذجية 3""], [""fr"", ""Diplomatic Village 3""]]",True,True,28.772581100463867,30.94989776611328,28.787899017333984,30.96138572692871,dc37594b-2422-4057-9a98-2093b56aca53
69b87680-eb9e-4409-97f1-d6f23ae38191,EG,EG-MT,county,2,land,Daba,"[[""en"", ""Daba""]]",True,True,27.772939682006836,28.578746795654297,28.7614688873291,31.174867630004883,e0dd56eb-afa6-4a3d-b012-8c135c2a6690
a8ce94bc-f70f-4568-8f2f-b11c31664fa7,EG,EG-MT,locality,,land,Orchidia أوركيديا,"[[""en"", ""Orchidia""], [""ar"", ""أوركيديا""], [""fr"", ""Orchidia""]]",True,True,28.712831497192383,30.988250732421875,28.716840744018555,30.996170043945312,07be9bd9-b9e9-445e-807e-7accc82b6a6f
67e51018-39f0-4e55-a7cd-4f26fa55e117,EG,EG-MT,neighborhood,,land,مساكن الكيلو 5,"[[""en"", ""Kilo 5 Housing""], [""ar"", ""مساكن الكيلو 5""]]",True,True,27.27633285522461,31.3265438079834,27.277767181396484,31.327667236328125,f2f35477-b196-4c31-9985-1745fb3ae3a5
ca18e889-eff5-4cb3-aba6-3820ae35c0c1,EG,EG-WAD,locality,,land,Qur Hamra Hill قور حمرا,"[[""en"", ""Qur Hamra Hill""], [""ar"", ""قور حمرا""], [""fr"", ""Qur Hamra""]]",True,True,27.572479248046875,27.2812442779541,27.577482223510742,27.286184310913086,86c81d81-0880-4e32-a6da-d639b8880ff3
101d0eee-fa65-40bc-9db5-58eeb220c40e,EG,EG-MT,macrohood,,land,فيكتوريا,"[[""en"", ""Victoria""], [""ar"", ""فيكتوريا""]]",True,True,28.749074935913086,30.9766902923584,28.75580406188965,30.981672286987305,7a94208c-d530-4546-9d7d-1ec50143d865
a6d188bb-15d9-40a8-8604-1d841605f047,EG,EG-MT,locality,,land,هاسيندا Hacienda,"[[""en"", ""Hacienda""], [""ar"", ""هاسيندا""], [""fr"", ""Hacienda""]]",True,True,28.648357391357422,30.99653434753418,28.657941818237305,31.005054473876953,9f1ec1c6-c7f9-4433-970d-ed3d62c35b95
4c8fb736-4406-4a38-b818-20dd2221de36,EG,EG-MT,neighborhood,,land,مساكن اللوكس,"[[""en"", ""Lux Housing""], [""ar"", ""مساكن اللوكس""]]",True,True,27.227853775024414,31.351821899414062,27.233205795288086,31.353702545166016,a0d59d9d-2c1f-41f9-8377-daa8957c5889
