GERS ID,Country (ISO),Region (ISO 3166-2),Subtype,Admin Level,Class,Primary Name,Common Names (JSON),Is Land,Is Territorial,BBox xmin,BBox ymin,BBox xmax,BBox ymax,Division ID
35509633-14dd-4bfc-aa82-160b4229d4e2,HU,HU-BA,locality,,land,Alsószentmárton,"[[""sr-Cyrl"", ""Алшосентмартон""]]",True,True,18.27592658996582,45.75905227661133,18.329912185668945,45.8133430480957,2418525f-d48e-4bac-a6f5-725fb08f02fe
9e0dee64-d746-4c35-9c5c-891661502b7d,HU,HU-BA,locality,,land,Old,"[[""sr-Cyrl"", ""Олд""], [""hr"", ""Oldince""], [""ru"", ""Ольд""]]",True,True,18.299219131469727,45.7469482421875,18.376422882080078,45.80582809448242,d0f03458-698c-4ad4-bf67-827bd43bd966
854e7090-e729-45ee-9879-ee6ae8003cd9,HU,HU-BA,locality,,land,Matty,"[[""sr-Cyrl"", ""Маћ""], [""hr"", ""Maća""]]",True,True,18.24492073059082,45.755462646484375,18.296031951904297,45.82422637939453,44c07b94-9f6a-4d0f-846b-cf3bb7bee496
a3a978a1-56ee-45c9-9afd-ba1ccbc62180,HU,HU-BA,locality,,land,Drávaszabolcs,"[[""sr-Cyrl"", ""Дравасаболч""], [""hr"", ""Saboč""], [""ru"", ""Дравасабольч""]]",True,True,18.193988800048828,45.76144027709961,18.246097564697266,45.81964111328125,51fac2a3-4c24-49fb-b18a-3c2ff427f5f8
8bd82d60-4046-4f7e-b231-a79af5dc0110,HU,HU-BA,locality,,land,Kásád,"[[""sr-Cyrl"", ""Кашад""]]",True,True,18.362409591674805,45.753116607666016,18.414220809936523,45.805843353271484,7869a83a-14b7-4ab8-b078-d50c830a6ff7
c2af7b69-9edd-46e0-a61e-e0929e97c450,HU,HU-BA,locality,,land,Beremend,"[[""hr"", ""Breme""], [""de"", ""Behrend""], [""ru"", ""Беременд""], [""sr-Cyrl"", ""Беременд""], [""hu"", ""Beremend""]]",True,True,18.38970184326172,45.73712158203125,18.492773056030273,45.82814407348633,db68b748-450f-485e-9d34-79f8761622d2
775f8e7b-35aa-41fc-999f-4e92e5d86775,HU,HU-ZA,locality,,land,Murarátka,"[[""sr-Cyrl"", ""Мураратка""]]",True,True,16.657175064086914,46.444915771484375,16.710126876831055,46.50122833251953,bb65e8f7-f405-434f-b673-e03bfa363c2c
67ff02a2-862f-4cf6-bdb1-4d3e17dde6b4,HU,HU-ZA,locality,,land,Letenye,"[[""sr-Cyrl"", ""Летење""], [""sl"", ""Letina""], [""hr"", ""Letinja""], [""ru"", ""Летенье""]]",True,True,16.67439079284668,46.37763595581055,16.785741806030273,46.47783660888672,4b8dcb63-6c5f-4dab-a587-3c2ecb31f956
94c7d524-cecd-4f5f-86ee-5ab309025b7d,HU,HU-GS,locality,,land,Sopron,"[[""hr"", ""Šopron""], [""ka"", ""შოპრონი""], [""uk"", ""Шопрон""], [""cs"", ""Šoproň""], [""it"", ""Odenburgo""], [""la"", ""Scarbantia""], [""de"", ""Ödenburg""], [""ru"", ""Шопрон""], [""sr-Cyrl"", ""Шопрон""], [""he"", ""שופרון""], [""sk"", ""Šopron""], [""ja"", ""ショプロン""], [""hu"", ""Sopron""]]",True,True,16.42154312133789,47.62791061401367,16.74903106689453,47.75910949707031,7523299e-0a34-4adf-9838-5aa647d32ee9
cdacc1cd-698f-4d3a-b1bb-80e6ac6b975b,HU,HU-VA,locality,,land,Kisunyom,"[[""sr-Cyrl"", ""Кишуњом""], [""hr"", ""Kišujamba""]]",True,True,16.609825134277344,47.118408203125,16.65811538696289,47.154693603515625,8c37830e-fa29-41d1-9d9a-49ee1faa9443
