GERS ID,Country (ISO),Region (ISO 3166-2),Subtype,Admin Level,Class,Primary Name,Common Names (JSON),Is Land,Is Territorial,BBox xmin,BBox ymin,BBox xmax,BBox ymax,Division ID
15baa0e1-468f-4be2-91af-36c2f2a4355f,ID,ID-SU,locality,,land,Sipakpahi,,True,True,98.60608673095703,2.021751642227173,98.6074447631836,2.024383544921875,ca0a367f-b264-464f-8250-aa455f4256d3
b7dc9cf4-c931-48ad-8dfe-4acb7a687f33,ID,ID-SU,localadmin,,land,Hamparan Perak,,True,True,98.50115966796875,3.6105523109436035,98.71023559570312,3.8801374435424805,12162575-5293-4bd7-8eaa-13c01d9602a7
1011e076-8b8a-4001-a190-51ec65f8c918,ID,ID-SU,locality,,land,Timbang Deli,,True,True,98.7122573852539,3.5296034812927246,98.732666015625,3.5418379306793213,1f5a5950-68e3-494a-85b3-972f175e4868
ab78b2bf-8635-4bd7-bb1c-33d11110578a,ID,ID-SU,localadmin,,land,Sijamapolang,,True,True,98.6522445678711,2.0454845428466797,98.77336883544922,2.2213103771209717,52e4fade-d449-4b5c-bc81-dbc236c514c7
a01cfc54-b170-4f50-9dac-9cd96a014c8b,ID,ID-SU,localadmin,,land,Medan Baru,,True,True,98.65192413330078,3.5468497276306152,98.66922760009766,3.584897994995117,68c8729a-42c0-4ace-9b26-acce045d2e6f
d7441725-8908-4def-acb1-0fe5b0b2905b,ID,ID-SU,locality,,land,Mesjid,,True,True,98.68388366699219,3.5724728107452393,98.68933868408203,3.583195924758911,88db142a-fa5b-45b1-9972-2cbea41033fa
07b8367c-7f20-4f1d-9723-ede314b3398e,ID,ID-RI,localadmin,,land,Kampar Kiri Tengah,"[[""ms"", ""Kampar Kiri Tengah""], [""ms-Arab"", ""کمڤر کيري تڠه""]]",True,True,101.20791625976562,-0.1297014057636261,101.4888687133789,0.27161020040512085,4ad1b4ee-a8ef-40ac-9ef5-1d3ba3de3235
cfb08940-0e59-4ba6-ac82-f9640e693dbc,ID,ID-RI,localadmin,,land,Tapung Hulu,"[[""ms"", ""Tapung Hulu""], [""ms-Arab"", ""تاڤوڠ هولو""]]",True,True,100.59395599365234,0.5834755897521973,100.98377990722656,1.0299131870269775,32190334-36f5-4b78-8eaa-1433ee35e393
cadc0c82-53fa-4380-8ad2-8ebaa9e802fc,ID,ID-SU,localadmin,,land,Kolang,,True,True,98.5962142944336,1.776100993156433,98.81937408447266,1.9579962491989136,bbc899db-9596-4402-88e8-8039c04f30d9
78cb8fe1-f5ec-4dc8-b618-45defa0234f5,ID,ID-RI,localadmin,,land,Rokan IV Koto,"[[""ms"", ""Rokan Empat Koto""], [""ms-Arab"", ""روکن امڤت کوتو""]]",True,True,100.19779205322266,0.3805555999279022,100.53548431396484,0.7766900062561035,6a43cef9-b1c6-4e5b-aafc-f02cdff086e9
