GERS ID,Country (ISO),Region (ISO 3166-2),Subtype,Admin Level,Class,Primary Name,Common Names (JSON),Is Land,Is Territorial,BBox xmin,BBox ymin,BBox xmax,BBox ymax,Division ID
e6221fc8-d60f-4f3e-bf4f-5eb7ca1d506a,WS,WS-SA,locality,,land,Fogasavai'i,,True,True,-172.6336212158203,-13.687212944030762,-172.5613250732422,-13.618027687072754,0bfe9f26-36a6-45d5-861d-29326fb0ca78
7986bf6a-b4fa-46fb-88b7-7b2accd21166,WS,WS-TU,locality,,land,Togafu'afu'a,,True,True,-171.7686004638672,-13.838884353637695,-171.76528930664062,-13.834312438964844,f1c9e1c8-ff55-4ce0-9636-9603a16b42d6
ead7ede7-0954-4228-87e5-078276e20713,WS,WS-AT,locality,,land,Luatuanu'u,,True,True,-171.68943786621094,-13.886979103088379,-171.65863037109375,-13.860798835754395,11959ae9-f6fe-4003-a70c-06c0c7d5b2b4
861a49d7-8717-4718-be38-a900e8b43fbf,WS,WS-SA,locality,,land,Fogatuli,,True,True,-172.65391540527344,-13.663570404052734,-172.5915069580078,-13.599813461303711,cfbff678-d922-48c1-a509-cfabfc17edc2
1de7b84a-386b-44b5-89fb-a6c6a3c5978d,WS,WS-TU,locality,,land,Vaimoso,,True,True,-171.78482055664062,-13.849148750305176,-171.77529907226562,-13.8317289352417,f6f53d4d-2077-4fdb-b555-77fd728d00d7
90a7158b-7260-4168-b5ab-5d873fd8716a,WS,WS-TU,locality,,land,Maluafou,,True,True,-171.76255798339844,-13.839557647705078,-171.7587890625,-13.83678150177002,25e29bc1-ca91-42d1-a0f3-6e3e9fab01a2
3bfc62c2-732d-43fc-819b-aaf6df350577,WS,WS-TU,locality,,land,Aleisa Sasae,"[[""en"", ""Aleisa West""]]",True,True,-171.881591796875,-13.93469524383545,-171.83056640625,-13.846268653869629,ca1d813b-abe4-4aff-bbe3-a226647e19a9
668d7f22-5621-4209-b181-6ab7adcb76dd,WS,WS-TU,locality,,land,Leauvaa Church of Jesus Christ of the Latter-Day Saints,,True,True,-171.87847900390625,-13.86011791229248,-171.86158752441406,-13.794721603393555,71eac30b-b4cd-47cf-a3bb-f0984aeb8bb6
94fa584f-ef6d-48ab-b597-41fc74b41977,WS,WS-TU,locality,,land,Lalovaea Sasa'e,,True,True,-171.7681427001953,-13.848562240600586,-171.7641143798828,-13.836966514587402,a10c4958-66bb-4cdc-af3c-862281f929f2
ee54a40e-51d7-489d-ae14-9e9415cdc2d1,WS,WS-PA,locality,,land,Siutu,,True,True,-172.59713745117188,-13.76822566986084,-172.52676391601562,-13.629161834716797,fffd3d48-0c46-41fc-b036-daf95cfb7974
155f598d-26b9-4c76-a8c0-e56f40f6f19a,WS,WS-GE,locality,,land,Sato'alepai,,True,True,-172.39321899414062,-13.560110092163086,-172.34471130371094,-13.441397666931152,1d6ddb91-8e8e-4905-bbb4-79b083b50ed4
da53726f-d043-41a9-b7d5-b54885d9753e,WS,WS-TU,locality,,land,Se'ese'e,,True,True,-171.81019592285156,-13.905786514282227,-171.79112243652344,-13.853327751159668,af54ea6c-62a4-4f3c-8488-4f7677cfa837
403472b5-666f-4edf-84fe-e46e70d8c8b6,WS,WS-TU,locality,,land,Avele,,True,True,-171.7694854736328,-13.875871658325195,-171.7544403076172,-13.867900848388672,249239f0-d06e-4947-a703-b8fba38b657a
7e2d7f9b-308e-45f2-8267-095a6be3763b,WS,WS-TU,locality,,land,Vailima,,True,True,-171.775146484375,-13.870878219604492,-171.75363159179688,-13.858283042907715,578c0a63-a9e7-4bb0-a2f2-d09716b7f300
d5cc7c0b-3ed2-495d-a2b6-4fd59133c1c3,WS,WS-FA,locality,,land,Salelavalu-Uta Methodist Church,,True,True,-172.22634887695312,-13.725847244262695,-172.19969177246094,-13.71388053894043,6f59d02f-b08f-4136-88c6-6dc5f48048b2
ecd8c130-dbe8-4ab6-a9d1-f2f55fefbb0c,WS,WS-PA,locality,,land,Foailalo,,True,True,-172.62039184570312,-13.702298164367676,-172.5361785888672,-13.62688159942627,6d8457f7-c654-4354-951f-381b31103b22
81c1a50f-d831-4690-a03e-bcec8c34f752,WS,WS-AA,region,1,land,Aʻana,,True,True,-172.066650390625,-13.97662353515625,-171.88182067871094,-13.803997039794922,f5823ce7-bf37-422b-8a9d-2a61509e81e9
c0d23409-9659-4830-9101-d2e48e047a89,WS,WS-SA,locality,,land,Pitonu'u,,True,True,-172.3310089111328,-13.766166687011719,-172.32093811035156,-13.758182525634766,64503b6f-a1f5-44d8-8ebe-88823605e5c7
dc184648-5ecf-4cd5-820c-713107350232,WS,WS-PA,locality,,land,Taga,,True,True,-172.57125854492188,-13.803030014038086,-172.495361328125,-13.629170417785645,cc38b381-7b2e-4410-862d-4dd2d1d511ef
79ce6c98-1df7-4161-be78-25f5dbe862c8,WS,WS-GI,locality,,land,Lefagaoali'i,,True,True,-172.42503356933594,-13.612407684326172,-172.41148376464844,-13.459142684936523,780464db-5dc0-4737-8e5c-7827964f0457
745b638e-6b28-489e-b223-290fecd53a24,WS,WS-TU,locality,,land,Nafanua,,True,True,-171.76495361328125,-13.859657287597656,-171.7551727294922,-13.85513973236084,287c294e-f855-4c18-bc7d-f52616c452fe
aafcbb86-3f3d-48ea-83ad-1eb870b019e1,WS,WS-VS,locality,,land,Matavai,,True,True,-172.66917419433594,-13.629136085510254,-172.54403686523438,-13.491530418395996,62b2b3e3-fcc9-4047-a6cf-de5b07247d37
b9c30293-c136-41a9-b89b-ffd45f24c808,WS,WS-TU,locality,,land,Vaiala Uta,,True,True,-171.75294494628906,-13.843526840209961,-171.74867248535156,-13.840198516845703,9c986d85-0f12-4513-9e24-eba98f6c6af5
42db3e97-b3d7-4893-bc23-9fc3793e3536,WS,WS-TU,locality,,land,Lotosoa,,True,True,-171.89407348632812,-13.85086727142334,-171.8736572265625,-13.79937744140625,77bb8e3e-0c89-4abb-9e4e-29a7586bf468
9c8aa13e-8436-4d66-8f7c-d8497fe9b34f,WS,WS-FA,locality,,land,Sapini,,True,True,-172.22633361816406,-13.659204483032227,-172.1837921142578,-13.653646469116211,82baa682-26e3-40a7-9fad-5bbe216f1a40
6a395c4e-3e47-4b4f-bfb6-72e34ccea521,WS,WS-FA,locality,,land,Saletagaloa,,True,True,-172.2104949951172,-13.729875564575195,-172.20335388183594,-13.724095344543457,f97fbeb3-02e1-42e0-b88e-26a311ebfccc
0c66c301-29dd-4fe2-b94f-9722d284944f,WS,WS-GI,locality,,land,Sāsina,,True,True,-172.47470092773438,-13.621847152709961,-172.44578552246094,-13.466171264648438,022ee102-15cd-48af-aff0-d3af8bde5c7a
d89e41ac-f0be-470f-993a-f24156728601,WS,WS-AL,region,1,land,Aiga-i-le-Tai,,True,True,-172.15646362304688,-13.894757270812988,-172.01121520996094,-13.814165115356445,1df8c0b0-64b2-4aee-9f9b-e70e73a8d557
1eb3b8cd-9400-4727-9bc5-7cd20e7a71be,WS,WS-AT,region,1,land,Ātua,,True,True,-171.7481231689453,-14.076445579528809,-171.39837646484375,-13.860798835754395,0c0de268-93b5-45e2-a013-70ea0db6b2b3
817e69e6-6bdf-4c2a-9b19-923fe2abba51,WS,WS-TU,locality,,land,Lauli'i,,True,True,-171.72523498535156,-13.947957992553711,-171.69447326660156,-13.852084159851074,553afa76-23c1-453c-9cd7-94a5a1e26126
aec31c51-6eb8-4c0c-ab51-fcafd600b4c1,WS,WS-PA,locality,,land,Gataivai,,True,True,-172.4965362548828,-13.798182487487793,-172.38417053222656,-13.61001205444336,e81fb8b1-445e-4efb-869c-8fa08c952a94
160dde63-fcd9-4cc6-834f-ef4cfa480fa3,WS,WS-TU,locality,,land,Maninoa,,True,True,-171.79473876953125,-14.009881973266602,-171.77943420410156,-13.949057579040527,723dbe21-ee3e-4594-b74e-9eb7b1f429cc
0d4e11f8-381d-4b94-9bb6-e1866505bf3e,WS,WS-FA,locality,,land,Lalomalava,,True,True,-172.35098266601562,-13.704273223876953,-172.19781494140625,-13.621661186218262,78f83bcf-2154-493c-9bbe-47625025b9f7
f4894d13-cbe8-476a-ac66-34d821532b52,WS,WS-GE,region,1,land,Gagaʻemauga,,True,True,-172.39483642578125,-14.004919052124023,-171.90797424316406,-13.43880558013916,5c8591dc-9253-4497-b174-4fdedc1965f7
d3175aab-f810-48d7-a270-a2665bd4a850,WS,WS-SA,locality,,land,Samata-i-Tai,,True,True,-172.66929626464844,-13.648616790771484,-172.64434814453125,-13.619816780090332,46c71bd8-04c5-4302-ac55-d5b605d92670
4ae28770-6d31-4bad-8587-093f05a7b89c,WS,WS-FA,locality,,land,Si'ufaga,,True,True,-172.2281951904297,-13.667292594909668,-172.1775360107422,-13.655447006225586,36a4b616-eb92-47c9-ab8c-0a4ca650d1a9
1ac6156f-fa51-4482-b0b0-98d910c4db66,WS,WS-TU,locality,,land,Malie,,True,True,-171.85382080078125,-13.849013328552246,-171.8365478515625,-13.796516418457031,37bce1c8-7c76-4fb4-a15a-2fdf9df4fcfe
6255be58-d350-48ae-b166-d85e898b8f9e,WS,WS-TU,locality,,land,Tiavi,,True,True,-171.80853271484375,-13.949560165405273,-171.78257751464844,-13.931278228759766,d4c00311-8768-4c68-a0fb-05b21265a9a7
3f03db6d-72cb-4bf7-9afc-f107a36cef61,WS,WS-GE,locality,,land,Lelepa,,True,True,-172.36170959472656,-13.463197708129883,-172.352783203125,-13.441594123840332,e93d358e-9108-46d9-b81d-328e250e67ae
38247a94-bc38-44fa-ab38-960ae354b90b,WS,WS-TU,locality,,land,Leone,,True,True,-171.7599334716797,-13.837306022644043,-171.75473022460938,-13.83299446105957,4a7748cf-f51f-47af-86af-10f66cefc0eb
a41acdb8-fd49-4639-b502-51b0e63ad31e,WS,WS-TU,locality,,land,Moamoa Fou,,True,True,-171.799072265625,-13.876891136169434,-171.77999877929688,-13.859033584594727,cd5cd926-7747-4bdc-8bc0-44bb6e8e6472
665c90ce-5577-4d1e-8f76-9a3b869d34f0,WS,WS-VF,locality,,land,Samamea,,True,True,-171.53598022460938,-13.946004867553711,-171.51971435546875,-13.928223609924316,55ce07ec-56fc-4e07-92b9-699ee40c5c47
0483a7d8-e592-4a25-83df-7f86d68ff802,WS,WS-FA,locality,,land,Sa'asa'ai,,True,True,-172.2274932861328,-13.650019645690918,-172.1909942626953,-13.634989738464355,1769c952-691d-4542-aa8b-40e0fc21157c
ff4b0dd8-1463-4430-b285-c4eadbf0adb8,WS,WS-FA,locality,,land,Vaiafai,,True,True,-172.3596954345703,-13.70736026763916,-172.2029266357422,-13.628935813903809,ef78e4fa-7263-402b-b384-844fd99da62f
cee7471d-6564-45c4-ae2f-dc151fd5dc12,WS,WS-TU,locality,,land,Leifiifi,,True,True,-171.76573181152344,-13.841816902160645,-171.763427734375,-13.838339805603027,cc224512-09ae-4bdd-9082-5b7c4df25fc7
a8c72ad3-75bb-49ec-9600-77212ca26a9f,WS,WS-TU,locality,,land,Fagali'i,,True,True,-171.74603271484375,-13.910725593566895,-171.72853088378906,-13.841310501098633,7f82b1f4-5aa7-4080-87c1-9b3b47a6feda
a15deeee-44ba-4e6c-b106-67dc49017606,WS,WS-TU,locality,,land,Papaloloa,,True,True,-171.7621307373047,-13.861701965332031,-171.7540283203125,-13.85849380493164,902da806-485c-4a8e-af9d-2ae43766e943
2d24d1c4-d7f8-4c2f-88c9-f72e0302738f,WS,WS-TU,locality,,land,Savalolo,,True,True,-171.77456665039062,-13.835275650024414,-171.7696990966797,-13.82781982421875,a79bdcf7-7706-47e0-a367-5aa35e1831ed
2b3220ce-8d15-4ef5-b1f9-4736aa0b06d3,WS,WS-TU,locality,,land,Salepoua'e Village,,True,True,-171.8965301513672,-13.835922241210938,-171.88844299316406,-13.801918029785156,c26ff10d-d519-4dd0-9d29-a12dec9b51ea
db99605e-e28f-4d63-93ea-ecaf601256bb,WS,WS-TU,locality,,land,Saleufi,,True,True,-171.77322387695312,-13.836308479309082,-171.76788330078125,-13.831197738647461,c5f98514-97b4-41f5-8204-b0e736692759
385612f9-8629-45d3-9e88-0d2897a6f955,WS,WS-PA,locality,,land,Sala'ilua,,True,True,-172.5992889404297,-13.720046043395996,-172.54273986816406,-13.65906810760498,4e49a124-97e9-4eb3-97dc-6616bb7633dc
68f2dd59-2220-4575-b4b8-eba17722c8b4,WS,WS-FA,locality,,land,Vaisaulu,,True,True,-172.3550567626953,-13.704349517822266,-172.20201110839844,-13.624444007873535,cd1200df-ea0b-43e3-b495-23565c07774c
413582b0-32b3-4a2b-87cc-ff0cd10d52ca,WS,WS-TU,region,1,land,Tuamasaga,,True,True,-171.9189453125,-14.044727325439453,-171.6943359375,-13.792950630187988,669a0d67-9009-422b-8e29-1e18212cb561
3ea7a7a9-8a8f-4584-8036-80356eaf83fc,WS,WS-TU,locality,,land,Moamoa,,True,True,-171.79107666015625,-13.868720054626465,-171.78114318847656,-13.85417652130127,230b9f4b-d67e-4db7-b57e-541216445ba4
