Season,Rank,Team,Played,Wins,Draws,Losses,Byes,HomeRecord,AwayRecord,GoalsBehindsFor,PointsFor,GoalsBehindsAgainst,PointsAgainst,Percentage,PremiershipPoints,MatchRatio
1897,1,Geelong,14,11,0,3,,6-0-1,5-0-2,95.134 (41%),704,52.71 (42%),383,183.8,44,
1897,2,Essendon,14,11,0,3,,5-0-2,6-0-1,99.112 (47%),706,60.85 (41%),445,158.7,44,
1897,3,Melbourne,14,10,0,4,,6-0-1,4-0-3,93.127 (42%),685,61.107 (36%),473,144.8,40,
1897,4,Collingwood,14,9,0,5,,5-0-2,4-0-3,66.113 (37%),509,57.103 (36%),445,114.4,36,
1897,5,South Melbourne,14,8,1,5,,4-0-3,4-1-2,78.127 (38%),595,57.88 (39%),430,138.4,34,
1897,6,Fitzroy,14,4,1,9,,2-1-4,2-0-5,63.131 (32%),509,62.113 (35%),485,104.9,18,
1897,7,Carlton,14,2,0,12,,1-0-6,1-0-6,51.70 (42%),376,98.149 (40%),737,51.0,8,
1897,8,St Kilda,14,,0,14,,0-0-7,0-0-7,35.70 (33%),280,133.168 (44%),966,29.0,0,
1898,1,Essendon,14,11,0,3,,6-0-1,5-0-2,102.144 (41%),756,46.98 (32%),374,202.1,44,
1898,2,Collingwood,14,10,0,4,,7-0-0,3-0-4,86.141 (38%),657,46.87 (35%),363,181.0,40,
1898,3,Fitzroy,14,10,0,4,,6-0-1,4-0-3,76.112 (40%),568,62.95 (39%),467,121.6,40,
1898,4,Geelong,14,9,0,5,,6-0-1,3-0-4,83.147 (36%),645,57.83 (41%),425,151.8,36,
1898,5,South Melbourne,14,7,0,7,,5-0-2,2-0-5,61.116 (34%),482,68.130 (34%),538,89.6,28,
1898,6,Melbourne,14,5,1,8,,4-0-3,1-1-5,69.115 (38%),529,74.101 (42%),545,97.1,22,
1898,7,Carlton,14,3,1,10,,2-1-4,1-0-6,50.82 (38%),382,84.130 (39%),634,60.3,14,
1898,8,St Kilda,14,,0,14,,0-0-7,0-0-7,46.63 (42%),339,136.196 (41%),1012,33.5,0,
1899,1,Fitzroy,14,11,0,3,,5-0-2,6-0-1,84.114 (42%),618,49.109 (31%),403,153.3,44,
1899,2,Geelong,14,10,0,4,,6-0-1,4-0-3,95.114 (45%),684,48.98 (33%),386,177.2,40,
1899,3,Collingwood,14,10,0,4,,4-0-3,6-0-1,78.122 (39%),590,59.82 (42%),436,135.3,40,
1899,4,Essendon,14,9,0,5,,5-0-2,4-0-3,77.138 (36%),600,56.92 (38%),428,140.2,36,
1899,5,Melbourne,14,8,0,6,,5-0-2,3-0-4,73.136 (35%),574,57.78 (42%),420,136.7,32,
1899,6,South Melbourne,14,5,0,9,,4-0-3,1-0-6,70.108 (39%),528,66.106 (38%),502,105.2,20,
1899,7,Carlton,14,3,0,11,,2-0-5,1-0-6,41.71 (37%),317,78.129 (38%),597,53.1,12,
1899,8,St Kilda,14,,0,14,,0-0-7,0-0-7,36.72 (33%),288,141.181 (44%),1027,28.0,0,
1900,1,Fitzroy,14,11,0,3,,7-0-0,4-0-3,95.159 (37%),729,56.98 (36%),434,168.0,44,
1900,2,Geelong,14,9,0,5,,7-0-0,2-0-5,90.130 (41%),670,57.102 (36%),444,150.9,36,
1900,3,Essendon,14,8,0,6,,6-0-1,2-0-5,92.114 (45%),666,63.107 (37%),485,137.3,32,
1900,4,Collingwood,14,8,0,6,,7-0-0,1-0-6,82.135 (38%),627,73.102 (42%),540,116.1,32,
1900,5,South Melbourne,14,8,0,6,,6-0-1,2-0-5,59.127 (32%),481,67.130 (34%),532,90.4,32,
1900,6,Melbourne,14,6,0,8,,5-0-2,1-0-6,87.132 (40%),654,90.103 (47%),643,101.7,24,
1900,7,Carlton,14,5,0,9,,4-0-3,1-0-6,51.88 (37%),394,73.120 (38%),558,70.6,20,
1900,8,St Kilda,14,1,0,13,,1-0-6,0-0-7,49.82 (37%),376,126.205 (38%),961,39.1,4,
1901,1,Geelong,14,12,0,2,,6-0-1,6-0-1,93.154 (38%),712,65.88 (42%),478,149.0,48,
1901,2,Collingwood,14,10,0,4,,5-0-2,5-0-2,96.136 (41%),712,65.98 (40%),488,145.9,40,
1901,3,Essendon,14,9,0,5,,5-0-2,4-0-3,112.176 (39%),848,70.87 (45%),507,167.3,36,
1901,4,Melbourne,14,8,1,5,,5-0-2,3-1-3,74.96 (44%),540,67.105 (39%),507,106.5,34,
1901,5,South Melbourne,14,7,0,7,,3-0-4,4-0-3,90.111 (45%),651,78.115 (40%),583,111.7,28,
