team,league,unitid,eada_institution_name,match_status
Michigan,College basketball,170976,University of Michigan-Ann Arbor,matched
Duke,College basketball,198419,Duke University,matched
Connecticut,College basketball,129020,University of Connecticut,matched
St. John's,College basketball,195809,St. John's University-New York,matched
Arizona,College basketball,104179,University of Arizona,matched
Villanova,College basketball,216597,Villanova University,matched
Kentucky,College basketball,157085,University of Kentucky,matched
North Carolina,College basketball,199120,University of North Carolina at Chapel Hill,matched
Florida,College basketball,134130,University of Florida,matched
Illinois,College basketball,145637,University of Illinois Urbana-Champaign,matched
Gonzaga,College basketball,235316,Gonzaga University,matched
Purdue,College basketball,243780,Purdue University-Main Campus,matched
Kansas,College basketball,155317,University of Kansas,matched
Michigan State,College basketball,171100,Michigan State University,matched
Indiana,College basketball,151351,Indiana University-Bloomington,matched
Iowa,College basketball,153658,University of Iowa,matched
Arkansas,College basketball,106397,University of Arkansas,matched
UCLA,College basketball,110662,University of California-Los Angeles,matched
VCU,College basketball,234030,Virginia Commonwealth University,matched
Nebraska,College basketball,181464,University of Nebraska-Lincoln,matched
Texas,College basketball,228778,The University of Texas at Austin,matched
Auburn,College basketball,100858,Auburn University,matched
Iowa State,College basketball,153603,Iowa State University,matched
Virginia,College basketball,234076,University of Virginia-Main Campus,matched
Ohio State,College basketball,204796,Ohio State University-Main Campus,matched
Houston,College basketball,225511,University of Houston,matched
Louisville,College basketball,157289,University of Louisville,matched
North Carolina State,College basketball,199193,North Carolina State University at Raleigh,matched
Tennessee,College basketball,221759,The University of Tennessee-Knoxville,matched
BYU,College basketball,230038,Brigham Young University,matched
Georgetown,College basketball,131496,Georgetown University,matched
Saint Mary's,College basketball,123554,Saint Mary's College of California,matched
Syracuse,College basketball,196413,Syracuse University,matched
Vanderbilt,College basketball,221999,Vanderbilt University,matched
Alabama,College basketball,100751,The University of Alabama,matched
Marquette,College basketball,239105,Marquette University,matched
Wake Forest,College basketball,199847,Wake Forest University,matched
Xavier,College basketball,206622,Xavier University,matched
Wisconsin,College basketball,240444,University of Wisconsin-Madison,matched
Creighton,College basketball,181002,Creighton University,matched
Maryland,College basketball,163286,University of Maryland-College Park,matched
Miami (FL),College basketball,135726,University of Miami,matched
Providence,College basketball,217402,Providence College,matched
Seton Hall,College basketball,186584,Seton Hall University,matched
Utah State,College basketball,230728,Utah State University,matched
California,College basketball,110635,University of California-Berkeley,matched
Wichita State,College basketball,156125,Wichita State University,matched
Butler,College basketball,150163,Butler University,matched
LSU,College basketball,159391,Louisiana State University and Agricultural & Mechanical College,matched
USC,College basketball,123961,University of Southern California,matched
