league,team,qid,lang,u_janmay2024,u_janmay2025,agg_janmay2024,agg_janmay2025,share2024,share2025,norm_change,break_month,auto_user_ratio_pre_jun2024_median,auto_user_ratio_post_jun2024_median
Premier League,Arsenal,Q9617,en,2661381,1689935,39694013816,37006376529,6.704741456323174e-05,4.566604889499745e-05,-0.3188991821313219,202405,0.3630372825112508,0.11191775053969122
Premier League,Arsenal,Q9617,es,470393,297254,4428742946,3511603539,0.00010621366056588465,8.464907746523375e-05,-0.20303022215559852,202304,1.350357240658219,0.04256472046800605
Premier League,Arsenal,Q9617,fr,285539,215105,3567955500,3359177089,8.002874475312262e-05,6.403502831225699e-05,-0.1998496476510282,202306,0.5916921440914529,0.02433781109297071
Premier League,Arsenal,Q9617,ru,244355,194589,4630689770,4286226080,5.276859650220101e-05,4.539867855033909e-05,-0.13966484690481612,202405,0.25890407162061035,0.03713137679371288
Premier League,Arsenal,Q9617,it,124965,153775,2475727351,2315670445,5.047607522271139e-05,6.640625410754422e-05,0.31559860418119734,202406,0.2940029254022428,0.009854677681786928
Premier League,Manchester United,Q18656,en,3373273,2220483,39694013816,37006376529,8.498190723761701e-05,6.000271326915569e-05,-0.293935436146629,202510,0.3155655918993812,0.08686574561289344
Premier League,Manchester United,Q18656,ru,234996,256152,4630689770,4286226080,5.0747515310229906e-05,5.9761663341845936e-05,0.17762737695650133,,0.13762318373269383,0.03384671922007325
Premier League,Manchester United,Q18656,es,337720,242577,4428742946,3511603539,7.625640144796067e-05,6.90786978956852e-05,-0.09412591488694518,202406,1.1454612274898934,0.05172803037262774
Premier League,Manchester United,Q18656,ja,125788,129585,4552612330,4620981832,2.7629850925611317e-05,2.804274171835783e-05,0.014943648949035323,,0.05488826815642458,0.012321951717109637
Premier League,Manchester United,Q18656,fr,211002,165397,3567955500,3359177089,5.913806940697551e-05,4.923735653640022e-05,-0.16741691045814683,202406,0.16273663234805713,0.024475962204497045
Premier League,Manchester City,Q50602,en,2990328,1438261,39694013816,37006376529,7.533448277268066e-05,3.886522094031304e-05,-0.4840978591757565,202307,0.41854778266405396,0.11386095152481641
Premier League,Manchester City,Q50602,es,732577,203466,4428742946,3511603539,0.00016541420645369738,5.794105107262224e-05,-0.6497214337582241,202307,2.446906618887015,0.05294652732403299
