company_key,company,listed_from,listed_to,span_years,board_rows,wikipedia_title,wikipedia_url,infobox_says_today_MAY_BE_WRONG,already_drafted
texaco,"Texaco, Inc.",1955,2001,46,47,Texaco,https://en.wikipedia.org/wiki/Texaco,"Texaco Headquarters; White Plains, New York",yes
mobil,Mobil Corporation,1955,1999,44,45,Mobil Oil Corporation,https://en.wikipedia.org/wiki/Mobil_Oil_Corporation,"Socony-Mobil Building; New York City, New York, U.S.",yes
chevrontexaco,ChevronTexaco Corporation,1955,2005,50,45,Chevron Corporation,https://en.wikipedia.org/wiki/Chevron_Corporation,"Houston, Texas, U.S.",yes
chrysler,Chrysler Corporation,1955,1998,43,44,Chrysler,https://en.wikipedia.org/wiki/Chrysler,"1000 Chrysler Drive; Auburn Hills, Michigan; United States",yes
amoco,Amoco Corporation,1955,1998,43,44,Amoco,https://en.wikipedia.org/wiki/Amoco,Amoco Building; Chicago,yes
atlantic richfield,Atlantic Richfield Company,1955,2000,45,43,ARCO,https://en.wikipedia.org/wiki/ARCO,{{plainlist|,yes
exxon mobil,Exxon Mobil,1955,1995,40,41,ExxonMobil,https://en.wikipedia.org/wiki/ExxonMobil,"Spring, Texas, U.S.",yes
general electric,General Electric,1955,1995,40,41,General Electric,https://en.wikipedia.org/wiki/General_Electric,"One Financial Center; Boston, Massachusetts; United States",yes
intl business machines,Intl. Business Machines,1955,1995,40,41,IBM,https://en.wikipedia.org/wiki/IBM,"1 Orchard Road; Armonk, New York; United States",yes
nabisco group holdings,Nabisco Group Holdings Corp.,1955,2000,45,41,RJR Nabisco,https://en.wikipedia.org/wiki/RJR_Nabisco,"Winston-Salem, North Carolina Cobb County, Georgia Midtown Manhattan, New York City",yes
honeywell intl,Honeywell Intl.,1955,1995,40,41,Honeywell,https://en.wikipedia.org/wiki/Honeywell,"Charlotte, North Carolina, U.S.",yes
shell oil,Shell Oil,1955,1994,39,40,Shell plc,https://en.wikipedia.org/wiki/Shell_plc,"Shell CentreLondon, England",yes
cbs,CBS,1955,1995,40,40,CBS,https://en.wikipedia.org/wiki/CBS,"CBS Broadcast Center, Manhattan, New York City, United States",yes
borden chemical,"Borden Chemical, Inc.",1955,2005,50,40,Borden (company),https://en.wikipedia.org/wiki/Borden_%28company%29,"Columbus, Ohio, U.S.",yes
fortune brands,Fortune Brands,1955,1995,40,40,Fortune Brands,https://en.wikipedia.org/wiki/Fortune_Brands,,yes
ralston purina,Ralston Purina Company,1955,2001,46,40,Ralston Purina,https://en.wikipedia.org/wiki/Ralston_Purina,"St. Louis, Missouri; U.S.",yes
union carbide,Union Carbide Corporation,1955,2001,46,39,Union Carbide,https://en.wikipedia.org/wiki/Union_Carbide,"Seadrift, Texas, U.S.",yes
bethlehem steel,Bethlehem Steel Corporation,1955,2003,48,36,Bethlehem Steel,https://en.wikipedia.org/wiki/Bethlehem_Steel,"Martin Tower; Bethlehem, Pennsylvania; U.S.",yes
mcdonnell douglas,McDonnell Douglas Corporation,1955,1997,42,35,McDonnell Douglas,https://en.wikipedia.org/wiki/McDonnell_Douglas,"Berkeley, Missouri; United States",
bestfoods,Bestfoods,1955,2000,45,35,Unilever,https://en.wikipedia.org/wiki/Unilever,"Unilever House; London, England; United Kingdom",
itt industries,"ITT Industries, Inc.",1956,2006,50,34,ITT Inc.,https://en.wikipedia.org/wiki/ITT_Inc.,"Stamford, Connecticut, United States",
kraft,Kraft,1955,1988,33,34,Kraft Foods,https://en.wikipedia.org/wiki/Kraft_Foods,"Chicago, Illinois, United States",
unocal,Unocal Corporation,1955,2005,50,34,Unocal Corporation,https://en.wikipedia.org/wiki/Unocal_Corporation,"Union Oil Center; Los Angeles, California",
georgia pacific,Georgia-Pacific Corporation,1955,2005,50,33,Georgia-Pacific,https://en.wikipedia.org/wiki/Georgia-Pacific,"Atlanta, Georgia; United States; Georgia-Pacific Tower",
general foods,General Foods,1955,1986,31,32,General Foods,https://en.wikipedia.org/wiki/General_Foods,"Rye Brook, New York, U.S.",
sperry,Sperry,1955,1986,31,32,Sperry Corporation,https://en.wikipedia.org/wiki/Sperry_Corporation,"Lake Success, New York; U.S",
armco,"Armco, Inc.",1955,1999,44,32,AK Steel,https://en.wikipedia.org/wiki/AK_Steel,"West Chester Township, Ohio, U.S.",
firestone tire and rubber,Firestone Tire & Rubber,1955,1988,33,31,Firestone (company),https://en.wikipedia.org/wiki/Firestone_%28company%29,"Akron, Ohio (19001987; 19891992) Chicago, Illinois (19871989) Nashville, Tennessee (1992present)",
citgo petroleum,Citgo Petroleum,1955,1994,39,31,Citgo,https://en.wikipedia.org/wiki/Citgo,"Houston, Texas, U.S.",
honeywell,Honeywell,1955,1995,40,31,Honeywell,https://en.wikipedia.org/wiki/Honeywell,"Charlotte, North Carolina, U.S.",
gulf oil,Gulf Oil,1955,1984,29,30,Gulf Oil,https://en.wikipedia.org/wiki/Gulf_Oil,"Gulf Tower; Pittsburgh, Pennsylvania, U.S.",
at and t technologies,AT&T Technologies,1955,1984,29,30,AT&T Technologies,https://en.wikipedia.org/wiki/AT%26T_Technologies,,
conoco,Conoco Inc.,1955,2002,47,30,Conoco,https://en.wikipedia.org/wiki/Conoco,"Westchase; Houston, Texas",
tenneco automotive,Tenneco Automotive Inc.,1966,2005,39,30,Tenneco,https://en.wikipedia.org/wiki/Tenneco,"Northville Charter Township, Michigan, U.S. (Northville address)",
continental group,Continental Group,1955,1984,29,30,Irish Continental Group,https://en.wikipedia.org/wiki/Irish_Continental_Group,"Dublin, Ireland",
litton industries,"Litton Industries, Inc.",1959,2001,42,30,Litton Industries,https://en.wikipedia.org/wiki/Litton_Industries,"Beverly Hills, California, U.S.",
raytheon,Raytheon,1955,1995,40,30,Raytheon,https://en.wikipedia.org/wiki/Raytheon,"Waltham, Massachusetts, U.S.",
