company_key,recorded_name,listed_from,listed_to,headline_years_uncovered,already_authored
citigroup,Citigroup,1995,2026,12,1995-1997
chevron,Chevron,1996,2026,12,
mckesson,McKesson,1995,2026,12,
international business machines,International Business Machines,1996,2026,11,
unitedhealth group,UnitedHealth Group,1995,2026,11,
conocophillips,ConocoPhillips,1955,2026,10,1955-1978; 1979-2001
amazon,Amazon,2000,2026,10,
bank of america,Bank of America,1995,2026,8,
atlantic richfield,Atlantic Richfield Company,1955,2000,7,1955-1965
philip morris companies,Philip Morris Companies Inc.,1996,2002,7,
jpmorgan chase,JPMorgan Chase,1996,2026,7,
alphabet,Alphabet,2005,2026,7,
aig,AIG,1996,2026,6,
amoco,Amoco Corporation,1955,1998,5,1955-1984
exxon,Exxon Corporation,1996,1999,4,
verizon communications,Verizon Communications,1995,2026,4,1995-1999
valero energy,Valero Energy,1986,2026,4,
chrysler,Chrysler Corporation,1955,1998,3,1955-1995
fannie mae,Fannie Mae,1995,2026,3,
phillips 66,Phillips 66,2013,2026,3,
texaco,"Texaco, Inc.",1955,2001,2,1955-1958; 1959-1995
enron,Enron,1995,2002,2,
state farm insurance cos,State Farm Insurance Cos,1995,1995,1,
prudential insurance of america,Prudential Insurance Company of America,1996,2001,1,
state farm group,State Farm Group,1996,1996,1,
state farm insurance,State Farm Insurance,1997,2026,1,
sbc communications,SBC Communications Inc.,1995,2005,1,
microsoft,Microsoft,1995,2026,1,
