round,race_name,race_date,refresh_at_utc,race_weekday
1,Australian Grand Prix,2026-03-08,2026-03-09T12:00:00+00:00,Sunday
2,Chinese Grand Prix,2026-03-15,2026-03-16T12:00:00+00:00,Sunday
3,Japanese Grand Prix,2026-03-29,2026-03-30T12:00:00+00:00,Sunday
4,Miami Grand Prix,2026-05-03,2026-05-04T12:00:00+00:00,Sunday
5,Canadian Grand Prix,2026-05-24,2026-05-25T12:00:00+00:00,Sunday
6,Monaco Grand Prix,2026-06-07,2026-06-08T12:00:00+00:00,Sunday
7,Barcelona-Catalunya Grand Prix,2026-06-14,2026-06-15T12:00:00+00:00,Sunday
8,Austrian Grand Prix,2026-06-28,2026-06-29T12:00:00+00:00,Sunday
9,British Grand Prix,2026-07-05,2026-07-06T12:00:00+00:00,Sunday
10,Belgian Grand Prix,2026-07-19,2026-07-20T12:00:00+00:00,Sunday
11,Hungarian Grand Prix,2026-07-26,2026-07-27T12:00:00+00:00,Sunday
12,Dutch Grand Prix,2026-08-23,2026-08-24T12:00:00+00:00,Sunday
13,Italian Grand Prix,2026-09-06,2026-09-07T12:00:00+00:00,Sunday
14,Spanish Grand Prix,2026-09-13,2026-09-14T12:00:00+00:00,Sunday
15,Azerbaijan Grand Prix,2026-09-26,2026-09-27T12:00:00+00:00,Saturday
16,Singapore Grand Prix,2026-10-11,2026-10-12T12:00:00+00:00,Sunday
17,United States Grand Prix,2026-10-25,2026-10-26T12:00:00+00:00,Sunday
18,Mexico City Grand Prix,2026-11-01,2026-11-02T12:00:00+00:00,Sunday
19,São Paulo Grand Prix,2026-11-08,2026-11-09T12:00:00+00:00,Sunday
20,Las Vegas Grand Prix,2026-11-21,2026-11-22T12:00:00+00:00,Saturday
21,Qatar Grand Prix,2026-11-29,2026-11-30T12:00:00+00:00,Sunday
22,Abu Dhabi Grand Prix,2026-12-06,2026-12-07T12:00:00+00:00,Sunday
