Season,Rank,Team,Played,Wins,Draws,Losses,Byes,TriesGoalsFor,PointsFor,AvgFor,TriesGoalsAgainst,PointsAgainst,AvgAgainst,CompetitionPoints,PointsDiff
1908,1,Souths,9,8,0,1,1,48t 25g,194,21.56,9t 12g 0/1fg,53,5.89,18,+141
1908,2,Easts,9,8,0,1,1,43t 26g 0/1fg,183,20.33,22t 12g,90,10.00,18,+93
1908,3,Glebe,9,7,0,2,1,22t 19g 0/1fg,106,11.78,13t 10g 0/2fg,63,7.00,16,+43
1908,4,Norths,9,6,0,3,1,37t 21g 0/1fg,155,17.22,14t 12g,66,7.33,14,+89
1908,5,Newcastle08-09,9,4,0,5,1,33t 25g 0/1fg,151,16.78,26t 18g 0/1fg,116,12.89,10,+35
1908,6,Balmain,9,3,1,5,1,20t 12g 0/1fg,86,9.56,27t 15g 0/1fg,113,12.56,9,-27
1908,7,Newtown,9,1,1,7,1,16t 10g 0/1fg,70,7.78,32t 25g 0/1fg,148,16.44,5,-78
1908,8,Wests,9,1,0,8,1,9t 10g,47,5.22,46t 26g,190,21.11,4,-143
1908,9,Cumberland,8,1,0,7,1,4t 12g 0/1fg,38,4.75,43t 30g 0/1fg,191,23.88,4,-153
1909,1,Souths,10,9,0,1,0,52t 27g,210,21.00,9t 7g,41,4.10,18,+169
1909,2,Balmain,10,8,0,2,0,32t 17g,130,13.00,12t 13g,62,6.20,16,+68
1909,3,Newcastle08-09,10,5,0,5,0,34t 21g,144,14.40,23t 12g,93,9.30,10,+51
1909,4,Easts,10,5,0,5,0,35t 31g,167,16.70,35t 18g,141,14.10,10,+26
1909,5,Glebe,10,4,0,6,0,14t 10g,62,6.20,37t 24g,159,15.90,8,-97
1909,6,Newtown,10,3,1,6,0,17t 11g,73,7.30,23t 19g,107,10.70,7,-34
1909,7,Norths,10,2,2,6,0,24t 16g,104,10.40,37t 23g,157,15.70,6,-53
1909,8,Wests,10,2,1,7,0,8t 9g,42,4.20,40t 26g,172,17.20,5,-130
1910,1,Newtown,14,11,1,2,0,62t 37g,260,18.57,18t 19g,92,6.57,23,+168
1910,2,Souths,14,11,0,3,0,78t 46g,326,23.29,17t 29g,109,7.79,22,+217
1910,3,Easts,14,9,2,3,0,48t 52g,248,17.71,22t 24g 0/1fg,116,8.29,20,+132
1910,4,Balmain,14,8,0,6,0,33t 27g,153,10.93,46t 26g,190,13.57,16,-37
1910,5,Glebe,14,6,0,8,0,37t 32g,175,12.50,42t 34g,194,13.86,12,-19
1910,6,Annandale,14,5,1,8,0,31t 25g 0/1fg,145,10.36,44t 34g,200,14.29,11,-55
1910,7,Norths,14,3,0,11,0,32t 25g,146,10.43,65t 43g,281,20.07,6,-135
1910,8,Wests,14,1,0,13,0,23t 23g,115,8.21,90t 58g,386,27.57,2,-271
1911,1,Glebe,14,11,0,3,0,56t 38g,244,17.43,16t 18g 0/2fg,88,6.29,22,+156
1911,2,Easts,14,9,2,3,0,36t 48g 0/2fg,208,14.86,29t 21g,129,9.21,20,+79
1911,3,Souths,14,9,2,3,0,44t 27g 0/1fg,188,13.43,21t 27g,117,8.36,20,+71
1911,4,Newtown,14,6,3,5,0,34t 26g,154,11.00,26t 21g,120,8.57,15,+34
1911,5,Annandale,14,5,1,8,0,25t 19g,113,8.07,40t 32g,184,13.14,11,-71
1911,6,Norths,14,4,1,9,0,30t 24g,138,9.86,39t 46g,209,14.93,9,-71
1911,7,Wests,14,4,1,9,0,24t 22g,116,8.29,43t 30g,189,13.50,9,-73
1911,8,Balmain,14,3,0,11,0,26t 26g,130,9.29,61t 35g 0/1fg,255,18.21,6,-125
1912,1,Easts,14,13,0,1,0,42t 50g 0/2fg,230,16.43,10t 28g,86,6.14,26,+144
1912,2,Glebe,14,11,0,3,0,45t 32g,199,14.21,15t 18g 0/1fg,83,5.93,22,+116
1912,3,Newtown,14,9,0,5,0,38t 32g,178,12.71,28t 23g 0/1fg,132,9.43,18,+46
1912,4,Souths,14,8,0,6,0,45t 36g,207,14.79,27t 28g,137,9.79,16,+70
1912,5,Balmain,14,6,0,8,0,26t 29g 0/1fg,138,9.86,36t 30g,168,12.00,12,-30
1912,6,Norths,14,6,0,8,0,28t 20g,124,8.86,43t 34g,197,14.07,12,-73
1912,7,Annandale,14,2,0,12,0,18t 16g,86,6.14,26t 28g,134,9.57,4,-48
1912,8,Wests,14,1,0,13,0,20t 20g,100,7.14,77t 46g 0/1fg,325,23.21,2,-225
1913,1,Easts,14,12,0,2,0,45t 42g 0/4fg,227,16.21,26t 20g,118,8.43,24,+109
1913,2,Newtown,14,10,1,3,0,39t 39g 0/4fg,203,14.50,27t 24g 0/3fg,135,9.64,21,+68
1913,3,Souths,14,9,0,5,0,46t 27g 0/4fg,200,14.29,22t 32g 0/1fg,132,9.43,18,+68
1913,4,Glebe,14,8,0,6,0,50t 24g,198,14.14,31t 30g 0/4fg,161,11.50,16,+37
1913,5,Norths,14,5,2,7,0,45t 32g,199,14.21,43t 29g 0/3fg,193,13.79,12,+6
1913,6,Balmain,14,4,1,9,0,11t 23g 0/2fg,83,5.93,31t 20g 0/1fg,135,9.64,9,-52
1913,7,Annandale,14,3,0,11,0,23t 23g 0/2fg,119,8.50,47t 36g 0/3fg,219,15.64,6,-100
1913,8,Wests,14,3,0,11,0,29t 14g,115,8.21,61t 33g 0/1fg,251,17.93,6,-136
1914,1,Souths,14,11,1,2,0,40t 23g,166,11.86,13t 20g,79,5.64,23,+87
1914,2,Newtown,14,11,0,3,0,39t 32g 0/2fg,185,13.21,27t 15g,111,7.93,22,+74
1914,3,Easts,14,8,0,6,0,32t 32g 0/2fg,164,11.71,20t 28g 0/3fg,122,8.71,16,+42
1914,4,Balmain,14,6,4,4,0,26t 25g 0/2fg,132,9.43,21t 24g,111,7.93,16,+21
