slug,name,country,rank,cluster_id,cluster_size,cluster_diameter_km,cluster_avg_pairwise_km,cluster_score_sum,cluster_member_slugs,cluster_member_names,cluster_other_slugs,cluster_other_names,tier
guangzhou,Guangzhou,China,10,c001,2,65.0,65.0,102.1,guangzhou;qingyuan,Guangzhou;Qingyuan,qingyuan,Qingyuan,A
boston,Boston,United States,13,c002,2,66.7,66.7,100.2,boston;providence,Boston;Providence,providence,Providence,A
hong-kong,Hong Kong,Hong Kong,18,c003,2,65.8,65.8,93.4,hong-kong;macau,Hong Kong;Macau,macau,Macau,B
singapore,Singapore,Singapore,24,c006,3,59.2,39.5,79.1,singapore;johor-bahru;batam,Singapore;Johor Bahru;Batam,johor-bahru;batam,Johor Bahru;Batam,B
amsterdam,Amsterdam,Netherlands,40,c015,17,139.7,58.3,77.6,amsterdam;utrecht;arnhem-nijmegen;wageningen;breda;tilburg;amersfoort;den-bosch;almere;oss;veenendaal;waalwijk;altena;roosendaal;lelystad;bergen-op-zoom;tiel,Amsterdam;Utrecht;Arnhem-Nijmegen;Wageningen;Breda;Tilburg;Amersfoort;Den Bosch;Almere;Oss;Veenendaal;Waalwijk;Altena;Roosendaal;Lelystad;Bergen op Zoom;Tiel,utrecht;arnhem-nijmegen;wageningen;breda;tilburg;amersfoort;den-bosch;almere;oss;veenendaal;waalwijk;altena;roosendaal;lelystad;bergen-op-zoom;tiel,Utrecht;Arnhem-Nijmegen;Wageningen;Breda;Tilburg;Amersfoort;Den Bosch;Almere;Oss;Veenendaal;Waalwijk;Altena;Roosendaal;Lelystad;Bergen op Zoom;Tiel,B
brussels,Brussels,Belgium,39,c014,6,41.2,26.7,74.9,brussels;antwerp;aalst;mechelen;sint-niklaas;dendermonde,Brussels;Antwerp;Aalst;Mechelen;Sint-Niklaas;Dendermonde,antwerp;aalst;mechelen;sint-niklaas;dendermonde,Antwerp;Aalst;Mechelen;Sint-Niklaas;Dendermonde,B
milan,Milan,Italy,20,c005,7,107.9,62.9,74.8,milan;lugano;novara;vercelli;bellinzona;biella;chiasso,Milan;Lugano;Novara;Vercelli;Bellinzona;Biella;Chiasso,lugano;novara;vercelli;bellinzona;biella;chiasso,Lugano;Novara;Vercelli;Bellinzona;Biella;Chiasso,B
nanjing,Nanjing,China,44,c018,4,113.9,61.0,71.0,nanjing;taizhou;zhenjiang;yangzhou,Nanjing;Taizhou;Zhenjiang;Yangzhou,taizhou;zhenjiang;yangzhou,Taizhou;Zhenjiang;Yangzhou,B
sao-paulo,Sao Paulo,Brazil,25,c007,2,54.9,54.9,70.0,sao-paulo;santos,Sao Paulo;Santos,santos,Santos,B
madrid,Madrid,Spain,19,c004,2,51.5,51.5,67.8,madrid;guadalajara-es,Madrid;Guadalajara (ES),guadalajara-es,Guadalajara (ES),B
dubai-sharjah,Dubai-Sharjah,United Arab Emirates,31,c010,8,111.5,70.6,66.6,dubai-sharjah;ras-al-khaimah;fujairah;khor-fakkan;kalba;umm-al-quwain;dibba;hatta,Dubai-Sharjah;Ras al-Khaimah;Fujairah;Khor Fakkan;Kalba;Umm al-Quwain;Dibba;Hatta,ras-al-khaimah;fujairah;khor-fakkan;kalba;umm-al-quwain;dibba;hatta,Ras al-Khaimah;Fujairah;Khor Fakkan;Kalba;Umm al-Quwain;Dibba;Hatta,B
melbourne,Melbourne,Australia,27,c009,2,65.5,65.5,65.4,melbourne;geelong,Melbourne;Geelong,geelong,Geelong,B
barcelona,Barcelona,Spain,33,c011,6,156.7,73.2,62.5,barcelona;perpignan;girona;figueres;blanes;palamos,Barcelona;Perpignan;Girona;Figueres;Blanes;Palamós,perpignan;girona;figueres;blanes;palamos,Perpignan;Girona;Figueres;Blanes;Palamós,B
bangkok,Bangkok,Thailand,35,c012,2,68.2,68.2,62.5,bangkok;chonburi,Bangkok;Chonburi,chonburi,Chonburi,B
mexico-city,Mexico City,Mexico,26,c008,4,87.3,51.5,61.9,mexico-city;cuernavaca;cuautla;zacatepec,Mexico City;Cuernavaca;Cuautla;Zacatepec,cuernavaca;cuautla;zacatepec,Cuernavaca;Cuautla;Zacatepec,B
kuala-lumpur,Kuala Lumpur,Malaysia,42,c016,2,49.1,49.1,56.3,kuala-lumpur;bentong,Kuala Lumpur;Bentong,bentong,Bentong,B
buenos-aires,Buenos Aires,Argentina,38,c013,3,53.8,52.7,56.0,buenos-aires;la-plata;colonia-del-sacramento,Buenos Aires;La Plata;Colonia del Sacramento,la-plata;colonia-del-sacramento,La Plata;Colonia del Sacramento,B
rome,Rome,Italy,45,c019,2,3.6,3.6,52.8,rome;vatican-city,Rome;Vatican City,vatican-city,Vatican City,B
manila,Manila,Philippines,43,c017,3,73.8,58.4,51.5,manila;angeles;balanga,Manila;Angeles;Balanga,angeles;balanga,Angeles;Balanga,B
taipei,Taipei,Taiwan,60,c024,2,64.9,64.9,50.5,taipei;hsinchu,Taipei;Hsinchu,hsinchu,Hsinchu,B
vancouver,Vancouver,Canada,58,c023,5,131.5,77.8,49.3,vancouver;victoria;port-angeles;nanaimo;duncan-bc,Vancouver;Victoria;Port Angeles;Nanaimo;Duncan (BC),victoria;port-angeles;nanaimo;duncan-bc,Victoria;Port Angeles;Nanaimo;Duncan (BC),C
cairo,Cairo,Egypt,52,c020,6,111.2,59.9,47.0,cairo;el-mahalla-el-kubra;zagazig;tanta;el-mansoura;bilbeis,Cairo;El-Mahalla El-Kubra;Zagazig;Tanta;El Mansoura;Bilbeis,el-mahalla-el-kubra;zagazig;tanta;el-mansoura;bilbeis,El-Mahalla El-Kubra;Zagazig;Tanta;El Mansoura;Bilbeis,C
san-diego,San Diego,United States,53,c021,2,24.3,24.3,47.0,san-diego;tijuana,San Diego;Tijuana,tijuana,Tijuana,C
copenhagen,Copenhagen,Denmark,87,c033,4,74.1,48.7,44.9,copenhagen;malmo;angelholm;helsingborg,Copenhagen;Malmo;Ängelholm;Helsingborg,malmo;angelholm;helsingborg,Malmo;Ängelholm;Helsingborg,C
zurich,Zurich,Switzerland,85,c031,8,70.6,35.1,44.3,zurich;lucerne;zug;aarau;rapperswil;oltenzofingen;baden;wohlen,Zurich;Lucerne;Zug;Aarau;Rapperswil;Olten–Zofingen;Baden;Wohlen,lucerne;zug;aarau;rapperswil;oltenzofingen;baden;wohlen,Lucerne;Zug;Aarau;Rapperswil;Olten–Zofingen;Baden;Wohlen,C
