rank,slug,name,country,score,pop,culture_score
2,london,London,United Kingdom,180.1,16152605,333.0
3,paris,Paris,France,143.4,12878104,220.0
1,new-york,New York,United States,181.6,22342624,218.0
31,dubai-sharjah,Dubai-Sharjah,United Arab Emirates,58.3,5679122,216.0
4,tokyo,Tokyo,Japan,132.8,40317972,212.0
118,macau,Macau,Macau,24.9,681293,172.0
8,los-angeles,Los Angeles,United States,108.4,18507255,169.0
18,hong-kong,Hong Kong,Hong Kong,68.5,7411945,120.0
14,osaka-kyoto-kobe,Osaka-Kyoto-Kobe,Japan,75.1,18126728,116.0
5,san-francisco-san-jose,San Francisco-San Jose,United States,124.9,7979579,110.0
28,miami,Miami,United States,59.9,6538896,106.0
9,shanghai,Shanghai,China,107.8,50359413,100.0
35,bangkok,Bangkok,Thailand,54.2,17310600,99.0
11,washington-baltimore,Washington-Baltimore,United States,96.1,10204407,98.0
292,cancun,Cancun,Mexico,9.0,934189,91.0
6,beijing,Beijing,China,112.8,22560773,87.0
13,boston,Boston,United States,86.6,6792923,83.0
227,denpasar,Denpasar,Indonesia,12.2,2457404,83.0
144,nice,Nice,France,20.0,1114579,82.0
24,singapore,Singapore,Singapore,64.4,6111190,79.0
7,seoul,Seoul,South Korea,109.0,26043325,76.0
45,rome,Rome,Italy,49.2,4224901,76.0
20,milan,Milan,Italy,66.9,7843262,75.0
12,chicago,Chicago,United States,89.7,9941597,74.0
64,las-vegas,Las Vegas,United States,38.1,2454861,74.0
316,los-cabos,Los Cabos,Mexico,8.1,351111,74.0
22,istanbul,Istanbul,Turkey,64.8,16293275,73.0
145,florence,Florence,Italy,19.8,1540513,72.0
19,madrid,Madrid,Spain,67.3,6930703,66.0
33,barcelona,Barcelona,Spain,56.3,5702262,60.0
65,doha,Doha,Qatar,37.4,2669452,58.0
43,manila,Manila,Philippines,49.8,28250517,57.0
68,abu-dhabi,Abu Dhabi,United Arab Emirates,36.2,2823340,54.0
10,guangzhou,Guangzhou,China,100.1,67792226,53.0
192,honolulu,Honolulu,United States,14.6,998747,52.0
29,berlin,Berlin,Germany,59.7,5683734,51.0
41,munich,Munich,Germany,52.0,6114612,47.0
15,toronto,Toronto,Canada,71.1,7670678,46.0
130,naples,Naples,Italy,23.0,3864340,44.0
112,padua-venice,Padua-Venice,Italy,26.6,2646958,41.0
113,orlando,Orlando,United States,26.5,3974152,40.0
26,mexico-city,Mexico City,Mexico,61.4,26370664,38.0
47,vienna,Vienna,Austria,48.0,2723337,37.0
408,puerto-vallarta,Puerto Vallarta,Mexico,6.0,479471,37.0
42,kuala-lumpur,Kuala Lumpur,Malaysia,51.8,9668818,36.0
61,lisbon,Lisbon,Portugal,39.4,3150191,36.0
100,salt-lake-city-provo,Salt Lake City-Provo,United States,28.9,2874061,36.0
85,zurich,Zurich,Switzerland,32.8,1649715,35.0
104,cape-town,Cape Town,South Africa,28.0,5225057,34.0
129,geneva,Geneva,Switzerland,23.2,638565,34.0
40,amsterdam,Amsterdam,Netherlands,52.3,2460092,33.0
60,taipei,Taipei,Taiwan,40.0,9269756,33.0
67,riyadh,Riyadh,Saudi Arabia,36.4,7194013,33.0
404,port-louis,Port Louis,Mauritius,6.1,344286,33.0
39,brussels,Brussels,Belgium,52.3,2875717,32.0
52,cairo,Cairo,Egypt,44.1,23708237,30.0
58,vancouver,Vancouver,Canada,40.7,3471561,30.0
16,sydney,Sydney,Australia,70.8,5497131,29.0
87,copenhagen,Copenhagen,Denmark,32.6,2144354,29.0
99,prague,Prague,Czech Republic,29.2,2035589,29.0
109,budapest,Budapest,Hungary,26.9,3031160,29.0
25,sao-paulo,Sao Paulo,Brazil,62.8,22305115,29.0
378,marrakesh,Marrakesh,Morocco,6.5,1405373,28.0
451,bozeman,Bozeman,United States,5.2,126984,27.0
38,buenos-aires,Buenos Aires,Argentina,52.3,15188985,27.0
37,mumbai,Mumbai,India,53.8,23146605,27.0
21,houston,Houston,United States,66.3,7981303,26.0
70,austin,Austin,United States,35.5,2550637,26.0
49,chengdu,Chengdu,China,46.8,20937757,25.0
159,manama,Manama,Bahrain,18.0,1501635,24.0
17,moscow,Moscow,Russia,70.5,21534777,22
532,the-valley,The Valley,Anguilla,4.3,15701,22.0
474,siem-reap,Siem Reap,Cambodia,5.0,317793,22.0
50,johannesburg,Johannesburg,South Africa,45.7,15099421,21.0
528,victoria-sey,Victoria (SEY),Seychelles,4.3,88382,21.0
148,kuwait-city,Kuwait City,Kuwait,19.5,4616262,20.0
149,baku,Baku,Azerbaijan,19.5,3601738,18.0
566,thimphu,Thimphu,Bhutan,3.9,138736,16.0
105,st-petersburg,St. Petersburg,Russia,27.8,6257471,14
27,melbourne,Melbourne,Australia,60.2,5411094,13.0
291,sanya,Sanya,China,9.0,1031396,12.0
553,surat-thani,Surat Thani,Thailand,4.1,1062600,12.0
48,delhi,Delhi,India,47.0,36790184,11
143,hanoi,Hanoi,Vietnam,20.3,8993040,11.0
425,kigali,Kigali,Rwanda,5.7,1745555,11.0
366,naha,Naha,Japan,6.7,1467480,11.0
102,perth,Perth,Australia,28.2,2364521,10.0
74,changsha,Changsha,China,34.3,16676833,10.0
563,utsunomiya,Utsunomiya,Japan,4.0,1027635,9.0
168,fukuoka,Fukuoka,Japan,16.8,2607948,8.0
