hub_code,hub_name,series,election_id,year,date,type_or_label,winner_or_largest,turnout,seats_total,seat_share_or_vote_share_of_winner,freedom_label,url
ae,United Arab Emirates,legislative,2006,2006,"16, 18 and 20 December 2006",2006,Independents,74.4,40,50.00,partial,/elections/ae/2006
ae,United Arab Emirates,legislative,2011,2011,24 September 2011,2011,Independents,27.75,40,50.00,partial,/elections/ae/2011
ae,United Arab Emirates,legislative,2015,2015,3 October 2015,2015,Independents,35.29,40,50.00,partial,/elections/ae/2015
ae,United Arab Emirates,legislative,2019,2019,5 October 2019,2019,Independents,34.81,40,50.00,partial,/elections/ae/2019
ae,United Arab Emirates,legislative,2023,2023,7 October 2023,2023,Independents,44.0,40,50.00,partial,/elections/ae/2023
ar,Argentina,presidential,1826,1826,7 February 1826 / 27 February 1826,1826,Bernardino Rivadavia,,,92.11,partial,/elections/ar/1826
ar,Argentina,presidential,1853,1853,1 November 1853,1853,Justo José de Urquiza,,,88.35,partial,/elections/ar/1853
ar,Argentina,presidential,1859,1859,"5, 6 and 7 September 1859",1859,Santiago Derqui,,,57.60,partial,/elections/ar/1859
ar,Argentina,presidential,1862,1862,"27, 28 and 29 July 1862",1862,Bartolomé Mitre,,,100.00,partial,/elections/ar/1862
ar,Argentina,presidential,1868,1868,12 April 1868,1868,Domingo Faustino Sarmiento,,,60.31,partial,/elections/ar/1868
ar,Argentina,presidential,1874,1874,12 April 1874,1874,Nicolás Avellaneda,,,64.73,partial,/elections/ar/1874
ar,Argentina,presidential,1880,1880,11 April 1880,1880,Julio Argentino Roca,,,68.89,partial,/elections/ar/1880
ar,Argentina,presidential,1886,1886,11 April 1886,1886,Miguel Ángel Juárez,,,78.87,partial,/elections/ar/1886
ar,Argentina,presidential,1892,1892,10 April 1892,1892,Luis Sáenz Peña,,,95.02,partial,/elections/ar/1892
ar,Argentina,presidential,1898,1898,10 April 1898,1898,Julio Argentino Roca,,,85.16,partial,/elections/ar/1898
ar,Argentina,presidential,1904,1904,10 April 1904,1904,Manuel Quintana,,,81.36,partial,/elections/ar/1904
ar,Argentina,presidential,1910,1910,1910,1910,Roque Sáenz Peña,,,99.62,partial,/elections/ar/1910
ar,Argentina,presidential,1916,1916,2 April 1916,1916,Hipólito Yrigoyen,65.59,,47.25,free,/elections/ar/1916
ar,Argentina,presidential,1922,1922,2 April 1922,1922,Marcelo Torcuato de Alvear,56.41,,50.49,free,/elections/ar/1922
ar,Argentina,presidential,1928,1928,1928,1928,Hipólito Yrigoyen,83.12,,61.42,free,/elections/ar/1928
ar,Argentina,presidential,1931,1931,8 November 1931,1931,Agustín P. Justo,73.81,,61.44,partial,/elections/ar/1931
ar,Argentina,presidential,1937,1937,5 September 1937,1937,Roberto M. Ortiz,76.17,,55.77,partial,/elections/ar/1937
ar,Argentina,presidential,1946,1946,24 February 1946,1946,Juan Perón,82.25,,53.71,free,/elections/ar/1946
ar,Argentina,presidential,1951,1951,1951,1951,Juan Perón,88.46,,63.51,partial,/elections/ar/1951
ar,Argentina,presidential,1954,1954,25 April 1954,1954,Alberto Teisaire,86.0,,64.52,partial,/elections/ar/1954
ar,Argentina,presidential,1958,1958,1958,1958,Arturo Frondizi,90.86,,49.49,partial,/elections/ar/1958
ar,Argentina,presidential,1963,1963,7 July 1963,1963,Arturo Illia,85.48,,31.90,partial,/elections/ar/1963
ar,Argentina,presidential,1973-mar,1973,11 March 1973,March 1973,Héctor Cámpora,85.55,,49.53,free,/elections/ar/1973-mar
ar,Argentina,presidential,1973-sep,1973,23 September 1973,September 1973,Juan Perón,,,61.86,free,/elections/ar/1973-sep
ar,Argentina,presidential,1983,1983,30 October 1983,1983,Raúl Alfonsín,85.61,,51.75,free,/elections/ar/1983
ar,Argentina,presidential,1989,1989,14 May 1989,1989,Carlos Menem,85.31,,47.51,free,/elections/ar/1989
ar,Argentina,presidential,1995,1995,14 May 1995,1995,Carlos Menem,82.08,,49.94,free,/elections/ar/1995
ar,Argentina,presidential,1999,1999,24 October 1999,1999,Fernando de la Rúa,82.27,,48.37,free,/elections/ar/1999
ar,Argentina,presidential,2003,2003,27 April 2003,2003,Néstor Kirchner,71.88,,22.25,free,/elections/ar/2003
ar,Argentina,presidential,2007,2007,28 October 2007,2007,Cristina Fernández de Kirchner,76.21,,45.28,free,/elections/ar/2007
ar,Argentina,presidential,2011,2011,23 October 2011,2011,Cristina Fernández de Kirchner,81.75,,54.11,free,/elections/ar/2011
