rank,slug,name,country,score,pop,airport_score
2,london,London,United Kingdom,180.1,15984778,19.0
1,new-york,New York,United States,181.1,22342624,17.0
7,los-angeles,Los Angeles,United States,109.8,18507255,13.5
9,shanghai,Shanghai,China,104.5,50359413,12.0
11,guangzhou,Guangzhou,China,96.3,62994136,11.0
17,moscow,Moscow,Russia,70.3,21534777,11.0
26,miami,Miami,United States,62.0,6538896,11.0
5,san-francisco-san-jose,San Francisco-San Jose,United States,122.1,7979579,10.0
6,beijing,Beijing,China,110.7,22560773,10.0
10,washington-baltimore,Washington-Baltimore,United States,96.7,10204407,10.0
22,istanbul,Istanbul,Turkey,65.3,16293275,10.0
3,paris,Paris,France,142.6,12878104,8.0
4,tokyo,Tokyo,Japan,132.9,40317972,8.0
8,seoul,Seoul,South Korea,106.9,26043325,8.0
12,chicago,Chicago,United States,90.5,9941597,8.0
13,boston,Boston,United States,87.3,6792923,8.0
20,milan,Milan,Italy,67.5,7843262,8.0
23,sao-paulo,Sao Paulo,Brazil,65.3,22305115,8.0
27,mexico-city,Mexico City,Mexico,61.6,26370664,8.0
50,chengdu,Chengdu,China,46.0,20937757,8.0
21,houston,Houston,United States,65.3,7981303,7.0
24,rhine-ruhr,Rhine-Ruhr,Germany,65.0,11102474,7.0
32,dallas,Dallas,United States,57.5,8730700,7.0
35,dubai-sharjah,Dubai-Sharjah,United Arab Emirates,56.0,5679122,7.0
48,rome,Rome,Italy,47.5,4224901,7.0
51,delhi,Delhi,India,45.6,33446850,7.0
111,orlando,Orlando,United States,25.0,3974152,6.5
14,osaka-kyoto-kobe,Osaka-Kyoto-Kobe,Japan,72.6,18126728,6.0
16,toronto,Toronto,Canada,71.5,7670678,6.0
25,singapore,Singapore,Singapore,63.9,5678287,6.0
31,seattle,Seattle,United States,58.7,5105721,6.0
36,bangkok,Bangkok,Thailand,54.2,17310600,6.0
37,mumbai,Mumbai,India,54.0,23146605,6.0
39,kuala-lumpur,Kuala Lumpur,Malaysia,51.9,9668818,6.0
45,jakarta,Jakarta,Indonesia,48.3,36157354,6.0
47,frankfurt,Frankfurt,Germany,47.7,6039919,6.0
58,taipei,Taipei,Taiwan,39.7,9269756,6.0
59,las-vegas,Las Vegas,United States,39.4,2454861,6.0
61,stockholm,Stockholm,Sweden,39.3,2415139,6.0
77,phoenix,Phoenix,United States,33.5,5186958,6.0
96,charlotte,Charlotte,United States,29.2,3052890,6.0
15,sydney,Sydney,Australia,72.3,5497131,5.0
18,hong-kong,Hong Kong,Hong Kong,68.5,7411945,5.0
19,madrid,Madrid,Spain,68.0,6930703,5.0
33,barcelona,Barcelona,Spain,56.7,5702262,5.0
34,atlanta,Atlanta,United States,56.7,7258116,5.0
38,munich,Munich,Germany,51.9,6114612,5.0
40,buenos-aires,Buenos Aires,Argentina,51.8,15188985,5.0
41,amsterdam,Amsterdam,Netherlands,51.0,2460092,5.0
43,manila,Manila,Philippines,49.8,28250517,5.0
55,denver,Denver,United States,40.9,3382760,5.0
63,hangzhou,Hangzhou,China,38.6,17206987,5.0
64,rio-de-janeiro,Rio de Janeiro,Brazil,37.9,12937950,5.0
69,xian,Xi'an,China,35.1,17166620,5.0
70,doha,Doha,Qatar,34.9,2669452,5.0
71,chongqing,Chongqing,China,34.6,21609651,5.0
99,tehran,Tehran,Iran,27.6,15980037,5.0
104,salt-lake-city-provo,Salt Lake City-Provo,United States,26.7,2874061,5.0
116,bogota,Bogota,Colombia,24.2,10986954,5.0
120,jeddah,Jeddah,Saudi Arabia,23.6,3846325,5.0
155,kunming,Kunming,China,18.0,8460088,5.0
168,bangalore,Bangalore,India,16.3,13231511,5.0
29,philadelphia,Philadelphia,United States,60.5,7298206,4.0
42,brussels,Brussels,Belgium,50.5,2875717,4.0
49,johannesburg,Johannesburg,South Africa,46.2,15099421,4.0
56,vancouver,Vancouver,Canada,40.7,3471561,4.0
65,minneapolis,Minneapolis,United States,37.7,4170245,4.0
89,warsaw,Warsaw,Poland,31.4,3621224,4.0
95,tampa,Tampa,United States,29.3,3424560,4.0
121,oslo,Oslo,Norway,23.6,1609732,4.0
150,panama-city,Panama City,Panama,18.6,2089953,4.0
202,providence,Providence,United States,13.6,1700901,4.0
208,bucharest,Bucharest,Romania,13.4,2259665,4.0
246,san-juan,San Juan,Puerto Rico,10.6,2549597,4.0
350,tenerife,Tenerife,Spain,7.1,930570,4.0
987,kahului,Kahului,United States,1.6,163769,4.0
91,hamburg,Hamburg,Germany,30.0,4757307,3.5
28,melbourne,Melbourne,Australia,61.1,5411094,3.0
30,berlin,Berlin,Germany,59.7,5683734,3.0
44,nanjing,Nanjing,China,48.6,9314685,3.0
46,vienna,Vienna,Austria,48.0,2723337,3.0
52,cairo,Cairo,Egypt,43.9,23708237,3.0
53,san-diego,San Diego,United States,42.0,3298799,3.0
57,wuhan,Wuhan,China,40.6,13527071,3.0
60,lisbon,Lisbon,Portugal,39.4,3150191,3.0
62,detroit,Detroit,United States,39.1,5430523,3.0
66,riyadh,Riyadh,Saudi Arabia,36.4,7194013,3.0
67,manchester,Manchester,United Kingdom,35.4,3087309,3.0
68,abu-dhabi,Abu Dhabi,United Arab Emirates,35.1,2823340,3.0
73,changsha,Changsha,China,34.2,16676833,3.0
75,st-louis,St. Louis,United States,34.0,2915867,3.0
79,copenhagen,Copenhagen,Denmark,33.3,2144354,3.0
80,athens,Athens,Greece,33.2,3792469,3.0
82,pittsburgh,Pittsburgh,United States,32.9,2626109,3.0
83,qingdao,Qingdao,China,32.7,10071722,3.0
84,zurich,Zurich,Switzerland,32.2,1649715,3.0
86,dublin,Dublin,Ireland,32.0,1705928,3.0
88,portland,Portland,United States,31.7,3326675,3.0
90,brisbane,Brisbane,Australia,30.4,2700584,3.0
92,calcutta,Calcutta,India,29.6,24875649,3.0
