slug,name,country,rank,distance_km,peer_slug,peer_name,peer_country,peer_rank,tier
nairobi,Nairobi,Kenya,136,2545.9,jeddah,Jeddah,Saudi Arabia,123,A
port-louis,Port Louis,Mauritius,419,2462.8,dar-es-salaam,Dar es Salaam,Tanzania,244,A
papeete,Papeete,Tahiti,562,2409.4,apia,Apia,Samoa,1038,A
bogota,Bogota,Colombia,127,1892.0,lima,Lima,Peru,143,A
lima,Lima,Peru,143,1892.0,bogota,Bogota,Colombia,127,A
buenos-aires,Buenos Aires,Argentina,38,1674.9,sao-paulo,Sao Paulo,Brazil,26,A
moscow,Moscow,Russia,15,1608.8,berlin,Berlin,Germany,33,A
dakar,Dakar,Senegal,473,1510.2,tenerife,Tenerife,Spain,366,A
astana,Astana,Kazakhstan,259,1458.6,urumqi,Urumqi,China,218,A
victoria-sey,Victoria (SEY),Seychelles,548,1347.9,mogadishu,Mogadishu,Somalia,824,A
reykjavik,Reykjavík,Iceland,478,1322.5,aberdeen,Aberdeen,United Kingdom,339,A
johannesburg,Johannesburg,South Africa,52,1261.6,cape-town,Cape Town,South Africa,104,A
cape-town,Cape Town,South Africa,104,1261.6,johannesburg,Johannesburg,South Africa,52,A
noumea,Noumea,New Caledonia,1382,1250.7,nadi,Nadi,Fiji,794,A
mexico-city,Mexico City,Mexico,25,1209.5,houston,Houston,United States,20,A
bangkok,Bangkok,Thailand,35,1187.7,kuala-lumpur,Kuala Lumpur,Malaysia,41,A
tehran,Tehran,Iran,116,1156.9,doha,Doha,Qatar,65,A
tokyo,Tokyo,Japan,4,1152.6,seoul,Seoul,South Korea,7,A
apia,Apia,Samoa,1038,1151.4,suva,Suva,Fiji,525,A
delhi,Delhi,India,49,1148.1,mumbai,Mumbai,India,36,A
santiago,Santiago,Chile,96,1138.9,buenos-aires,Buenos Aires,Argentina,38,A
manila,Manila,Philippines,44,1119.1,hong-kong,Hong Kong,Hong Kong,18,A
hamilton-ber,Hamilton (BER),Bermuda,1582,1105.3,nantucket,Nantucket,United States,871,A
avarua,Avarua,Cook Islands,4289,1085.7,alofi,Alofi,Niue,2903,A
antananarivo,Antananarivo,Madagascar,821,1056.8,port-louis,Port Louis,Mauritius,419,A
caracas,Caracas,Venezuela,230,1017.6,bogota,Bogota,Colombia,127,A
addis-ababa,Addis Ababa,Ethiopia,309,983.9,khartoum,Khartoum,Sudan,404,A
khartoum,Khartoum,Sudan,404,965.1,jeddah,Jeddah,Saudi Arabia,123,A
beijing,Beijing,China,6,952.3,seoul,Seoul,South Korea,7,A
windhoek,Windhoek,Namibia,1090,931.2,gaborone,Gaborone,Botswana,1006,A
mogadishu,Mogadishu,Somalia,824,921.8,dire-dawa,Dire Dawa,Ethiopia,1247,A
jakarta,Jakarta,Indonesia,46,905.4,singapore,Singapore,Singapore,23,A
seoul,Seoul,South Korea,7,866.5,shanghai,Shanghai,China,8,A
port-moresby,Port Moresby,Papua New Guinea,882,845.0,cairns,Cairns,Australia,1125,A
ulan-bator,Ulan Bator,Mongolia,924,836.9,baotou,Baotou,China,716,A
asuncion,Asuncion,Paraguay,356,821.0,porto-alegre,Porto Alegre,Brazil,257,A
nuuk,Nuuk,Greenland,1905,818.8,iqaluit,Iqaluit,Canada,2878,A
kigali,Kigali,Rwanda,439,755.3,nairobi,Nairobi,Kenya,136,B
honiara,Honiara,Solomon Islands,2541,735.8,buka,Buka,Papua New Guinea,3560,B
funafuti,Funafuti,Tuvalu,2886,732.1,mata-utu,Mata Utu,Wallis and Futuna,1913,B
