slug,name,country,rank,cluster_id,cluster_size,cluster_diameter_km,cluster_avg_pairwise_km,cluster_score_sum,cluster_member_slugs,cluster_member_names,cluster_other_slugs,cluster_other_names,tier
toronto,Toronto,Canada,16,c005,5,143.7,78.6,100.1,toronto;buffalo;kitchener-waterloo;hamilton;st-catharines-niagara,Toronto;Buffalo;Kitchener-Waterloo;Hamilton;St. Catharines-Niagara,buffalo;kitchener-waterloo;hamilton;st-catharines-niagara,Buffalo;Kitchener-Waterloo;Hamilton;St. Catharines-Niagara,A
nanjing,Nanjing,China,44,c016,4,113.9,61.0,70.2,nanjing;taizhou;zhenjiang;yangzhou,Nanjing;Taizhou;Zhenjiang;Yangzhou,taizhou;zhenjiang;yangzhou,Taizhou;Zhenjiang;Yangzhou,A
edinburgh,Edinburgh,United Kingdom,107,c034,8,152.0,75.3,60.9,edinburgh;glasgow;dundee;st-andrews;perth-scotland;falkirk;ayr;kilmarnock,Edinburgh;Glasgow;Dundee;St. Andrews;Perth (Scotland);Falkirk;Ayr;Kilmarnock,glasgow;dundee;st-andrews;perth-scotland;falkirk;ayr;kilmarnock,Glasgow;Dundee;St. Andrews;Perth (Scotland);Falkirk;Ayr;Kilmarnock,A
prague,Prague,Czech Republic,97,c032,6,100.0,67.8,34.7,prague;pardubice;liberec;hradec-kralove;mlada-boleslav;jablonec,Prague;Pardubice;Liberec;Hradec Králové;Mladá Boleslav;Jablonec,pardubice;liberec;hradec-kralove;mlada-boleslav;jablonec,Pardubice;Liberec;Hradec Králové;Mladá Boleslav;Jablonec,B
hartford,Hartford,United States,235,c063,4,95.3,69.7,28.7,hartford;new-haven;springfield;new-london,Hartford;New Haven;Springfield;New London,new-haven;springfield;new-london,New Haven;Springfield;New London,B
zhengzhou,Zhengzhou,China,124,c041,4,107.6,71.6,28.1,zhengzhou;xinxiang;kaifeng;jiaozuo,Zhengzhou;Xinxiang;Kaifeng;Jiaozuo,xinxiang;kaifeng;jiaozuo,Xinxiang;Kaifeng;Jiaozuo,B
florence,Florence,Italy,151,c049,4,88.3,62.0,27.2,florence;pisa-livorno;siena;lucca,Florence;Pisa-Livorno;Siena;Lucca,pisa-livorno;siena;lucca,Pisa-Livorno;Siena;Lucca,B
southampton,Southampton,United Kingdom,264,c070,4,123.0,66.5,20.0,southampton;brighton-hove;bournemouth;portsmouth,Southampton;Brighton & Hove;Bournemouth;Portsmouth,brighton-hove;bournemouth;portsmouth,Brighton & Hove;Bournemouth;Portsmouth,B
the-valley,The Valley,Anguilla,513,c096,5,108.3,50.1,14.3,the-valley;gustavia;basseterre;philipsburg;marigot,The Valley;Gustavia;Basseterre;Philipsburg;Marigot,gustavia;basseterre;philipsburg;marigot,Gustavia;Basseterre;Philipsburg;Marigot,C
erfurt-weimar-jena,Erfurt-Weimar-Jena,Germany,426,c082,4,114.3,73.6,11.5,erfurt-weimar-jena;gottingen;kassel;eisenach,Erfurt-Weimar-Jena;Göttingen;Kassel;Eisenach,gottingen;kassel;eisenach,Göttingen;Kassel;Eisenach,C
alicante,Alicante,Spain,598,c106,5,126.3,67.6,11.2,alicante;benidorm;murcia;cartagena-es;elche,Alicante;Benidorm;Murcia;Cartagena (ES);Elche,benidorm;murcia;cartagena-es;elche,Benidorm;Murcia;Cartagena (ES);Elche,C
brno,Brno,Czech Republic,934,c138,4,77.4,56.6,5.1,brno;olomouc;zlin;uherske-hradit,Brno;Olomouc;Zlín;Uherské Hradiště,olomouc;zlin;uherske-hradit,Olomouc;Zlín;Uherské Hradiště,C
