National Team	Federation	FIFA	Active/Defunct
Afghanistan	AFC	FIFA	Active
Australia	AFC	FIFA	Active
Bahrain	AFC	FIFA	Active
Bangladesh	AFC	FIFA	Active
Bhutan	AFC	FIFA	Active
Brunei	AFC	FIFA	Active
Cambodia	AFC	FIFA	Active
China	AFC	FIFA	Active
East Timor	AFC	FIFA	Active
Guam	AFC	FIFA	Active
Hong Kong	AFC	FIFA	Active
India	AFC	FIFA	Active
Indonesia	AFC	FIFA	Active
Iran	AFC	FIFA	Active
Iraq	AFC	FIFA	Active
Japan	AFC	FIFA	Active
Jordan	AFC	FIFA	Active
Kuwait	AFC	FIFA	Active
Kyrgyzstan	AFC	FIFA	Active
Laos	AFC	FIFA	Active
Lebanon	AFC	FIFA	Active
Macau	AFC	FIFA	Active
Malaysia	AFC	FIFA	Active
Maldives	AFC	FIFA	Active
Mongolia	AFC	FIFA	Active
Myanmar	AFC	FIFA	Active
Nepal	AFC	FIFA	Active
North Korea	AFC	FIFA	Active
Northern Mariana Islands	AFC		Active
Oman	AFC	FIFA	Active
Pakistan	AFC	FIFA	Active
Palestine	AFC	FIFA	Active
Philippines	AFC	FIFA	Active
Qatar	AFC	FIFA	Active
Saudi Arabia	AFC	FIFA	Active
Singapore	AFC	FIFA	Active
South Korea	AFC	FIFA	Active
Sri Lanka	AFC	FIFA	Active
Syria	AFC	FIFA	Active
Taiwan	AFC	FIFA	Active
Tajikistan	AFC	FIFA	Active
Thailand	AFC	FIFA	Active
Turkmenistan	AFC	FIFA	Active
United Arab Emirates	AFC	FIFA	Active
Uzbekistan	AFC	FIFA	Active
Vietnam	AFC	FIFA	Active
Yemen	AFC	FIFA	Active
Algeria	CAF	FIFA	Active
Angola	CAF	FIFA	Active
Benin	CAF	FIFA	Active
Botswana	CAF	FIFA	Active
Burkina Faso	CAF	FIFA	Active
Burundi	CAF	FIFA	Active
Cameroon	CAF	FIFA	Active
Cape Verde	CAF	FIFA	Active
Central African Republic	CAF	FIFA	Active
Chad	CAF	FIFA	Active
Comoros	CAF	FIFA	Active
Congo	CAF	FIFA	Active
Congo DR	CAF	FIFA	Active
Côte d'Ivoire	CAF	FIFA	Active
Djibouti	CAF	FIFA	Active
Egypt	CAF	FIFA	Active
Equatorial Guinea	CAF	FIFA	Active
Eritrea	CAF	FIFA	Active
Eswatini	CAF	FIFA	Active
Ethiopia	CAF	FIFA	Active
Gabon	CAF	FIFA	Active
Gambia	CAF	FIFA	Active
Ghana	CAF	FIFA	Active
Guinea	CAF	FIFA	Active
Guinea-Bissau	CAF	FIFA	Active
Kenya	CAF	FIFA	Active
Lesotho	CAF	FIFA	Active
Liberia	CAF	FIFA	Active
Libya	CAF	FIFA	Active
Madagascar	CAF	FIFA	Active
Malawi	CAF	FIFA	Active
Mali	CAF	FIFA	Active
Mauritania	CAF	FIFA	Active
Mauritius	CAF	FIFA	Active
Morocco	CAF	FIFA	Active
Mozambique	CAF	FIFA	Active
Namibia	CAF	FIFA	Active
Niger	CAF	FIFA	Active
Nigeria	CAF	FIFA	Active
Réunion	CAF		Active
Rwanda	CAF	FIFA	Active
São Tomé and Príncipe	CAF	FIFA	Active
Senegal	CAF	FIFA	Active
Seychelles	CAF	FIFA	Active
Sierra Leone	CAF	FIFA	Active
Somalia	CAF	FIFA	Active
South Africa	CAF	FIFA	Active
South Sudan	CAF	FIFA	Active
Sudan	CAF	FIFA	Active
Tanzania	CAF	FIFA	Active
Togo	CAF	FIFA	Active
Tunisia	CAF	FIFA	Active
Uganda	CAF	FIFA	Active
Zambia	CAF	FIFA	Active
Zanzibar	CAF		Active
Zimbabwe	CAF	FIFA	Active
Argentina	COMNEBOL	FIFA	Active
Bolivia	COMNEBOL	FIFA	Active
Brazil	COMNEBOL	FIFA	Active
Chile	COMNEBOL	FIFA	Active
Colombia	COMNEBOL	FIFA	Active
Ecuador	COMNEBOL	FIFA	Active
Paraguay	COMNEBOL	FIFA	Active
Peru	COMNEBOL	FIFA	Active
Uruguay	COMNEBOL	FIFA	Active
Venezuela	COMNEBOL	FIFA	Active
Anguilla	CONCACAF	FIFA	Active
Antigua & Barbuda	CONCACAF	FIFA	Active
Aruba	CONCACAF	FIFA	Active
Bahamas	CONCACAF	FIFA	Active
Barbados	CONCACAF	FIFA	Active
Belize	CONCACAF	FIFA	Active
Bermuda	CONCACAF	FIFA	Active
