rank,slug,name,country,score,pop,rail_score
4,tokyo,Tokyo,Japan,132.8,40317972,1040.0
2,london,London,United Kingdom,180.1,16152605,903.5
9,shanghai,Shanghai,China,107.8,50359413,853.5
10,guangzhou,Guangzhou,China,100.1,67792226,804.0
15,toronto,Toronto,Canada,71.1,7670678,797.5
14,osaka-kyoto-kobe,Osaka-Kyoto-Kobe,Japan,75.1,18126728,794.0
23,rhine-ruhr,Rhine-Ruhr,Germany,64.8,11102474,754.0
1,new-york,New York,United States,181.6,22342624,718.0
3,paris,Paris,France,143.4,12878104,696.0
7,seoul,Seoul,South Korea,109.0,26043325,675.0
17,moscow,Moscow,Russia,70.5,21534777,667.0
40,amsterdam,Amsterdam,Netherlands,52.3,2460092,549.0
6,beijing,Beijing,China,112.8,22560773,456.0
238,sendai,Sendai,Japan,11.7,2301996,419.5
5,san-francisco-san-jose,San Francisco-San Jose,United States,124.9,7979579,373.0
76,nagoya,Nagoya,Japan,34.2,10593190,346.0
19,madrid,Madrid,Spain,67.3,6930703,333.0
56,wuhan,Wuhan,China,41.3,13527071,322.0
49,chengdu,Chengdu,China,46.8,20937757,317.5
29,berlin,Berlin,Germany,59.7,5683734,303.0
57,hangzhou,Hangzhou,China,40.8,17206987,301.5
48,delhi,Delhi,India,47.0,36790184,292.0
12,chicago,Chicago,United States,89.7,9941597,287.0
96,calcutta,Calcutta,India,29.6,24875649,287.0
73,chongqing,Chongqing,China,34.6,21609651,273.0
33,barcelona,Barcelona,Spain,56.3,5702262,251.0
101,stuttgart,Stuttgart,Germany,28.7,5505771,247.5
140,hannover-brunswick,Hannover-Brunswick,Germany,20.7,3225254,243.0
71,xian,Xi'an,China,35.1,17166620,242.0
221,lille,Lille,France,12.8,1267099,241.5
128,zhengzhou,Zhengzhou,China,23.2,12600860,238.0
30,philadelphia,Philadelphia,United States,59.7,7298206,230.5
38,buenos-aires,Buenos Aires,Argentina,52.3,15188985,228.0
54,stockholm,Stockholm,Sweden,43.1,2415139,218.5
44,nanjing,Nanjing,China,49.4,9314685,217.0
75,tianjin,Tianjin,China,34.3,19330096,214.0
99,prague,Prague,Czech Republic,29.2,2035589,213.5
20,milan,Milan,Italy,66.9,7843262,212.5
168,fukuoka,Fukuoka,Japan,16.8,2607948,209.5
13,boston,Boston,United States,86.6,6792923,205.5
18,hong-kong,Hong Kong,Hong Kong,68.5,7411945,201.0
47,vienna,Vienna,Austria,48.0,2723337,198.5
11,washington-baltimore,Washington-Baltimore,United States,96.1,10204407,197.5
186,chennai,Chennai,India,15.0,11477688,197.0
35,bangkok,Bangkok,Thailand,54.2,17310600,192.5
429,erfurt-weimar-jena,Erfurt-Weimar-Jena,Germany,5.7,627899,192.0
26,mexico-city,Mexico City,Mexico,61.4,26370664,191.5
41,munich,Munich,Germany,52.0,6114612,190.0
371,karlsruhe,Karlsruhe,Germany,6.7,765314,190.0
133,hefei,Hefei,China,22.6,9369881,189.0
179,changchun,Changchun,China,15.4,9066906,181.0
42,kuala-lumpur,Kuala Lumpur,Malaysia,51.8,9668818,178.5
82,qingdao,Qingdao,China,33.4,10071722,177.0
98,edinburgh,Edinburgh,United Kingdom,29.2,887900,175.5
22,istanbul,Istanbul,Turkey,64.8,16293275,173.5
60,taipei,Taipei,Taiwan,40.0,9269756,169.0
84,portland,Portland,United States,33.2,3326675,168.5
37,mumbai,Mumbai,India,53.8,23146605,161.0
16,sydney,Sydney,Australia,70.8,5497131,158.0
45,rome,Rome,Italy,49.2,4224901,157.5
74,changsha,Changsha,China,34.3,16676833,155.5
51,frankfurt,Frankfurt,Germany,45.4,5719169,155.0
78,manchester,Manchester,United Kingdom,33.9,3087309,153.0
97,santiago,Santiago,Chile,29.4,8310984,150.0
107,tehran,Tehran,Iran,27.6,15980037,147.5
24,singapore,Singapore,Singapore,64.4,6111190,143.0
25,sao-paulo,Sao Paulo,Brazil,62.8,22305115,142.0
62,rio-de-janeiro,Rio de Janeiro,Brazil,38.8,12937950,140.0
27,melbourne,Melbourne,Australia,60.2,5411094,139.5
8,los-angeles,Los Angeles,United States,108.4,18507255,139.0
116,shenyang,Shenyang,China,25.2,9070093,139.0
95,hamburg,Hamburg,Germany,29.8,4757307,137.0
39,brussels,Brussels,Belgium,52.3,2875717,134.0
79,busan-ulsan,Busan-Ulsan,South Korea,33.9,8079273,130.0
111,oslo,Oslo,Norway,26.6,1609732,130.0
