slug,name,country,rank,cluster_id,cluster_size,cluster_diameter_km,cluster_avg_pairwise_km,cluster_score_sum,cluster_member_slugs,cluster_member_names,cluster_other_slugs,cluster_other_names,tier
boston,Boston,United States,13,c003,2,66.7,66.7,100.8,boston;providence,Boston;Providence,providence,Providence,A
guangzhou,Guangzhou,China,11,c002,2,65.0,65.0,98.3,guangzhou;qingyuan,Guangzhou;Qingyuan,qingyuan,Qingyuan,A
hong-kong,Hong Kong,Hong Kong,18,c006,2,65.8,65.8,92.2,hong-kong;macau,Hong Kong;Macau,macau,Macau,A
singapore,Singapore,Singapore,25,c010,3,59.2,39.5,78.6,singapore;johor-bahru;batam,Singapore;Johor Bahru;Batam,johor-bahru;batam,Johor Bahru;Batam,A
sydney,Sydney,Australia,15,c004,2,69.6,69.6,75.9,sydney;wollongong,Sydney;Wollongong,wollongong,Wollongong,A
sao-paulo,Sao Paulo,Brazil,23,c008,2,54.9,54.9,72.5,sao-paulo;santos,Sao Paulo;Santos,santos,Santos,A
melbourne,Melbourne,Australia,28,c011,2,65.5,65.5,66.3,melbourne;geelong,Melbourne;Geelong,geelong,Geelong,A
bangkok,Bangkok,Thailand,36,c012,2,68.2,68.2,62.5,bangkok;chonburi,Bangkok;Chonburi,chonburi,Chonburi,A
kuala-lumpur,Kuala Lumpur,Malaysia,39,c013,2,49.1,49.1,56.4,kuala-lumpur;bentong,Kuala Lumpur;Bentong,bentong,Bentong,A
buenos-aires,Buenos Aires,Argentina,40,c014,2,53.8,53.8,55.2,buenos-aires;la-plata,Buenos Aires;La Plata,la-plata,La Plata,A
vienna,Vienna,Austria,46,c017,2,55.0,55.0,53.7,vienna;bratislava,Vienna;Bratislava,bratislava,Bratislava,A
rome,Rome,Italy,48,c019,3,61.2,41.2,52.5,rome;vatican-city;latina,Rome;Vatican City;Latina,vatican-city;latina,Vatican City;Latina,A
manila,Manila,Philippines,43,c015,2,73.8,73.8,51.0,manila;angeles,Manila;Angeles,angeles,Angeles,A
taipei,Taipei,Taiwan,58,c022,2,64.9,64.9,49.5,taipei;hsinchu,Taipei;Hsinchu,hsinchu,Hsinchu,B
delhi,Delhi,India,51,c020,2,24.7,24.7,46.7,delhi;ghaziabad,Delhi;Ghaziabad,ghaziabad,Ghaziabad,B
