Cur. Name,Primary,Secondary
Abilene Christian,#4E2683,#FFFFFF
Alabama A&M,#800000,#FFFFFF
Alabama State,#000000,#FDB927
Albany,#461660,#FFC72C
Alcorn State,#4B2E83,#DAAA00
American,#C41230,#00205B
Arkansas-Little Rock,#6F263D,#A2AAAD
Arkansas-Pine Bluff,#000000,#C9A227
Austin Peay,#C8102E,#000000
Bellarmine,#C8102E,#000000
Belmont,#001F5B,#BA0C2F
Bethune-Cookman,#5C0E2E,#F1B82D
Binghamton,#006733,#000000
Boston University,#CC0000,#FFFFFF
Bradley,#C8102E,#231F20
Brown,#4E3629,#C0C0C0
Bryant,#231F20,#B5A36A
Bucknell,#003865,#E87722
Butler,#13294B,#000000
CSU-Bakersfield,#00549F,#FFC72C
CSU-Fullerton,#00274C,#FF7900
CSU-Northridge,#C8102E,#000000
Cal Poly-SLO,#154734,#BD8B13
California Baptist,#00263A,#ED1B2E
Campbell,#E35205,#000000
Canisius,#00205B,#FFB81C
Central Arkansas,#4F2D7F,#807F84
Central Connecticut State,#002D72,#FFFFFF
Charleston Southern,#002D62,#B0986C
Chicago State,#00673F,#000000
Citadel,#003087,#C0C0C0
Cleveland State,#00563F,#000000
Colgate,#821019,#C0C0C0
College of Charleston,#7B2D26,#B89C50
Columbia,#76B6E4,#002B7F
Coppin State,#00539B,#FFC72C
Cornell,#B31B1B,#FFFFFF
Creighton,#041E42,#FFFFFF
Dartmouth,#00693E,#FFFFFF
Davidson,#C8102E,#000000
Dayton,#CE1141,#004B8D
DePaul,#003DA5,#E4002B
Delaware State,#C8102E,#00B5E2
Denver,#862633,#C8B273
Detroit,#ED1B2E,#00205B
Drake,#073C7C,#FFFFFF
Drexel,#07294D,#FFC600
Duquesne,#C8102E,#041E42
East Tennessee State,#041E42,#FCD116
East Texas A&M,#003087,#C5A900
Eastern Illinois,#003594,#6F7271
Eastern Kentucky,#6A1A41,#FFFFFF
Eastern Washington,#A6093D,#000000
Elon,#73000A,#B5A36A
Evansville,#582C83,#FF7900
Fairfield,#C8102E,#000000
Fairleigh Dickinson,#00205B,#97999B
Florida A&M,#F58025,#006847
Florida Gulf Coast,#00573C,#0081C6
Fordham,#860038,#FFFFFF
Furman,#4E2A84,#FFFFFF
Gardner-Webb,#C8102E,#000000
George Mason,#006633,#FFCC33
George Washington,#033C5A,#C5B783
Georgetown,#002247,#8A8B8C
Gonzaga,#002967,#C8102E
Grambling,#000000,#E0AA0F
Grand Canyon,#522398,#000000
Hampton,#00263A,#FFFFFF
Harvard,#A51C30,#000000
High Point,#46166B,#000000
Hofstra,#003591,#FFB81C
Holy Cross,#602D8A,#FFFFFF
Houston Christian,#002D72,#FF8200
Howard,#003A63,#E51937
IUPUI,#AC1A2F,#C5A900
Idaho,#000000,#F1B82D
Idaho State,#F34A00,#000000
Illinois State,#CE1141,#000000
Illinois-Chicago,#D50032,#001E62
Incarnate Word,#CE0E2D,#000000
Indiana State,#0033A0,#FFFFFF
Iona,#76232F,#C8A856
Jackson State,#1D428A,#FFFFFF
Jacksonville,#006341,#FFFFFF
LIU-Brooklyn,#00529B,#FFFFFF
La Salle,#08245B,#FFC72C
Lafayette,#9D2235,#FFFFFF
Lamar,#C8102E,#000000
Le Moyne,#00583D,#C5A900
Lehigh,#623412,#FFFFFF
Lindenwood,#000000,#C5A95E
Lipscomb,#20366B,#84754E
Long Beach State,#000000,#FDB927
Longwood,#002D72,#FFFFFF
Loyola (MD),#004F31,#A2AAAD
Loyola Marymount,#8A0E2F,#00205B
Loyola-Chicago,#6E2639,#BC9B6A
MA-Lowell,#002D72,#C8102E
MD-Baltimore County,#000000,#FDB515
MD-Eastern Shore,#862633,#A2AAAD
Maine,#003263,#4FB4E8
Manhattan,#006747,#FFFFFF
Marist,#E03A3E,#000000
Marquette,#003660,#FFCC00
McNeese State,#00337F,#FFC72C
Mercer,#F76900,#000000
Mercyhurst,#003865,#00573F
Merrimack,#002B5C,#FFB81C
Mississippi Valley State,#00573F,#FFFFFF
Monmouth,#041E42,#FFFFFF
Montana,#7A1705,#B0B7BC
Montana State,#003875,#C5A900
Morehead State,#003F87,#ECA001
Morgan State,#F58220,#00263E
Mount St. Mary's,#14234B,#FFFFFF
