Cur. Name,Primary,Secondary
Air Force,#003594,#8A8D8F
Akron,#00285E,#84754E
Alabama,#9E1B32,#828A8F
Appalachian State,#000000,#FFCC00
Arizona,#0C234B,#CC0033
Arizona State,#8C1D40,#FFC627
Arkansas,#9D2235,#FFFFFF
Arkansas State,#CC092F,#000000
Army,#000000,#D4BF91
Auburn,#0C2340,#E87722
BYU,#002E5D,#FFFFFF
Ball State,#BA0C2F,#FFFFFF
Baylor,#154734,#FFB81C
Boise State,#0033A0,#D64309
Boston College,#98002E,#BC9B6A
Bowling Green,#FE5000,#4F2C1D
Buffalo,#005BBB,#000000
California,#003262,#FDB515
Central Florida,#000000,#BA9B37
Central Michigan,#6A0032,#FFC82E
Charlotte,#006A4D,#B3A369
Cincinnati,#E00122,#000000
Clemson,#F56600,#522D80
Coastal Carolina,#006F71,#A27752
Colorado,#CFB87C,#000000
Colorado State,#1E4D2B,#C8C372
Connecticut,#000E2F,#E4002B
Delaware,#00539F,#FFD200
Duke,#003087,#FFFFFF
East Carolina,#592A8A,#FDC82F
Eastern Michigan,#006633,#FFFFFF
Florida,#0021A5,#FA4616
Florida Atlantic,#003366,#CC0000
Florida International,#081E3F,#B6862C
Florida State,#782F40,#CEB888
Fresno State,#DB0032,#002E6D
Georgia,#BA0C2F,#000000
Georgia Southern,#041E42,#87714D
Georgia State,#0039A6,#C60C30
Georgia Tech,#B3A369,#003057
Hawaii,#024731,#FFFFFF
Houston,#C8102E,#FFFFFF
Illinois,#13294B,#E84A27
Indiana,#990000,#EEEDEB
Iowa,#FFCD00,#000000
Iowa State,#C8102E,#F1BE48
Jacksonville State,#CC0000,#FFFFFF
James Madison,#450084,#CBB677
Kansas,#0051BA,#E8000D
Kansas State,#512888,#FFFFFF
Kennesaw State,#FDB913,#000000
Kent State,#002664,#EAAA00
Kentucky,#0033A0,#FFFFFF
LA-Lafayette,#CE181E,#000000
LA-Monroe,#840029,#FDB827
LSU,#461D7C,#FDD023
Liberty,#0A254E,#C8102E
Louisiana Tech,#002F8B,#E31B23
Louisville,#AD0000,#000000
Marshall,#00B140,#FFFFFF
Maryland,#E03A3E,#FFD520
Massachusetts,#881C1C,#000000
Memphis,#003087,#888B8D
Miami (FL),#F47321,#005030
Miami (OH),#B61E2E,#FFFFFF
Michigan,#00274C,#FFCB05
Michigan State,#18453B,#FFFFFF
Middle Tennessee State,#0066CC,#000000
Minnesota,#7A0019,#FFCC33
Mississippi,#CE1126,#14213D
Mississippi State,#660000,#FFFFFF
Missouri,#F1B82D,#000000
Missouri State,#5E0009,#FFFFFF
Navy,#00205B,#C5B783
Nebraska,#E41C38,#FFFFFF
Nevada,#003366,#807F84
New Mexico,#BA0C2F,#63666A
New Mexico State,#8C0B42,#FFFFFF
North Carolina,#7BAFD4,#13294B
North Carolina State,#CC0000,#000000
North Dakota State,#009A44,#FFC72C
North Texas,#00853E,#FFFFFF
Northern Illinois,#C8102E,#000000
Northwestern,#4E2A84,#FFFFFF
Notre Dame,#0C2340,#C99700
Ohio,#00694E,#FFFFFF
Ohio State,#BB0000,#666666
Oklahoma,#841617,#FDF9D8
Oklahoma State,#FF7300,#000000
Old Dominion,#003057,#7C878E
Oregon,#154733,#FEE123
Oregon State,#DC4405,#000000
Penn State,#041E42,#FFFFFF
Pittsburgh,#003594,#FFB81C
Purdue,#CEB888,#000000
Rice,#00205B,#C1C6C8
Rutgers,#CC0033,#000000
SMU,#C8102E,#0033A0
Sacramento State,#00563F,#C4B581
Sam Houston State,#F56600,#FFFFFF
San Diego State,#A6192E,#000000
San Jose State,#0055A2,#FFFFFF
South Alabama,#00205B,#BF0D3E
South Carolina,#73000A,#000000
South Florida,#006747,#CFC493
Southern Mississippi,#FFAB00,#000000
Stanford,#8C1515,#FFFFFF
Syracuse,#F76900,#000E54
TCU,#4D1979,#A3A9AC
TX-San Antonio,#0C2340,#F15A22
Temple,#9D2235,#FFFFFF
Tennessee,#FF8200,#FFFFFF
Texas,#BF5700,#FFFFFF
Texas A&M,#500000,#FFFFFF
Texas State,#501214,#B5A36A
Texas Tech,#CC0000,#000000
Toledo,#15397F,#FFD200
Troy,#8A2432,#C0C0C0
Tulane,#006747,#418FDE
Tulsa,#00337F,#C5B783
UAB,#1E6B52,#F4C300
UCLA,#2D68C4,#F2A900
UNLV,#CF0A2C,#666666
USC,#990000,#FFCC00
UTEP,#FF8200,#041E42
Utah,#CC0000,#FFFFFF
Utah State,#00263A,#8A8D8F
Vanderbilt,#866D4B,#000000
Virginia,#232D4B,#F84C1E
Virginia Tech,#630031,#CF4420
Wake Forest,#9E7E38,#000000
Washington,#4B2E83,#B7A57A
Washington State,#981E32,#5E6A71
West Virginia,#002855,#EAAA00
Western Kentucky,#C60C30,#000000
Western Michigan,#6C4023,#B5A167
Wisconsin,#C5050C,#FFFFFF
Wyoming,#492F24,#FFC425
