competition,component,annual_value_usd_m,years,source,source_url,confidence,notes
College football,College Football Playoff (ESPN, all conferences),1300,2026-2031,"ESPN and the College Football Playoff Extend Exclusive Media Rights Agreement Through 2031-32 Season",https://collegefootballplayoff.com/news/2024/3/19/espn-extension-2032.aspx,high,"$7.8bn over 6 years = $1.3bn/yr. 100% football (the CFP is a football-only event), not allocated."
College football,SEC (ESPN/ABC) - football share,585,2024-2034,"Greg Sankey: SEC media rights deal with ESPN is undervalued (Yahoo Sports)",https://sports.yahoo.com/articles/greg-sankey-sec-media-rights-130024123.html,medium,"Total SEC deal now inferred at ~$750m/yr (article states SEC earns ~$400m less than Big Ten's ~$1.15bn/yr); the original 2020 headline of $3bn/10yr ($300m/yr) is stale and excludes SEC Network/full package growth since 2024. ASSUMPTION: 78% football share applied (commonly cited 75-80% range) = $585m/yr."
College football,Big Ten (Fox/CBS/NBC) - football share,897,2023-2030,"Big Ten Finalizes 7-Year, $7 Billion Media Rights Deal (Sportico); updated to ~$1.15bn/yr per Yahoo Sports (Sankey article)",https://www.sportico.com/business/media/2022/big-ten-media-deal-1234686167/,medium,"Headline $7bn/7yr ($1bn/yr average) has since been reported as running closer to $1.15bn/yr currently. ASSUMPTION: 78% football share = $897m/yr."
College football,Big 12 (ESPN/Fox) - football share,296,2025-2031,"Reports: Big 12 finalizes media rights deal with ESPN and Fox worth over $2 billion (Salt Lake Tribune/AP); $2.28bn total per SI/TCU360",https://www.sltrib.com/sports/byu-cougars/2022/10/30/reports-big-12-finalizes-media/,medium,"$2.28bn over 6 years = $380m/yr. ASSUMPTION: 78% football share = $296m/yr."
College football,ACC (ESPN) - football share,121,2016-2036 (extension terms undisclosed),"ACC, ESPN reach 12-year television rights deal (ESPN); extension confirmed but new financial terms undisclosed (Sportico)",https://www.sportico.com/business/media/2025/acc-media-rights-deal-espn-extension-1234826033/,low,"DATED FIGURE: original 2010 deal reported at $1.86bn/12yr (~$155m/yr). ESPN's option to extend through 2035-36 (confirmed Jan 2025) did NOT come with new disclosed dollar terms in the sources checked (2 fetch attempts). ASSUMPTION: 78% football share applied to the stale $155m/yr baseline = $121m/yr; actual current value is very likely higher given conference realignment (Cal/Stanford/SMU addition) and the broader market's growth since 2010."
College football,Notre Dame (NBC) - football portion,39,2026-2029,"Notre Dame and NBC Extend Media Rights Agreement To 2029 (Front Office Sports)",https://frontofficesports.com/article/notre-dame-and-nbc-extend-media-rights-agreement-to-2029/,low,"Article estimates ND's new total annual payout at ~$50m/yr, combining a football-only NBC figure (roughly double the prior ~$20m/yr = ~$39m/yr) plus ~$11m/yr in ACC other-sports revenue (ND's non-football sports play in the ACC). Only the ~$39m football-specific estimate is included here; the ~$11m ACC-sports portion is excluded from this football total (it is a small part of the ACC number above's remainder, not separately added, to avoid double-counting)."
College basketball,NCAA Division I Men's Basketball Championship (CBS/Turner/WBD),1100,2025-2032,"March Madness TV Rights Top $1B as NCAA Diversifies Revenue Streams (Sportico)",https://www.sportico.com/leagues/college-sports/2026/march-madness-broadcast-rights-billion-cbs-turner-1234887499/,medium,"Long-standing $8.8bn/8-year (2025-2032) CBS/Turner/WBD extension = ~$1.1bn/yr; this bundle nominally covers all NCAA championships but is overwhelmingly driven by, and commonly cited as, the men's basketball tournament's value. Sportico's 2026 headline confirms the >$1bn/yr figure directly."
College basketball,Big East (Fox/NBC/TNT),80,2025-2031,"Big East Renews Media Rights Deal With Fox, Adds NBC and TNT (Sportico); 'The Big East's new $480 Million TV deal' (Paint Touches)",https://www.sportico.com/business/media/2024/big-east-media-rights-deal-fox-sports-nbc-tnt-1234785885/,medium,"$480m over 6 years = $80m/yr. The Big East fields no FBS football, so per the coordinator's framing this deal is treated as effectively 100% basketball (not split)."
College basketball,SEC - basketball share,83,2024-2034,"Same SEC deal as the football row above",https://sports.yahoo.com/articles/greg-sankey-sec-media-rights-130024123.html,low,"ASSUMPTION: of the ~22% of the ~$750m/yr SEC deal not allocated to football, roughly half (11% of the total, ~$82.5m/yr) is assumed to be basketball, with the remainder covering other Olympic sports. This sub-split has no direct source and is a rough guess - lowest-confidence line in this file."
College basketball,Big Ten - basketball share,127,2023-2030,"Same Big Ten deal as the football row above",https://www.sportico.com/business/media/2022/big-ten-media-deal-1234686167/,low,"ASSUMPTION: same 11%-of-total basketball sub-split method as the SEC basketball row; ~$126.5m/yr. No direct source for this specific split."
College basketball,Big 12 - basketball share,42,2025-2031,"Same Big 12 deal as the football row above",https://www.sltrib.com/sports/byu-cougars/2022/10/30/reports-big-12-finalizes-media/,low,"ASSUMPTION: same 11%-of-total basketball sub-split method; ~$41.8m/yr. No direct source for this specific split."
College basketball,ACC - basketball share,17,2016-2036 (extension terms undisclosed),"Same ACC deal as the football row above",https://www.sportico.com/business/media/2025/acc-media-rights-deal-espn-extension-1234826033/,low,"ASSUMPTION: same 11%-of-total basketball sub-split applied to the stale $155m/yr baseline; ~$17m/yr. Likely understated given the dated base figure."
