competition,season,revenue_local,currency,fx_used,revenue_usd_m,source_title,source_url,confidence,notes,anchor_basis
NFL,FY2024,23500,USD,1,23500,How NFL Teams and Owners Made $23.5 Billion Last Year (Sportico),https://www.sportico.com/feature/how-nfl-teams-owners-make-money-1234795113/,high,Total NFL league revenue for the fiscal year ending ~Feb/Mar 2025 as reported by Sportico; NFL does not publish an official consolidated figure.,revenue
NBA,2023-24,11300,USD,1,11300,NBA Teams Surpassed US$11.3 Billion in Revenue in 2024 (Sports Value),https://www.sportsvalue.com.br/en/nba-teams-surpassed-us-11-3-billion-in-revenue-in-2024-total-valuation-reached-us-132-8-billion/,medium,NBA does not officially disclose league revenue; figure is a reputable industry aggregator's estimate for the 2023-24 season.,revenue
MLB,2024,12100,USD,1,12100,MLB Revenues Hit Record $12.1 Billion In 2024 (Forbes),https://www.forbes.com/sites/maurybrown/2025/01/27/mlb-revenues-hit-record-121-billion-in-2024/,high,Gross league revenue reported by MLB commissioner's office via Forbes; net revenue not disclosed.,revenue
NHL,2024-25,6500,USD,1,6500,What the data says about the NHL's US$6.5bn business (SportsPro),https://www.sportspro.com/analysis/sponsorship-marketing/nhl-ice-hockey-business-revenue-sponsorship-media-rights-data/,medium,"NHL does not publish an official total; SportsPro industry estimate, ~3% growth over prior season.",revenue
MLS,2023,2000,USD,1,2000,MLS Team Values 2024: Messi Pushes Average Value Near $700M (Sportico),https://www.sportico.com/valuations/teams/2024/mls-team-values-messi-average-700-million-1234763902/,medium,"Estimated total MLS team revenue for the 2023 season (27% YoY growth, driven by Messi/Inter Miami and expansion); local revenue >85% of total per Sportico.",revenue
WNBA,2024,226,USD,1,226,How Much Does WNBA Make Yearly? Revenue & Profit Explained (Sport Hiatus),https://sporthiatus.com/how-much-does-wnba-make-yearly-revenue-profit-explained/,low,"WNBA does not disclose official league revenue; secondary aggregator estimate, growing rapidly (est. ~$300M projected for 2025).",revenue
NWSL,2024,180,USD,1,180,The NWSL's Most Valuable Teams 2025 (Forbes),https://www.forbes.com/sites/brettknight/2025/06/02/the-nwsls-most-valuable-teams-2025/,low,"No official total-league figure published; proxy is the sum of Forbes' individually reported 2024 team revenues ($5M-$36M across 14 clubs), ~$170-190M range.",revenue
Premier League,2023-24,6300,GBP,1.26,7938,Deloitte Annual Review of Football Finance 2025,https://www.deloitte.com/uk/en/about/press-room/deloitte-annual-review-of-football-finance-european-football-market-revenue.html,high,"GBP 6.3bn, +4% YoY.",revenue
EFL Championship,2023-24,958,GBP,1.26,1207,Deloitte Annual Review of Football Finance 2025,https://www.deloitte.com/uk/en/about/press-room/deloitte-annual-review-of-football-finance-european-football-market-revenue.html,high,"GBP 958m, +28% YoY.",revenue
La Liga,2023-24,3800,EUR,1.085,4123,Deloitte Annual Review of Football Finance 2025,https://www.deloitte.com/uk/en/about/press-room/deloitte-annual-review-of-football-finance-european-football-market-revenue.html,high,"EUR 3.8bn, +6% YoY.",revenue
Bundesliga,2023-24,3800,EUR,1.085,4123,Deloitte Annual Review of Football Finance 2025,https://www.deloitte.com/uk/en/about/press-room/deloitte-annual-review-of-football-finance-european-football-market-revenue.html,high,"EUR 3.8bn, -1% YoY.",revenue
Serie A,2023-24,2900,EUR,1.085,3147,Deloitte Annual Review of Football Finance 2025,https://www.deloitte.com/uk/en/about/press-room/deloitte-annual-review-of-football-finance-european-football-market-revenue.html,high,"EUR 2.9bn, +2% YoY.",revenue
Ligue 1,2023-24,2600,EUR,1.085,2821,Deloitte Annual Review of Football Finance 2025,https://www.deloitte.com/uk/en/about/press-room/deloitte-annual-review-of-football-finance-european-football-market-revenue.html,high,"EUR 2.6bn, +7% YoY.",revenue
Primeira Liga,2021-22,557,EUR,1.05,585,List of professional sports leagues by revenue (Wikipedia),https://en.wikipedia.org/wiki/List_of_professional_sports_leagues_by_revenue,low,Dated 2021-22 figure; likely understates current revenue.,revenue
Eredivisie,2021-22,629,EUR,1.05,660,List of professional sports leagues by revenue (Wikipedia),https://en.wikipedia.org/wiki/List_of_professional_sports_leagues_by_revenue,low,Dated 2021-22 figure.,revenue
Süper Lig,2021-22,533,EUR,1.05,560,List of professional sports leagues by revenue (Wikipedia),https://en.wikipedia.org/wiki/List_of_professional_sports_leagues_by_revenue,low,Dated; TRY depreciation makes USD comparability weak.,revenue
Liga MX,2018-19,555,EUR,1.13,627,List of professional sports leagues by revenue (Wikipedia),https://en.wikipedia.org/wiki/List_of_professional_sports_leagues_by_revenue,low,"Pre-pandemic figure, likely a significant understatement.",revenue
WSL,2023-24,65,GBP,1.26,82,Deloitte Annual Review of Football Finance - WSL,https://www.deloitte.com/uk/en/about/press-room/deloitte-annual-review-of-football-finance-womens-super-league-june-2025.html,high,"GBP 65m combined WSL club revenue, +34% YoY.",revenue
F1,2024,3650,USD,1,3650,F1 revenue rises to US$3.65bn in 2024 (BlackBook Motorsport),https://www.blackbookmotorsport.com/news/f1-revenue-q4-2024-liberty-media-motogp-february-2025/,high,Liberty Media official financial results.,revenue
EuroLeague,2023-24 (est.),930,USD,1,930,"Eurohoops, citing Forbes/JB Capital",https://www.eurohoops.net/en/euroleague/847644/1-1-billion-projected-revenues-for-euroleague-and-its-participating-clubs-in-2025-2026/,low,"Interpolated estimate, combined league+clubs.",revenue
AFL,2024,1944,AUD,0.655,1273,AFL and clubs revenue 2024 (footyindustry.com),https://footyindustry.com/index.php/2025/04/09/the-afl-and-clubs-top-1-944b-in-revenue-for-2024/,medium,"Combined AFL + 18 clubs, AFL annual report.",revenue
NRL,2024,744,AUD,0.655,487,NRL reports $744m revenue 2024 (footyindustry.com),https://footyindustry.com/index.php/2025/02/19/nrl-reports-744m-revenue-62m-profit-big-asset-increase-in-2024/,high,NRL's own reported total revenue.,revenue
IPL,2023-27 media deal (annual avg.),96780,INR_million,0.0122,1180,IPL media rights deal (Disney Star/Viacom18),https://www.businesswire.com/news/home/20240628418556/en,medium,Central BCCI media-rights annual value; recommended anchor row.,revenue
NPB,FY2019 (est.),184000,JPY_million,0.00917,1688,List of professional sports leagues by revenue (Wikipedia),https://en.wikipedia.org/wiki/List_of_professional_sports_leagues_by_revenue,low,Pre-pandemic FY2019 figure.,revenue
CFL,2024 (est.),250,CAD,0.73,183,CFL revenue estimate (3DownNation),https://3downnation.com/2024/11/12/cfl-underperformed-randy-ambrosies-goal-to-double-league-revenues-franchise-values-flat/,low,No official total disclosed; midpoint estimate.,revenue
Top 14,2021-22,371,EUR,1.10,408,"List of professional sports leagues by revenue (Wikipedia, LNR)",https://en.wikipedia.org/wiki/List_of_professional_sports_leagues_by_revenue,medium,"LNR financial report, 2021-22.",revenue
Handball-Bundesliga,2018-19,105,EUR,1.13,119,List of professional sports leagues by revenue (Wikipedia),https://en.wikipedia.org/wiki/List_of_professional_sports_leagues_by_revenue,low,Very dated figure.,revenue
SuperLega,n/a,50,EUR_est,1.08,54,No total-league figure located; analyst proxy,n/a,low,Rough order-of-magnitude estimate.,revenue
College football,2023-24 (est.),5000,USD,1,5000,Athletic Business / Knight Commission proxy,https://www.athleticbusiness.com/operations/governing-bodies/article/15540529/sec-big-ten-each-top-2b-in-athletic-department-revenue,low,"Power 4 + Notre Dame football proxy, ~55-65% of athletic dept revenue (already includes media rights). Reverted (v0.5 correction) from a media-rights-only anchor ($3.24bn), which understated college football relative to this broader revenue base and lowered its All-view standing -- the opposite of intent.",revenue
College basketball,2026 (annualized),1450,USD,1,1450,media rights,scripts/fans/college_media_anchor.csv,medium-low,"Media-rights anchor (v0.5, coordinator-approved, kept): NCAA tournament (March Madness, CBS/Turner/WBD) + Power-conference TV deals at a 22% basketball share. Kept on the media-rights basis rather than reverted to the old $1,000M revenue proxy: that proxy was internally inconsistent, since it was BELOW the NCAA tournament media deal alone (~$1.1bn/yr), i.e. it undercounted even the one revenue stream it was meant to capture.",media_rights
Brasileirão,2025,14900,BRL,0.185,2757,EY Brasil club-finance survey,https://www.ey.com/pt_br/newsroom/2026/05/receita-total-dos-clubes-brasileiros-chega-a-bilhoes-no-ultimo-ano-indica-levantamento,high,"Combined revenue of the 20 Serie A clubs, 2025 season.",revenue
