team,league,value_usd_m,year,source,source_url,method,confidence,notes
Michigan,College basketball,95,2024,EADA program revenue x department multiple (dept value from CNBC's Official College Sports Valuations 2025: Top 75 athletic programs),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $21.2M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.49 (dept value $1062M / EADA total athletics revenue $236.4M, same FY). Dept value source: CNBC's Official College Sports Valuations 2025: Top 75 athletic programs."
Duke,College basketball,200,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $52.7M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.80 (dept value $690M / EADA total athletics revenue $181.6M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Connecticut,College basketball,52,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $20.2M (FY2025 (EADA, academic year 2024-25)) x implied multiple 2.57 (dept value $249M / EADA total athletics revenue $97.1M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
St. John's,College basketball,128,2024,EADA program revenue x department multiple (dept value from College Factual EADA summary),https://ope.ed.gov/athletics/,derived,low,"Men's basketball revenue $32.0M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.99 (dept value $309M / EADA total athletics revenue $77.4M, same FY). Dept value source: College Factual EADA summary."
Arizona,College basketball,90,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $22.6M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.99 (dept value $529M / EADA total athletics revenue $132.7M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Villanova,College basketball,66,2024,EADA program revenue x department multiple (dept value from College Factual EADA summary),https://ope.ed.gov/athletics/,derived,low,"Men's basketball revenue $16.6M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.00 (dept value $274M / EADA total athletics revenue $68.5M, same FY). Dept value source: College Factual EADA summary."
Kentucky,College basketball,104,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $21.4M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.88 (dept value $910M / EADA total athletics revenue $186.6M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
North Carolina,College basketball,143,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $39.7M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.59 (dept value $650M / EADA total athletics revenue $180.8M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Florida,College basketball,84,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $17.3M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.89 (dept value $975M / EADA total athletics revenue $199.2M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Illinois,College basketball,162,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $34.8M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.67 (dept value $815M / EADA total athletics revenue $174.6M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Gonzaga,College basketball,78,2024,EADA program revenue x department multiple (dept value from College Factual EADA summary),https://ope.ed.gov/athletics/,derived,low,"Men's basketball revenue $19.5M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.00 (dept value $193M / EADA total athletics revenue $48.2M, same FY). Dept value source: College Factual EADA summary."
Purdue,College basketball,93,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $21.0M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.45 (dept value $670M / EADA total athletics revenue $150.5M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
