team,league,value_usd_m,year,source,source_url,method,confidence,notes
Indiana,College football,425,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $80.9M sport revenue; Remaining Big Ten program, not in a higher football tier."
Miami (FL),College football,674,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 3, 6.75x on $99.9M sport revenue; Named T3 brand in the brief."
Ohio State,College football,1646,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 1, 10.25x on $160.5M sport revenue; Named T1 blue-chip brand in the brief."
Notre Dame,College football,2006,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 1, 10.25x on $195.7M sport revenue; Named T1 blue-chip brand in the brief."
Mississippi,College football,476,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $90.7M sport revenue; Remaining SEC program, not in a higher football tier."
Alabama,College football,1500,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 1, 10.25x on $146.3M sport revenue; Named T1 blue-chip brand in the brief."
Michigan,College football,1797,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 1, 10.25x on $175.3M sport revenue; Named T1 blue-chip brand in the brief."
Penn State,College football,1315,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 2, 8.75x on $150.3M sport revenue; Named T2 brand in the brief."
Texas,College football,1762,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 1, 10.25x on $171.9M sport revenue; Named T1 blue-chip brand in the brief."
LSU,College football,1029,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 2, 8.75x on $117.6M sport revenue; Named T2 brand in the brief."
Georgia,College football,1530,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 1, 10.25x on $149.3M sport revenue; Named T1 blue-chip brand in the brief."
Oregon,College football,1046,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 2, 8.75x on $119.6M sport revenue; Named T2 brand in the brief."
Texas A&M,College football,569,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $108.5M sport revenue; Remaining SEC program, not in a higher football tier."
Florida,College football,992,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 2, 8.75x on $113.4M sport revenue; Named T2 brand in the brief."
