team,league,value_usd_m,year,source,source_url,method,confidence,notes
Golden State Valkyries,WNBA,850,2026,"WNBA Team Values 2026: Valkyries Lead at $850M, Average Jumps 59% (Sportico)",https://www.sportico.com/valuations/teams/2026/wnba-team-values-2026-valkyries-liberty-fever-1234891620/,published,high,"Sportico's annual WNBA franchise valuation, most valuable team for 2nd straight year. USD figure, no FX conversion needed."
New York Liberty,WNBA,600,2026,"WNBA Team Values 2026: Valkyries Lead at $850M, Average Jumps 59% (Sportico)",https://www.sportico.com/valuations/teams/2026/wnba-team-values-2026-valkyries-liberty-fever-1234891620/,published,high,Sportico WNBA franchise valuation.
Indiana Fever,WNBA,560,2026,"WNBA Team Values 2026: Valkyries Lead at $850M, Average Jumps 59% (Sportico)",https://www.sportico.com/valuations/teams/2026/wnba-team-values-2026-valkyries-liberty-fever-1234891620/,published,high,Sportico WNBA franchise valuation.
Seattle Storm,WNBA,425,2026,"WNBA Team Values 2026: Valkyries Lead at $850M, Average Jumps 59% (Sportico)",https://www.sportico.com/valuations/teams/2026/wnba-team-values-2026-valkyries-liberty-fever-1234891620/,published,high,Sportico WNBA franchise valuation.
Dallas Wings,WNBA,325,2026,"WNBA Team Values 2026: Valkyries Lead at $850M, Average Jumps 59% (Sportico)",https://www.sportico.com/valuations/teams/2026/wnba-team-values-2026-valkyries-liberty-fever-1234891620/,published,high,Sportico WNBA franchise valuation.
Connecticut Sun,WNBA,325,2026,"WNBA Team Values 2026: Valkyries Lead at $850M, Average Jumps 59% (Sportico)",https://www.sportico.com/valuations/teams/2026/wnba-team-values-2026-valkyries-liberty-fever-1234891620/,published,medium,"Sportico WNBA franchise valuation; article notes competing bids (incl. Tilman Fertitta) around this figure, so treat as a range midpoint rather than a single settled number."
Angel City FC,NWSL,335,2025,"NWSL Team Values 2026: Angel City Leads, Average Jumps 77% (Sportico)",https://www.sportico.com/valuations/teams/2026/nwsl-team-values-2026-angel-city-1234886336/,published,high,Sportico NWSL franchise valuation.
Kansas City Current,NWSL,315,2025,"NWSL Team Values 2026: Angel City Leads, Average Jumps 77% (Sportico)",https://www.sportico.com/valuations/teams/2026/nwsl-team-values-2026-angel-city-1234886336/,published,high,Sportico NWSL franchise valuation.
Bay FC,NWSL,208,2025,"NWSL Team Values 2026: Angel City Leads, Average Jumps 77% (Sportico)",https://www.sportico.com/valuations/teams/2026/nwsl-team-values-2026-angel-city-1234886336/,published,high,Sportico NWSL franchise valuation.
San Diego Wave,NWSL,200,2025,"NWSL Team Values 2026: Angel City Leads, Average Jumps 77% (Sportico)",https://www.sportico.com/valuations/teams/2026/nwsl-team-values-2026-angel-city-1234886336/,published,high,Sportico NWSL franchise valuation.
Washington Spirit,NWSL,196,2025,"NWSL Team Values 2026: Angel City Leads, Average Jumps 77% (Sportico)",https://www.sportico.com/valuations/teams/2026/nwsl-team-values-2026-angel-city-1234886336/,published,high,Sportico NWSL franchise valuation.
Gotham FC,NWSL,175,2025,"NWSL Team Values 2026: Angel City Leads, Average Jumps 77% (Sportico)",https://www.sportico.com/valuations/teams/2026/nwsl-team-values-2026-angel-city-1234886336/,published,high,Sportico NWSL franchise valuation.
North Carolina Courage,NWSL,155,2025,"NWSL Team Values 2026: Angel City Leads, Average Jumps 77% (Sportico)",https://www.sportico.com/valuations/teams/2026/nwsl-team-values-2026-angel-city-1234886336/,published,high,Sportico NWSL franchise valuation.
Utah Royals,NWSL,100,2024,"NWSL Team Values 2026: Angel City Leads, Average Jumps 77% (Sportico)",https://www.sportico.com/valuations/teams/2026/nwsl-team-values-2026-angel-city-1234886336/,published,medium,"Figure attributed to 2024 within the 2026 Sportico article (expansion club, limited track record)."
Real Madrid,La Liga,6750,2025,The World's Most Valuable Soccer Teams 2025 (Forbes),https://www.forbes.com/sites/justinteitelbaum/2025/05/30/the-worlds-most-valuable-soccer-teams-2025/,published,high,"Forbes global soccer valuation ranking, #1 overall."
Manchester United,Premier League,6600,2025,The World's Most Valuable Soccer Teams 2025 (Forbes),https://www.forbes.com/sites/justinteitelbaum/2025/05/30/the-worlds-most-valuable-soccer-teams-2025/,published,high,Forbes global soccer valuation ranking.
Barcelona,La Liga,5650,2025,The World's Most Valuable Soccer Teams 2025 (Forbes),https://www.forbes.com/sites/justinteitelbaum/2025/05/30/the-worlds-most-valuable-soccer-teams-2025/,published,high,Forbes global soccer valuation ranking.
Liverpool,Premier League,5400,2025,The World's Most Valuable Soccer Teams 2025 (Forbes),https://www.forbes.com/sites/justinteitelbaum/2025/05/30/the-worlds-most-valuable-soccer-teams-2025/,published,high,Forbes global soccer valuation ranking.
Manchester City,Premier League,5300,2025,The World's Most Valuable Soccer Teams 2025 (Forbes),https://www.forbes.com/sites/justinteitelbaum/2025/05/30/the-worlds-most-valuable-soccer-teams-2025/,published,high,Forbes global soccer valuation ranking.
Bayern Munich,Bundesliga,5100,2025,The World's Most Valuable Soccer Teams 2025 (Forbes),https://www.forbes.com/sites/justinteitelbaum/2025/05/30/the-worlds-most-valuable-soccer-teams-2025/,published,high,Forbes global soccer valuation ranking.
Paris Saint-Germain,Ligue 1,4600,2025,The World's Most Valuable Soccer Teams 2025 (Forbes),https://www.forbes.com/sites/justinteitelbaum/2025/05/30/the-worlds-most-valuable-soccer-teams-2025/,published,high,Forbes global soccer valuation ranking.
Arsenal,Premier League,3400,2025,The World's Most Valuable Soccer Teams 2025 (Forbes),https://www.forbes.com/sites/justinteitelbaum/2025/05/30/the-worlds-most-valuable-soccer-teams-2025/,published,high,Forbes global soccer valuation ranking.
Tottenham Hotspur,Premier League,3300,2025,The World's Most Valuable Soccer Teams 2025 (Forbes),https://www.forbes.com/sites/justinteitelbaum/2025/05/30/the-worlds-most-valuable-soccer-teams-2025/,published,high,Forbes global soccer valuation ranking.
Chelsea,Premier League,3250,2025,The World's Most Valuable Soccer Teams 2025 (Forbes),https://www.forbes.com/sites/justinteitelbaum/2025/05/30/the-worlds-most-valuable-soccer-teams-2025/,published,high,Forbes global soccer valuation ranking.
Juventus,Serie A,2150,2025,The World's Most Valuable Soccer Teams 2025 (Forbes),https://www.forbes.com/sites/justinteitelbaum/2025/05/30/the-worlds-most-valuable-soccer-teams-2025/,published,high,Forbes global soccer valuation ranking.
Borussia Dortmund,Bundesliga,2050,2025,The World's Most Valuable Soccer Teams 2025 (Forbes),https://www.forbes.com/sites/justinteitelbaum/2025/05/30/the-worlds-most-valuable-soccer-teams-2025/,published,high,Forbes global soccer valuation ranking.
Atletico Madrid,La Liga,1700,2025,The World's Most Valuable Soccer Teams 2025 (Forbes),https://www.forbes.com/sites/justinteitelbaum/2025/05/30/the-worlds-most-valuable-soccer-teams-2025/,published,high,Forbes global soccer valuation ranking.
AC Milan,Serie A,1500,2025,The World's Most Valuable Soccer Teams 2025 (Forbes),https://www.forbes.com/sites/justinteitelbaum/2025/05/30/the-worlds-most-valuable-soccer-teams-2025/,published,high,"Forbes global soccer valuation ranking. Football Benchmark's European Elite 2025 gives an alternative enterprise-value figure of EUR1,808m (~$1,953m at 1.08 EUR/USD) - not summed, shown here for reference in this note only."
Inter Milan,Serie A,1150,2025,The World's Most Valuable Soccer Teams 2025 (Forbes),https://www.forbes.com/sites/justinteitelbaum/2025/05/30/the-worlds-most-valuable-soccer-teams-2025/,published,high,Forbes global soccer valuation ranking.
West Ham United,Premier League,1125,2025,The World's Most Valuable Soccer Teams 2025 (Forbes),https://www.forbes.com/sites/justinteitelbaum/2025/05/30/the-worlds-most-valuable-soccer-teams-2025/,published,high,Forbes global soccer valuation ranking.
Newcastle United,Premier League,1100,2025,The World's Most Valuable Soccer Teams 2025 (Forbes),https://www.forbes.com/sites/justinteitelbaum/2025/05/30/the-worlds-most-valuable-soccer-teams-2025/,published,high,Forbes global soccer valuation ranking.
Aston Villa,Premier League,900,2025,The World's Most Valuable Soccer Teams 2025 (Forbes),https://www.forbes.com/sites/justinteitelbaum/2025/05/30/the-worlds-most-valuable-soccer-teams-2025/,published,high,Forbes global soccer valuation ranking. Football Benchmark European Elite 2025 gives a close alternative of EUR899m (~$971m).
