action,symbol,detail
update,X (formerly Twitter),metro:None->'San Francisco-San Jose'; city:None->'San Francisco'; state:None->'California'
update,JMKE,metro:None->'New York'; city:None->'Manasquan'; state:None->'New Jersey'
update,4733.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,5631.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,6674.T,metro:None->'Osaka-Kyoto-Kobe'; city:None->'Kyoto'
update,5938.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,9301.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,600320.SS,metro:None->'Shanghai'; city:None->'Shanghai'
update,7173.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,1503.TW,metro:None->'Taipei'; city:None->'Taipei'
update,6890.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,8358.T,metro:None->'Numazu'; city:None->'Numazu'
update,2433.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,2354.TW,metro:None->'Taipei'; city:None->'New Taipei'
update,8283.T,metro:None->'Osaka-Kyoto-Kobe'; city:None->'Osaka'
update,9006.T,metro:None->'Tokyo'; city:None->'Yokohama'
update,9449.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,8410.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,3549.T,metro:None->'Kanazawa'; city:None->'Hakusan'
update,4202.T,metro:None->'Osaka-Kyoto-Kobe'; city:None->'Osaka'
update,4194.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,4118.T,metro:None->'Osaka-Kyoto-Kobe'; city:None->'Osaka'
update,6432.T,metro:None->'Nagano'; city:None->'Sakaki'
update,4966.T,metro:None->'Osaka-Kyoto-Kobe'; city:None->'Osaka'
update,8078.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,ENGI3.SA,city:None->'Cataguases'
update,9987.T,metro:None->'Nagoya'; city:None->'Nagoya'
update,6103.T,metro:None->'Nagoya'; city:None->'Oguchi'
update,4208.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,6960.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,8361.T,metro:None->'Nagoya'; city:None->'Ogaki'
update,8022.T,metro:None->'Osaka-Kyoto-Kobe'; city:None->'Osaka'
update,4272.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,8282.T,city:None->'Tsukuba'
update,8367.T,metro:None->'Osaka-Kyoto-Kobe'; city:None->'Nara'
update,6371.T,metro:None->'Osaka-Kyoto-Kobe'; city:None->'Osaka'
update,6101.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,2371.TW,metro:None->'Taipei'; city:None->'Taipei'
update,2726.T,metro:None->'Osaka-Kyoto-Kobe'; city:None->'Osaka'
update,EGL.LS,metro:None->'Porto'; city:None->'Porto'
update,8133.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,6490.T,metro:None->'Osaka-Kyoto-Kobe'; city:None->'Osaka'
update,8154.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,6849.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,3697.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,6777.T,metro:None->'Nagoya'; city:None->'Komaki'
update,4046.T,metro:None->'Osaka-Kyoto-Kobe'; city:None->'Osaka'
update,7906.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,7994.T,metro:None->'Tokyo'; city:None->'Yokohama'
update,7616.T,metro:None->'Tokyo'; city:None->'Yokohama'
update,9075.T,city:None->'Fukuyama'
update,STDN,metro:None->'Knoxville'; city:None->'Oak Ridge'; state:None->'Tennessee'
update,4041.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,6516.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,8392.T,metro:None->'Oita'; city:None->'Oita'
update,2659.T,metro:None->'Naha'; city:None->'Ginowan'
update,8393.T,metro:None->'Miyazaki'; city:None->'Miyazaki'
update,1946.T,metro:None->'Nagoya'; city:None->'Nagoya'
update,1333.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,4617.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,7970.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,WHRL3.SA,metro:None->'Joinville'; city:None->'Joinville'
update,BRSR6.SA,metro:None->'Porto Alegre'; city:None->'Porto Alegre'
update,LTGO,metro:None->'Los Angeles'; city:None->'Thousand Oaks'; state:None->'California'
update,7864.T,metro:None->'Osaka-Kyoto-Kobe'; city:None->'Osaka'
update,APMD,metro:None->'Boston'; city:None->'Cambridge'; state:None->'Massachusetts'
update,SNC.LS,metro:None->'Porto'; city:None->'Maia'
update,7350.T,metro:None->'Naha'; city:None->'Naha'
update,3863.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,3880.T,city:None->'Shikokuchuo'
update,4521.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,8214.T,metro:None->'Tokyo'; city:None->'Yokohama'
update,9010.T,city:None->'Fujiyoshida'
update,3101.T,metro:None->'Osaka-Kyoto-Kobe'; city:None->'Osaka'
update,2760.T,metro:None->'Tokyo'; city:None->'Yokohama'
update,TEND3.SA,metro:None->'Sao Paulo'; city:None->'Sao Paulo'
update,3156.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,167A.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,5192.T,metro:None->'Osaka-Kyoto-Kobe'; city:None->'Kobe'
update,8541.T,metro:None->'Matsuyama'; city:None->'Matsuyama'
update,9304.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,8061.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,RCBC,metro:None->'Sacramento'; city:None->'Sacramento'; state:None->'California'
update,BEEF3.SA,metro:None->'Barretos'; city:None->'Barretos'
update,079160.KS,metro:None->'Seoul'; city:None->'Seoul'
update,4008.T,metro:None->'Osaka-Kyoto-Kobe'; city:None->'Osaka'
update,6455.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,2379.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,9543.T,metro:None->'Shizuoka'; city:None->'Shizuoka'
update,3028.T,metro:None->'Nagoya'; city:None->'Nagoya'
update,035760.KQ,metro:None->'Seoul'; city:None->'Seoul'
update,SCTX,metro:None->'San Francisco-San Jose'; city:None->'Alameda'; state:None->'California'
update,3636.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,9517.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,7915.T,metro:None->'Osaka-Kyoto-Kobe'; city:None->'Kyoto'
update,RANI3.SA,metro:None->'Porto Alegre'; city:None->'Porto Alegre'
update,LIGT3.SA,metro:None->'Rio de Janeiro'; city:None->'Rio de Janeiro'
update,3864.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,8281.T,metro:None->'Koriyama'; city:None->'Koriyama'
update,7914.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,9470.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,ALUAV.PA,metro:None->'Alicante'; city:None->'Elche'
update,6430.T,metro:None->'Nagoya'; city:None->'Nagoya'
update,5632.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,7769.T,metro:None->'Tokyo'; city:None->'Kawagoe'
update,3922.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,6445.T,metro:None->'Tokyo'; city:None->'Hachioji'
update,KL9.F,metro:None->'Vancouver'; city:None->'Vancouver'
update,8202.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,4512.T,metro:None->'Tokyo'; city:None->'Tokyo'
update,IFRX.L,metro:None->'St Peter Port'; city:None->'St Peter Port'
update,AON.AX,metro:None->'Perth'; city:None->'Perth'
update,OPTH,metro:None->'Vancouver'; city:None->'Vancouver'
update,CDU.LS,metro:None->'Porto'; city:None->'Valongo'
update,MTEK,metro:None->'Tel-Aviv'; city:None->'Rehovot'
