city,state,companies,metro,how
New York,NY,144,New York,municipality + state
Houston,TX,103,Houston,municipality + state
Chicago,IL,52,Chicago,municipality + state
Atlanta,GA,42,Atlanta,municipality + state
Dallas,TX,40,Dallas,municipality + state
San Francisco,CA,32,San Francisco-San Jose,municipality + state
St. Louis,MO,26,St. Louis,municipality + state
Charlotte,NC,26,Charlotte,municipality + state
Denver,CO,23,Denver,municipality + state
San Jose,CA,22,San Francisco-San Jose,municipality + state
Columbus,OH,20,Columbus,municipality + state
Phoenix,AZ,18,Phoenix,municipality + state
Milwaukee,WI,17,Milwaukee,municipality + state
Pittsburgh,PA,17,Pittsburgh,municipality + state
Cleveland,OH,16,Cleveland,municipality + state
Irving,TX,16,Dallas,municipality + state
San Diego,CA,15,San Diego,municipality + state
Stamford,CT,15,New York,municipality + state
Las Vegas,NV,14,Las Vegas,municipality + state
Santa Clara,CA,13,San Francisco-San Jose,municipality + state
Arlington,VA,13,Washington-Baltimore,municipality + state
Boston,MA,13,Boston,municipality + state
Irvine,CA,13,Los Angeles,municipality + state
Tulsa,OK,13,Tulsa,municipality + state
Cincinnati,OH,13,Cincinnati,municipality + state
Minneapolis,MN,13,Minneapolis,municipality + state
San Antonio,TX,13,San Antonio,municipality + state
Jacksonville,FL,13,Jacksonville,municipality + state
Omaha,NE,13,Omaha-Lincoln,municipality + state
Seattle,WA,12,Seattle,municipality + state
Indianapolis,IN,12,Indianapolis,municipality + state
Philadelphia,PA,12,Philadelphia,municipality + state
McLean,VA,12,Washington-Baltimore,municipality + state
Richmond,VA,11,Richmond,municipality + state
The Woodlands,TX,11,Houston,municipality + state
Parsippany,NJ,11,New York,municipality + state
Fort Worth,TX,10,Dallas,municipality + state
Kansas City,MO,10,Kansas City,municipality + state
Los Angeles,CA,10,Los Angeles,municipality + state
Wilmington,DE,10,Philadelphia,municipality + state
Memphis,TN,10,Memphis,municipality + state
Englewood,CO,10,Denver,municipality + state
Tempe,AZ,9,Phoenix,municipality + state
Brentwood,TN,9,Nashville,municipality + state
Scottsdale,AZ,9,Phoenix,municipality + state
Deerfield,IL,9,Chicago,municipality + state
Louisville,KY,9,Louisville,municipality + state
Nashville,TN,9,Nashville,municipality + state
Plano,TX,9,Dallas,municipality + state
St. Paul,MN,8,Minneapolis,municipality + state
Raleigh,NC,8,Raleigh-Durham,municipality + state
Norwalk,CT,8,New York,municipality + state
Tampa,FL,8,Tampa,municipality + state
Washington,DC,8,Washington-Baltimore,municipality + state
Birmingham,AL,8,Birmingham (AL),municipality + state
Sunnyvale,CA,8,San Francisco-San Jose,municipality + state
Franklin,TN,7,Nashville,municipality + state
Boca Raton,FL,7,Miami,municipality + state
Orlando,FL,7,Orlando,municipality + state
Cambridge,MA,7,Boston,municipality + state
Boise,ID,7,Boise,municipality + state
Waltham,MA,7,Boston,municipality + state
Detroit,MI,7,Detroit,municipality + state
Reston,VA,7,Washington-Baltimore,municipality + state
Bellevue,WA,7,Seattle,municipality + state
Hartford,CT,6,Hartford,municipality + state
Bethesda,MD,6,Washington-Baltimore,municipality + state
Northbrook,IL,6,Chicago,municipality + state
Troy,MI,6,Detroit,municipality + state
Fort Lauderdale,FL,6,Miami,municipality + state
Evansville,IN,6,Evansville,municipality + state
Miami,FL,6,Miami,municipality + state
Oklahoma City,OK,6,Oklahoma City,municipality + state
Downers Grove,IL,6,Chicago,municipality + state
Austin,TX,6,Austin,municipality + state
Glen Allen,VA,5,Richmond,municipality + state
El Segundo,CA,5,Los Angeles,municipality + state
West Palm Beach,FL,5,Miami,municipality + state
