company_key,era_name,from_year,to_year,source
exxon mobil,Standard Oil Co. (New Jersey),1955,1973,"Wikipedia: Standard Oil Company (New Jersey) 1882-1973"
exxon mobil,Exxon Corporation,1974,1995,"Wikipedia: Exxon Corporation 1973-1999"
chevrontexaco,Standard Oil Co. of California,1955,1984,"Wikipedia: legal name changed to Chevron Corporation in 1984"
chevrontexaco,Chevron Corporation,1985,1995,"Wikipedia: Chevron 1984-2001, ChevronTexaco 2001-2005"
altria group,Philip Morris Inc.,1955,1984,"Philip Morris Inc. until the 1985 holding-company reorganisation; Altria dates from 2003"
altria group,Philip Morris Companies Inc.,1985,2002,"Philip Morris Companies Inc. 1985-2003; renamed Altria Group in 2003"
conocophillips,Continental Oil Company,1955,1978,"Conoco was Continental Oil Company until the 1979 rename; ConocoPhillips dates from the 2002 merger"
conocophillips,Conoco Inc.,1979,2001,"Conoco Inc. 1979-2002, including the DuPont ownership years"
conoco,Continental Oil Company,1955,1978,"Second Fortune record for the same lineage; same rename in 1979"
conoco,Conoco Inc.,1979,2002,"Conoco Inc. until the ConocoPhillips merger completed in 2002"
dupont,E. I. du Pont de Nemours and Company,1955,2016,"The legal and published name until the 2017 DowDuPont merger; 'DuPont' as a standalone corporate name dates from the 2019 separation"
3m,Minnesota Mining and Manufacturing Company,1960,2001,"Renamed 3M in 2002; the full name was the published one before that"
rockwell automation,North American Aviation,1955,1972,"North American Aviation until the 1973 Rockwell International rename"
rockwell automation,Rockwell International,1973,1995,"Rockwell International until the 2002 Rockwell Automation rename"
nabisco group holdings,National Biscuit Company,1955,1970,"Nabisco was National Biscuit Company until 1971"
nabisco group holdings,Nabisco Inc.,1971,1985,"Nabisco Inc. until the 1985 RJR merger"
nabisco group holdings,RJR Nabisco,1986,1995,"RJR Nabisco from the 1985-86 merger; Nabisco Group Holdings dates from 1999"
borden chemical,The Borden Company,1955,1967,"The Borden Company until the 1968 rename to Borden, Inc."
borden chemical,"Borden, Inc.",1968,1994,"Borden, Inc.; the Borden Chemical name belongs to the post-1995 KKR successor"
sunoco,Sun Oil Company,1955,1975,"Sun Oil Company; the Sunoco brand only became the corporate name in 1998"
sunoco,Sun Company Inc.,1976,1994,"Sun Company, Inc. from 1976 until the 1998 Sunoco rename"
sealed air,W. R. Grace & Co.,1955,1994,"This Fortune record is the W. R. Grace lineage; Sealed Air acquired the Cryovac business in 1998 and inherited the record"
