company_key,from_year,to_year,city,state,country,confidence,note
texaco,1955,1977,New York City,New York,United States,certain,"Headquartered in the Chrysler Building in New York City until relocating to Westchester County in 1977."
texaco,1978,2001,White Plains,New York,United States,certain,"Headquartered at the Harrison/White Plains campus from 1977 until acquired by Chevron in 2001."
mobil,1955,1989,New York City,New York,United States,certain,"Socony-Vacuum/Socony Mobil/Mobil was based at 150 E 42nd St in NYC until the Fairfax relocation."
mobil,1990,1999,Fairfax,Virginia,United States,certain,"Completed headquarters move to Fairfax in 1990; remained there until the 1999 Exxon merger."
chevrontexaco,1955,2001,San Francisco,California,United States,certain,"Standard Oil of California (renamed Chevron in 1984) was based on Market Street in San Francisco."
chevrontexaco,2002,2005,San Ramon,California,United States,certain,"Moved to San Ramon in 2001-2002; listed under back-name ChevronTexaco before reverting to Chevron."
chrysler,1955,1995,Highland Park,Michigan,United States,certain,"Headquartered in Highland Park until the Auburn Hills complex opened in 1996."
chrysler,1996,1998,Auburn Hills,Michigan,United States,certain,"Relocated to Auburn Hills in 1996; listed until the Daimler-Benz merger in 1998."
amoco,1955,1998,Chicago,Illinois,United States,certain,"Standard Oil of Indiana (renamed Amoco in 1985) was based continuously in Chicago at the Amoco Building."
atlantic richfield,1955,1971,Philadelphia,Pennsylvania,United States,certain,"Atlantic Refining (merged with Richfield in 1966 to form ARCO) remained in Philadelphia until 1972."
atlantic richfield,1972,2000,Los Angeles,California,United States,certain,"Relocated corporate headquarters to ARCO Plaza in Los Angeles in 1972 until acquired by BP in 2000."
exxon mobil,1955,1989,New York City,New York,United States,certain,"Standard Oil Co. (New Jersey), renamed Exxon in 1972, was based in NYC at Rockefeller Center until 1989."
exxon mobil,1990,1995,Irving,Texas,United States,certain,"Relocated to Irving, Texas in late 1989; clipped to listed span ending 1995."
general electric,1955,1973,New York City,New York,United States,certain,"General Electric maintained its executive headquarters at 570 Lexington Ave in NYC until 1974."
general electric,1974,1995,Fairfield,Connecticut,United States,certain,"Relocated corporate headquarters to Fairfield campus in 1974; clipped to 1995 listed span."
intl business machines,1955,1963,New York City,New York,United States,certain,"IBM executive headquarters was located at 590 Madison Avenue in New York City until 1964."
intl business machines,1964,1995,Armonk,New York,United States,certain,"Relocated corporate headquarters to Armonk, New York in 1964; clipped to 1995 listed span."
nabisco group holdings,1955,1986,Winston-Salem,North Carolina,United States,certain,"R.J. Reynolds Tobacco / RJR Nabisco was based in Winston-Salem until moving to Georgia."
nabisco group holdings,1987,1989,Atlanta,Georgia,United States,certain,"CEO Ross Johnson moved RJR Nabisco headquarters to Cobb County/Atlanta in 1987."
nabisco group holdings,1990,1998,New York City,New York,United States,certain,"Following the KKR leveraged buyout, headquarters moved to Manhattan in 1989-1990."
nabisco group holdings,1999,2000,Parsippany,New Jersey,United States,probable,"Following the 1999 tobacco spin-off, the food holding company operated from Parsippany until acquisition."
honeywell intl,1955,1969,New York City,New York,United States,certain,"Allied Chemical (later AlliedSignal/Honeywell Intl) was based at 61 Broadway/Times Square until moving to NJ."
honeywell intl,1970,1995,Morristown,New Jersey,United States,certain,"Allied Chemical moved executive offices to Morris Township/Morristown in 1969-1970; clipped to 1995."
shell oil,1955,1970,New York City,New York,United States,certain,"Shell Oil Company US headquarters was located in New York City (50 W 50th St) until 1970."
shell oil,1971,1994,Houston,Texas,United States,certain,"Relocated headquarters to One Shell Plaza in Houston in 1970-1971; listed through 1994."
cbs,1955,1995,New York City,New York,United States,certain,"CBS was continuously headquartered in Midtown Manhattan (including Black Rock at 51 W 52nd St from 1964)."
borden chemical,1955,1970,New York City,New York,United States,certain,"Borden Co. (back-named Borden Chemical) was based at 350 Madison Ave in New York City until 1971."
borden chemical,1971,2005,Columbus,Ohio,United States,certain,"Moved corporate headquarters to the Borden Building in Columbus, Ohio in 1971."
fortune brands,1955,1987,New York City,New York,United States,certain,"American Tobacco Co. / American Brands was based at 245 Park Ave in NYC until 1988."
